	              0	        1.00083	        1.42415	       0.393527	        0.60489	        0.50823	       0.570768	       0.604518	       0.722097	        1.01946	       0.907809	       0.599773	       0.881295	       0.471139
	              0	        1.09152	       -1.55976	        1.21771	        1.06308	        1.16721	       0.616759	       0.617484	      0.0993682	      0.0472481	      -0.340729	       0.701289	       0.702767	       0.411393
	              0	       -4.51478	       -4.69991	        -4.3463	       -4.52908	        -4.4447	       -4.42682	       -4.47782	       -4.51177	       -4.47795	       -4.39133	       -4.47375	       -4.53499	       -4.49921
	              0	       -4.95773	       -4.79678	       -5.21734	       -4.96402	       -5.06964	       -5.01352	       -4.90519	       -4.94456	       -4.96496	       -5.06106	        -4.9186	        -4.8649	       -4.95331
	              0	      0.0930361	       0.301565	        0.33648	       0.292461	       0.304763	        0.24437	       0.249605	       0.270455	        0.28664	       0.232339	       0.353842	       0.268788	        0.25994
	              0	        3.48902	        3.43939	         3.6095	        3.55417	        3.52745	        3.54857	         3.5511	        3.52773	        3.56515	        3.52331	        3.58118	        3.56748	        3.54121
	              0	        2.98136	        2.99522	         3.1929	        3.10035	        3.05082	        3.06969	        3.03051	        3.09161	        3.11517	        3.03166	        3.07277	        3.09532	        3.02622
	              0	         1.4704	        1.78523	        1.82268	        1.74611	        1.88438	        1.53871	        1.31844	        1.55303	        1.48849	         1.6271	        1.22939	        1.23904	         1.5208
	              0	       -1.82439	     -0.0713832	       -0.17969	      -0.284422	       0.075328	       0.157899	     -0.0170172	    -0.00334044	       0.196673	       0.931727	      -0.107672	       0.191628	      -0.517299
	              0	       -6.30897	       -6.97499	       -6.26384	       -6.31312	       -6.39414	       -6.34314	       -6.47062	         -6.469	       -6.44034	       -6.52558	       -6.34622	       -6.25581	       -6.72074
	              0	        1.45202	        2.03338	        1.03264	        1.04959	        1.00061	        1.34875	        1.67734	         1.5813	        1.58005	        1.68093	        1.63372	         1.4557	        1.91243
