Finished reading inputs
Log likelihood: -8858.08
Log likelihood: -22515.1
Log likelihood: -595.959
Log likelihood: -4530.05
Log likelihood: -27891.2
Log likelihood: -17683.7
Log likelihood: -4020.23
Log likelihood: -6233.43
Log likelihood: -15480.8
Log likelihood: -179.573
Log likelihood: -5599.18
Log likelihood: -19078.4
Log likelihood: -918.463
Log likelihood: -5251.83
Log likelihood: -1052.81
Log likelihood: -936.56
Log likelihood: -466.878
Log likelihood: -17005
Log likelihood: -6368.73
Log likelihood: -3076.55
Log likelihood: -1114.54
Log likelihood: -890.182
Log likelihood: -164.622
Log likelihood: -893.655
Log likelihood: -268.741
Log likelihood: -1641.3
Log likelihood: -1523.47
Log likelihood: -3038.43
Log likelihood: -22652.8
Log likelihood: -1639.01
Log likelihood: -379.261
Log likelihood: -355.222
Log likelihood: -4677.2
Log likelihood: -673.494
Log likelihood: -24751
Log likelihood: -8511.03
Log likelihood: -1608.73
Log likelihood: -1535.79
Log likelihood: -1090.59
Log likelihood: -840.893
Log likelihood: -2285
Log likelihood: -1079.38
Log likelihood: -671.795
Log likelihood: -886.591
Log likelihood: -375.316
Log likelihood: -3348.77
Log likelihood: -2958.15
Log likelihood: -12488.1
Log likelihood: -11555.5
Log likelihood: -1864.14
Log likelihood: -522.598
Completed simulation 301
Log likelihood: -3910.8
Log likelihood: -15633.1
Log likelihood: -1605.41
Log likelihood: -396.15
Log likelihood: -7892.97
Log likelihood: -3497.29
Log likelihood: -821.396
Log likelihood: -1662.43
Log likelihood: -2594.43
Log likelihood: -29321.8
Log likelihood: -15079.7
Log likelihood: -297.795
Log likelihood: -9407.87
Log likelihood: -1720.34
Log likelihood: -4074.33
Log likelihood: -1162.58
Log likelihood: -16617
Log likelihood: -3057.07
Log likelihood: -1867.38
Log likelihood: -12170.5
Log likelihood: -1643.84
Log likelihood: -4438.83
Log likelihood: -3358.49
Log likelihood: -1562.33
Log likelihood: -2518.91
Log likelihood: -1744.58
Log likelihood: -12292.5
Log likelihood: -1472.12
Log likelihood: -15784.2
Log likelihood: -497.118
Log likelihood: -2691.14
Log likelihood: -1749.32
Log likelihood: -3661.91
Log likelihood: -2249.18
Log likelihood: -905.602
Log likelihood: -19904.2
Log likelihood: -1097.84
Log likelihood: -1670.79
Log likelihood: -1969.95
Log likelihood: -3093.16
Log likelihood: -8085.4
Log likelihood: -4664.38
Log likelihood: -1680.6
Log likelihood: -5731.38
Log likelihood: -922.071
Log likelihood: -30723.1
Log likelihood: -245.909
Log likelihood: -212.701
Log likelihood: -359.894
Log likelihood: -3130.05
Log likelihood: -12719.3
Log likelihood: -1562.92
Log likelihood: -735.553
Log likelihood: -1033.83
Log likelihood: -2602.02
Log likelihood: -3258.44
Log likelihood: -3257.25
Log likelihood: -1516.52
Log likelihood: -1485.03
Log likelihood: -4745.57
Log likelihood: -7401.04
Log likelihood: -442.964
Log likelihood: -559.848
Log likelihood: -781.624
Log likelihood: -504.418
Log likelihood: -1692.6
Log likelihood: -16518.8
Log likelihood: -1904.93
Log likelihood: -322.989
Log likelihood: -22921.4
Log likelihood: -781.286
Log likelihood: -9741.72
Log likelihood: -1648
Log likelihood: -3343.01
Log likelihood: -4451.29
Log likelihood: -256.535
Log likelihood: -8435.47
Log likelihood: -209.426
Log likelihood: -1205.12
Log likelihood: -40158
Log likelihood: -3378.25
Log likelihood: -9067.62
Log likelihood: -138.902
Log likelihood: -13764.8
Log likelihood: -1739.01
Log likelihood: -2451.79
Log likelihood: -998.953
Log likelihood: -17848.2
Log likelihood: -761.445
Log likelihood: -1029.86
Log likelihood: -580.934
Log likelihood: -1819.77
Log likelihood: -10349.3
Log likelihood: -5228.36
Log likelihood: -1231.59
Log likelihood: -504.336
Log likelihood: -369.09
Log likelihood: -9716.8
Log likelihood: -2416.95
Log likelihood: -7222.46
Completed simulation 401
Log likelihood: -5962.26
Log likelihood: -229.155
Log likelihood: -1293.84
Log likelihood: -1309.23
Log likelihood: -4630.01
Log likelihood: -9555.34
Log likelihood: -1487.74
Log likelihood: -40647.4
Log likelihood: -1397.75
Log likelihood: -7648.54
Log likelihood: -1100.26
Log likelihood: -2787.85
Log likelihood: -1772.69
Log likelihood: -13654.6
Log likelihood: -822.029
