     0	 22134	  0.563531	  0.611543	 0.0125992	0.00619836	   1.29775	   34.9162	     21.57	   5.02611	  0.377586	0.00129504	   5.65351
     1	 13810	  0.646358	  0.703065	 0.0117227	0.00607274	   1.25932	   34.1737	   22.1808	   6.32295	  0.489985	0.00131534	   4.50119
     2	 14617	  0.659985	  0.732335	 0.0108114	0.00701375	   1.28546	   35.5274	   22.7085	   5.15277	  0.430993	0.00138233	   4.38985
     3	 13271	   0.54943	  0.747724	 0.0121486	0.00664353	   1.31573	   35.8816	   22.2286	   4.92452	  0.421009	0.00153749	   3.76106
     4	 16591	  0.624555	  0.371747	 0.0123625	0.00627015	   1.27234	   33.6238	   20.1066	   5.59142	  0.221212	0.00119033	    6.1761
     5	 17838	  0.660121	   0.48001	 0.0122758	0.00621465	   1.24087	   34.3111	   21.8253	   6.43894	  0.373382	0.000905976	   6.99958
     6	 18708	  0.575479	  0.720852	 0.0105929	0.00743665	   1.36437	   35.8393	   22.2734	    4.8617	  0.518498	 0.0013817	   3.87295
     7	 18656	  0.670356	  0.866121	 0.0110241	0.00713448	   1.38576	   36.3415	   22.6077	    4.3462	  0.179877	0.00128749	   5.39393
     8	 11174	  0.622214	  0.531029	 0.0111425	0.00657974	   1.32984	   37.0262	   23.5274	   5.27848	  0.588419	0.00243231	   2.15195
     9	 17193	  0.601906	  0.468977	 0.0133821	0.00607995	    1.2129	    35.496	   21.3199	   5.75985	  0.391429	0.000866896	   7.95299
    10	 14686	  0.647697	  0.737974	 0.0108773	0.00695935	     1.294	   36.7453	   23.8009	   4.69384	   0.29909	  0.001413	   4.81629
    11	 21793	  0.564503	   0.83618	 0.0115779	0.00710241	    1.3404	   34.5413	   20.9054	   5.16877	  0.291495	0.000815891	   7.03916
    12	 19730	  0.674865	  0.539855	 0.0119011	0.00659059	   1.29419	   33.2298	   19.8155	   4.83561	  0.250503	0.00102148	   8.13521
    13	 17885	  0.609822	  0.612449	 0.0111101	0.00696478	   1.25838	   33.4424	   20.2746	   4.91606	  0.466778	0.00135485	   5.15146
    14	 18736	  0.645772	  0.746552	  0.011006	0.00685339	   1.23744	   34.1592	   21.7795	    4.8185	  0.379392	0.00132441	   5.77503
    15	 17910	  0.662078	  0.521127	 0.0114299	0.00668011	   1.25099	   34.7188	   21.6326	   5.21703	  0.235411	0.00107548	   6.85027
    16	 18590	  0.621808	  0.843853	 0.0114064	 0.0069727	   1.46032	    34.955	   21.0579	    4.8279	  0.341109	0.00119271	   5.49504
    17	 18429	  0.652279	  0.752256	 0.0110564	0.00720471	   1.26817	   34.5643	   21.2882	   4.58046	  0.247705	0.00119863	   5.86269
    18	 17656	  0.699529	  0.459383	 0.0115803	0.00679531	   1.22739	   34.2725	   21.5778	   5.28997	  0.356559	0.00107748	   6.41714
    19	 16717	  0.645645	  0.678687	 0.0110566	0.00705837	   1.26847	   34.2655	   20.3812	   4.25416	  0.533593	 0.0015153	   5.00733
    20	 18122	  0.686896	  0.813717	 0.0103599	0.00731727	   1.34569	   33.9243	   21.6601	   4.61192	  0.321142	0.00123088	   6.06487
    21	 19167	  0.627231	  0.413763	 0.0121211	0.00657085	   1.25001	   34.5113	   21.0422	   5.22116	   0.41395	0.00117568	   6.14185
    22	 14486	  0.612644	  0.650847	 0.0112663	0.00674019	   1.31111	   35.5567	   22.7878	   5.07785	  0.367292	0.00130142	   5.20455
    23	 17499	  0.606861	  0.653662	 0.0111915	0.00704651	   1.28035	   34.1054	    20.447	   5.84418	  0.289195	0.00100177	   5.80172
    24	 22473	  0.640045	   0.45666	 0.0106351	0.00762063	   1.28172	    36.006	   22.4698	   4.24509	  0.463378	0.00133385	   5.68831
    25	 18132	  0.652687	  0.751198	 0.0111883	 0.0068778	   1.35165	   34.8587	   21.6843	   4.74345	  0.340728	0.00137509	   4.87284
    26	 22598	  0.593681	  0.490196	 0.0116778	0.00666609	   1.25853	   35.9245	   22.7432	   4.93034	  0.555417	0.00142733	   5.05133
    27	 22001	  0.611988	  0.425696	 0.0109943	 0.0072667	    1.3033	    36.097	   21.4784	   4.14895	  0.380523	0.00158849	   5.15096
    28	 22351	  0.552794	  0.625382	 0.0117473	0.00671177	   1.33337	   35.1918	   20.8545	    4.7393	  0.390658	0.00124663	   5.71718
    29	 16280	   0.57173	  0.383015	 0.0117951	0.00673009	   1.31838	   34.0794	   20.0062	   5.07997	  0.169365	0.000961116	    8.0684
    30	 13563	  0.665956	  0.650556	 0.0119461	0.00637821	   1.28616	   36.1453	   23.2562	   5.85171	   0.30301	0.00124807	   4.60215
    31	 17631	  0.644089	  0.466376	 0.0119322	0.00661436	   1.31404	   34.7248	    21.732	    4.8626	  0.313905	0.00116491	   6.77973
    32	 18666	  0.580394	  0.759159	 0.0117343	0.00710391	   1.38936	   36.3002	   21.5078	   4.27828	  0.319674	0.00117532	   5.73435
    33	 15269	  0.613454	   0.38636	 0.0121873	0.00642485	   1.25638	   34.3893	   21.1293	   5.74289	  0.380595	 0.0012307	   5.61264
    34	 17189	  0.668164	  0.529501	 0.0124507	0.00620133	   1.27167	   34.3611	   21.1786	   5.26997	  0.301614	0.000992748	   8.02945
    35	  2263	  0.545752	  0.782239	 0.0111706	0.00726689	   1.21655	   35.7197	   23.3358	   3.25586	0.00578278	0.00172943	   5.65796
    36	 19846	    0.6155	  0.522558	  0.011961	0.00642094	   1.26857	   33.6341	    20.769	   5.15835	  0.260062	0.00118583	   6.47746
