Male migration
654.2905	664.4701	642.9524	627.7922	480.8720	190.1664	-124.3257	-386.0998	-677.5993	-769.1348	-3851.0829	-18.4245	-18.4245	-18.4245	-18.4245	-18.4245	-2603.5847	-2603.5847	-2603.5847	-2603.5847	-2603.5847	-8707.3736	-5333.8051	-5333.8051	-5333.8051	-5333.8051	-259.6179	-259.6179	-259.6179	-259.6179	-259.6179	-259.6179	-259.6179	-259.6179	-259.6179	-259.6179	-259.6179	-259.6179
-0.3967	652.6743	662.8540	641.3362	626.1761	479.2558	72.5132	-188.9536	-450.7277	-742.2272	-833.7628	615.2641	-37.5161	-37.5161	-37.5161	-37.5161	-2148.9899	-2148.9899	-2148.9899	-2148.9899	-2148.9899	-6029.2487	-2446.7597	-2446.7597	-2446.7597	-2446.7597	9.4458	9.4458	9.4458	9.4458	9.4458	9.4458	9.4458	9.4458	9.4458	9.4458	9.4458	9.4458
-2.4938	-2.4965	650.5745	660.7541	639.2363	624.0762	328.9467	38.2411	-223.2258	-484.9999	-776.4993	168.3704	596.0584	-56.9870	-56.9870	-56.9870	-1654.6144	-1654.6144	-1654.6144	-1654.6144	-1654.6144	-3261.9234	480.0664	480.0664	480.0664	480.0664	256.6083	256.6083	256.6083	256.6083	256.6083	256.6083	256.6083	256.6083	256.6083	256.6083	256.6083	256.6083
-4.8882	-4.8882	-4.8910	648.1800	658.3597	636.8419	465.0308	318.1106	27.4050	-234.0618	-495.8360	397.2256	148.8765	576.5645	-76.8373	-76.8373	-1264.4784	-1264.4784	-1264.4784	-1264.4784	-1264.4784	-2896.0302	967.1627	967.1627	967.1627	967.1627	483.6521	483.6521	483.6521	483.6521	483.6521	483.6521	483.6521	483.6521	483.6521	483.6521	483.6521	483.6521
-7.3880	-7.3880	-7.3880	-7.3908	645.6802	655.8599	485.8712	470.7110	323.7908	33.0852	-228.3816	498.2580	377.4435	129.0945	556.7825	-97.0669	-1081.9006	-1081.9006	-1081.9006	-1081.9006	-1081.9006	-2706.5108	1250.7093	1250.7093	1250.7093	1250.7093	692.2149	692.2149	692.2149	692.2149	692.2149	692.2149	692.2149	692.2149	692.2149	692.2149	692.2149	692.2149
-9.7946	-9.7946	-9.7946	-9.7946	-9.7974	643.2737	522.3620	500.8443	485.6841	338.7639	48.0583	557.2629	479.2836	358.4691	110.1201	537.8081	-1058.3395	-1058.3395	-1058.3395	-1058.3395	-1058.3395	-2662.6561	1373.2039	1373.2039	1373.2039	1373.2039	883.8010	883.8010	883.8010	883.8010	883.8010	883.8010	883.8010	883.8010	883.8010	883.8010	883.8010	883.8010
-11.9187	-11.9187	-11.9187	-11.9187	-11.9187	-11.9215	529.5286	539.7082	518.1904	503.0303	356.1100	541.9840	541.1739	463.1946	342.3801	94.0311	-1144.9110	-1144.9110	-1144.9110	-1144.9110	-1144.9110	-2732.7478	1377.4866	1377.4866	1377.4866	1377.4866	-1335.8916	-1335.8916	-1335.8916	-1335.8916	-1335.8916	-1335.8916	-1335.8916	-1335.8916	-1335.8916	-1335.8916	-1335.8916	-1335.8916
-13.5993	-13.5993	-13.5993	-13.5993	-13.5993	-13.5993	-109.8320	543.2390	553.4186	531.9008	516.7407	373.0489	528.2110	527.4009	449.4215	328.6071	-1288.9257	-1288.9257	-1288.9257	-1288.9257	-1288.9257	-2879.5842	1309.8818	1309.8818	1309.8818	1309.8818	-1295.7713	-1295.7713	-1295.7713	-1295.7713	-1295.7713	-1295.7713	-1295.7713	-1295.7713	-1295.7713	-1295.7713	-1295.7713	-1295.7713
-14.7225	-14.7225	-14.7225	-14.7225	-14.7225	-14.7225	-104.2453	-104.2481	548.8229	559.0026	537.4848	309.4847	366.6154	521.7775	520.9674	442.9881	-1438.7567	-1438.7567	-1438.7567	-1438.7567	-1438.7567	-3063.3737	1215.9725	1215.9725	1215.9725	1215.9725	-895.2551	-895.2551	-895.2551	-895.2551	-895.2551	-895.2551	-895.2551	-895.2551	-895.2551	-895.2551	-895.2551	-895.2551
-15.3149	-15.3149	-15.3149	-15.3149	-15.3149	-15.3149	-106.7239	-106.7239	-106.7267	546.3443	556.5240	385.7789	314.8449	371.9756	527.1377	526.3276	-1545.9647	-1545.9647	-1545.9647	-1545.9647	-1545.9647	-3236.5531	1139.1173	1139.1173	1139.1173	1139.1173	-532.0567	-532.0567	-532.0567	-532.0567	-532.0567	-532.0567	-532.0567	-532.0567	-532.0567	-532.0567	-532.0567	-532.0567
-15.5539	-15.5539	-15.5539	-15.5539	-15.5539	-15.5539	-112.3430	-112.3430	-112.3430	-112.3458	540.7252	402.9184	406.0633	335.1293	392.2600	547.4221	-1570.5091	-1570.5091	-1570.5091	-1570.5091	-1570.5091	-3347.6905	1115.8820	1115.8820	1115.8820	1115.8820	-202.6664	-202.6664	-202.6664	-202.6664	-202.6664	-202.6664	-202.6664	-202.6664	-202.6664	-202.6664	-202.6664	-202.6664
-15.7481	-15.7481	-15.7481	-15.7481	-15.7481	-15.7481	-111.9297	-111.9297	-111.9297	-111.9297	-111.9297	573.2989	438.4962	441.6411	370.7071	427.8378	-1509.2007	-1509.2007	-1509.2007	-1509.2007	-1509.2007	-3368.0600	1150.7975	1150.7975	1150.7975	1150.7975	96.0927	96.0927	96.0927	96.0927	96.0927	96.0927	96.0927	96.0927	96.0927	96.0927	96.0927	96.0927
-16.2626	-16.2626	-16.2626	-16.2626	-16.2626	-16.2626	-94.4891	-94.4891	-94.4891	-94.4891	-94.4891	-34.6547	619.5866	484.7839	487.9289	416.9948	-1401.2216	-1401.2216	-1401.2216	-1401.2216	-1401.2216	-3302.1706	1211.1613	1211.1613	1211.1613	1211.1613	367.0962	367.0962	367.0962	367.0962	367.0962	367.0962	367.0962	367.0962	367.0962	367.0962	367.0962	367.0962
-17.3028	-17.3028	-17.3028	-17.3028	-17.3028	-17.3028	-54.1883	-54.1883	-54.1883	-54.1883	-54.1883	8.5370	8.5370	662.7783	527.9757	531.1206	-1330.4568	-1330.4568	-1330.4568	-1330.4568	-1330.4568	-3206.0669	1224.0636	1224.0636	1224.0636	1224.0636	612.9477	612.9477	612.9477	612.9477	612.9477	612.9477	612.9477	612.9477	612.9477	612.9477	612.9477	612.9477
-18.6042	-18.6042	-18.6042	-18.6042	-18.6042	-18.6042	-0.3762	-0.3762	-0.3762	-0.3762	-0.3762	29.3475	29.3475	29.3475	683.5889	548.7862	-1414.5942	-1414.5942	-1414.5942	-1414.5942	-1414.5942	-3200.9874	1084.7188	1084.7188	1084.7188	1084.7188	836.0039	836.0039	836.0039	836.0039	836.0039	836.0039	836.0039	836.0039	836.0039	836.0039	836.0039	836.0039
-20.0314	-20.0314	-20.0314	-20.0314	-20.0314	-20.0314	62.1788	62.1788	62.1788	62.1788	62.1788	-35.1599	-35.1599	-35.1599	-35.1599	619.0814	-1694.4475	-1694.4475	-1694.4475	-1694.4475	-1694.4475	-3357.2085	759.7559	759.7559	759.7559	759.7559	1038.3991	1038.3991	1038.3991	1038.3991	1038.3991	1038.3991	1038.3991	1038.3991	1038.3991	1038.3991	1038.3991	1038.3991
-21.2609	-20.9484	-20.9484	-20.9484	-20.9484	-20.9484	111.7937	111.7937	111.7937	111.7937	111.7937	-218.7950	-218.7950	-218.7950	-218.7950	-218.7950	-2134.6411	-2134.6411	-2134.6411	-2134.6411	-2134.6411	-3667.7631	275.9377	275.9377	275.9377	275.9377	393.3339	393.3339	393.3339	393.3339	393.3339	393.3339	393.3339	393.3339	393.3339	393.3339	393.3339	393.3339
-21.1623	-21.0373	-20.7248	-20.7248	-20.7248	-20.7248	126.5333	126.5333	126.5333	126.5333	126.5333	-526.2401	-526.2401	-526.2401	-526.2401	-526.2401	-2729.0935	-2729.0935	-2729.0935	-2729.0935	-2729.0935	-4108.4237	-353.7947	-353.7947	-353.7947	-353.7947	-1166.6809	-1166.6809	-1166.6809	-1166.6809	-1166.6809	-1166.6809	-1166.6809	-1166.6809	-1166.6809	-1166.6809	-1166.6809	-1166.6809
