Male migration
-3.7488	-100.0077	-202.1354	-279.3393	-343.0563	-435.4775	-193.9669	-337.0114	-448.0767	-416.3768	-139.1773	-319.4357	-319.4357	-319.4357	-319.4357	-319.4357	-1467.7664	-1467.7664	-1467.7664	-1467.7664	-1467.7664	-87.8027	-87.8027	-87.8027	-87.8027	-87.8027	5.7755	5.7755	5.7755	5.7755	5.7755	5.7755	5.7755	5.7755	5.7755	5.7755	5.7755	5.7755
63.1916	29.2758	-66.9831	-169.1108	-246.3147	-310.0316	-161.0689	-107.0243	-250.0688	-361.1341	-329.4342	-658.4988	-279.1679	-279.1679	-279.1679	-279.1679	-116.2426	-116.2426	-116.2426	-116.2426	-116.2426	100.5673	100.5673	100.5673	100.5673	100.5673	5.6892	5.6892	5.6892	5.6892	5.6892	5.6892	5.6892	5.6892	5.6892	5.6892	5.6892	5.6892
89.7800	89.7064	55.7906	-40.4683	-142.5960	-219.8000	-5.6703	-98.0915	-44.0469	-187.0914	-298.1567	-472.9584	-606.6761	-243.9803	-243.9803	-243.9803	1274.2052	1274.2052	1274.2052	1274.2052	1274.2052	327.8611	327.8611	327.8611	327.8611	327.8611	5.6040	5.6040	5.6040	5.6040	5.6040	5.6040	5.6040	5.6040	5.6040	5.6040	5.6040	5.6040
110.6693	110.6693	110.5956	76.6798	-19.5791	-121.7068	100.0391	36.3221	-56.0991	-2.0545	-145.0990	-293.4237	-429.1616	-562.8793	-213.8729	-213.8729	904.0763	904.0763	904.0763	904.0763	904.0763	-24.5039	-24.5039	-24.5039	-24.5039	-24.5039	5.5200	5.5200	5.5200	5.5200	5.5200	5.5200	5.5200	5.5200	5.5200	5.5200	5.5200	5.5200
126.8173	126.8173	126.8173	126.7437	92.8279	-3.4310	201.2307	124.0268	60.3098	-32.1114	21.9332	-192.9610	-257.6530	-393.3909	-527.1086	-188.8458	668.0390	668.0390	668.0390	668.0390	668.0390	-237.3899	-237.3899	-237.3899	-237.3899	-237.3899	5.4371	5.4371	5.4371	5.4371	5.4371	5.4371	5.4371	5.4371	5.4371	5.4371	5.4371	5.4371
139.1382	139.1382	139.1382	139.1382	139.0646	105.1488	312.3185	210.1908	132.9869	69.2699	-23.1513	-133.2522	-165.3939	-230.0859	-365.8238	-499.5415	536.8816	536.8816	536.8816	536.8816	536.8816	-343.5139	-343.5139	-343.5139	-343.5139	-343.5139	5.3553	5.3553	5.3553	5.3553	5.3553	5.3553	5.3553	5.3553	5.3553	5.3553	5.3553	5.3553
148.5163	148.5163	148.5163	148.5163	148.5163	148.4426	405.4902	309.2313	207.1036	129.8997	66.1827	19.1911	-114.0547	-146.1964	-210.8885	-346.6263	481.9902	481.9902	481.9902	481.9902	481.9902	-374.9955	-374.9955	-374.9955	-374.9955	-374.9955	5.2746	5.2746	5.2746	5.2746	5.2746	5.2746	5.2746	5.2746	5.2746	5.2746	5.2746	5.2746
155.7470	155.7470	155.7470	155.7470	155.7470	155.7470	427.2610	393.3452	297.0862	194.9586	117.7546	37.0186	30.9648	-102.2811	-134.4228	-199.1148	476.0580	476.0580	476.0580	476.0580	476.0580	-362.9603	-362.9603	-362.9603	-362.9603	-362.9603	5.1950	5.1950	5.1950	5.1950	5.1950	5.1950	5.1950	5.1950	5.1950	5.1950	5.1950	5.1950
161.4781	161.4781	161.4781	161.4781	161.4781	161.4781	409.1367	409.0631	375.1473	278.8884	176.7607	116.7365	41.2371	35.1832	-98.0626	-130.2043	495.2500	495.2500	495.2500	495.2500	495.2500	-334.7491	-334.7491	-334.7491	-334.7491	-334.7491	5.1164	5.1164	5.1164	5.1164	5.1164	5.1164	5.1164	5.1164	5.1164	5.1164	5.1164	5.1164
165.9130	165.9130	165.9130	165.9130	165.9130	165.9130	387.9374	387.9374	387.8637	353.9479	257.6890	196.5561	114.2143	38.7149	32.6610	-100.5848	526.1452	526.1452	526.1452	526.1452	526.1452	-306.3477	-306.3477	-306.3477	-306.3477	-306.3477	5.0389	5.0389	5.0389	5.0389	5.0389	5.0389	5.0389	5.0389	5.0389	5.0389	5.0389	5.0389
