    520301	    512617	    513615	    512732	    510967	    508301	    504852	    506772	    508115	    506876	    502953	    490903	    501774	    484190	    476990	    484016	    478321	    482110	    482602	    496521	    530986	    545363	    560119	    573233	    574167	    564955	    566882	    571898	    580604	    587916	    590980	    591636	    589098	    583421	    584704	    586437	    587210	    589340	    594082	    598890	    603209	    607041	    610397	    613362	    616021	    618504	    620968	    623546	    626341	    629069	    631688	    634112	    636203	    637837	    638996	    639697	    639956	    639798	    639245	    638311	    637047	    635535	    633849	    632066	    630256	    628481	    626797	    625218	    623751	    622424	    621245	
    503866	    507580	    500789	    501592	    500521	    498412	    495196	    493413	    493888	    493782	    490619	    483657	    479408	    489421	    471282	    463786	    469904	    463357	    466192	    466271	    480012	    514200	    530485	    546368	    560679	    563799	    556709	    558509	    563762	    572555	    579979	    583229	    584018	    581591	    576040	    577854	    579606	    579284	    581264	    586140	    591091	    595556	    599537	    603041	    606152	    608954	    611576	    614175	    616911	    619857	    622732	    625495	    628061	    630293	    632067	    633364	    634204	    634601	    634580	    634162	    633361	    632229	    630846	    629286	    627625	    625933	    624272	    622699	    621225	    619859	    618629	
    488611	    498557	    502271	    495736	    496147	    494670	    492004	    491833	    489154	    488241	    486870	    482059	    482247	    478557	    488170	    469900	    462096	    463937	    457383	    460033	    459987	    473918	    509319	    525720	    541808	    556562	    560392	    553250	    555240	    560525	    569304	    576752	    580037	    580827	    578411	    573129	    575006	    576313	    575894	    577929	    582860	    587864	    592382	    596416	    599971	    603131	    605982	    608653	    611326	    614132	    617146	    620086	    622913	    625541	    627834	    629668	    631026	    631925	    632381	    632417	    632056	    631311	    630233	    628903	    627396	    625785	    624141	    622527	    620999	    619568	    618243	
    471371	    486512	    496303	    500032	    493515	    493332	    491238	    489946	    488933	    485183	    482754	    480023	    481198	    480979	    477830	    487339	    468984	    458244	    460057	    453448	    456002	    456089	    470790	    506121	    522554	    538809	    553813	    558021	    551051	    553135	    558451	    567259	    574743	    578060	    578881	    576603	    571354	    573005	    574228	    573853	    575926	    580893	    585931	    590482	    594547	    598133	    601324	    604206	    606932	    609659	    612518	    615582	    618571	    621444	    624118	    626456	    628334	    629734	    630676	    631173	    631249	    630927	    630221	    629181	    627887	    626415	    624838	    623227	    621645	    620146	    618745	
    452217	    470240	    485238	    494983	    498677	    492116	    491287	    489712	    487678	    485775	    480912	    476936	    479814	    480157	    479617	    477052	    486474	    465900	    455184	    456923	    450278	    452902	    453436	    468176	    503481	    519995	    536414	    551976	    556287	    549440	    551604	    556977	    565837	    573367	    576734	    577632	    575365	    570011	    571605	    572847	    572499	    574596	    579582	    584638	    589206	    593288	    596890	    600096	    603020	    605787	    608553	    611449	    614548	    617572	    620479	    623185	    625554	    627463	    628893	    629863	    630388	    630492	    630197	    629516	    628501	    627232	    625783	    624229	    622639	    621078	    619599	
    434183	    451388	    469318	    484267	    493969	    497627	    491020	    490195	    488106	    485329	    482537	    476562	    477895	    479726	    479352	    478465	    476461	    483947	    463397	    452646	    454331	    447760	    450668	    451270	    466059	    501375	    517994	    534891	    550510	    554894	    548136	    550373	    555797	    564695	    572262	    575680	    576585	    574256	    568883	    570486	    571742	    571412	    573524	    578522	    583589	    588166	    592256	    595866	    599108	    602065	    604865	    607662	    610588	    613716	    616767	    619701	    622432	    624827	    626760	    628213	    629207	    629754	    629879	    629605	    628944	    627949	    626698	    625268	    623732	    622159	    620614	
    419448	    433477	    450639	    468532	    483445	    493116	    496750	    490565	    489223	    486630	    483121	    479449	    478393	    479229	    480124	    478971	    477723	    474522	    481938	    461363	    450593	    452309	    446036	    449000	    449662	    464504	    499865	    516671	    533610	    549268	    553702	    547023	    549320	    554779	    563702	    571297	    574719	    575590	    573261	    567896	    569506	    570774	    570457	    572579	    577585	    582656	    587238	    591333	    594975	    598246	    601232	    604060	    606884	    609835	    612988	    616062	    619019	    621772	    624187	    626141	    627614	    628627	    629193	    629337	    629080	    628436	    627458	    626223	    624808	    623287	    621729	
    410046	    418819	    432843	    449980	    467846	    482735	    492386	    495539	    490306	    488458	    485369	    481136	    481943	    480709	    481142	    481024	    479090	    476296	    473037	    480361	    459779	    449051	    451113	    444906	    447910	    448629	    463538	    498682	    515507	    532471	    548152	    552634	    546023	    548362	    553842	    562783	    570377	    573780	    574659	    572335	    566981	    568600	    569879	    569573	    571703	    576714	    581790	    586375	    590500	    594170	    597469	    600482	    603335	    606183	    609158	    612333	    615429	    618406	    621180	    623614	    625586	    627078	    628108	    628691	    628851	    628610	    627983	    627019	    625799	    624398	    622890	
    404526	    409474	    418265	    432274	    449393	    467241	    482113	    491295	    494440	    490163	    487815	    484236	    484485	    484883	    483547	    483499	    482374	    478104	    475250	    471917	    479174	    458636	    448355	    450464	    444296	    447339	    448124	    462472	    497603	    514431	    531406	    547114	    551640	    545079	    547449	    552950	    561886	    569461	    572871	    573753	    571438	    566097	    567726	    569015	    568718	    570854	    575869	    580948	    585563	    589716	    593413	    596738	    599776	    602653	    605524	    608521	    611717	    614833	    617830	    620622	    623074	    625064	    626573	    627620	    628218	    628394	    628168	    627555	    626605	    625398	    624010	
    400460	    403998	    408968	    417752	    431749	    448855	    466689	    480913	    490086	    493227	    489907	    487061	    488179	    488112	    488162	    486656	    486135	    481741	    477420	    474493	    471105	    478350	    458317	    448094	    450219	    444090	    447186	    447121	    461472	    496581	    513403	    530400	    546134	    550693	    544174	    546582	    552072	    560986	    568567	    571979	    572869	    570566	    565238	    566876	    568173	    567884	    570026	    575044	    580152	    584795	    588974	    592697	    596047	    599108	    602007	    604901	    607918	    611134	    614270	    617285	    620095	    622564	    624571	    626096	    627158	    627772	    627962	    627750	    627150	    626214	    625020	
