	              0	         1.5019	        1.42415	        1.52394	        1.31859	        1.53042	        1.58861	        1.26356	        1.22283	        1.26535	        1.19583	        1.49441	        1.82592	        1.28877	        1.33506	        1.60385	        1.81223	        1.09159
	              0	       0.949629	       -1.55976	      -0.390256	      -0.111834	      -0.261778	      -0.348602	      -0.379327	      -0.496369	      -0.669777	       -1.19814	      -0.892771	      -0.844336	    -0.00322899	       0.782204	        1.07929	        0.30691	       0.724991
	              0	        -4.5758	       -4.69991	       -4.52506	       -4.55727	       -4.57447	        -4.5005	       -4.53424	       -4.53904	       -4.64237	       -4.60164	       -4.52949	       -4.58362	        -4.5398	       -4.55306	       -4.53548	       -4.54432	       -4.54965
	              0	       -4.87199	       -4.79678	       -4.92069	       -4.84517	       -4.93073	       -4.95074	       -4.89182	       -4.88064	       -4.80053	       -4.85389	       -4.95523	       -4.91588	       -4.91675	       -4.92591	        -4.9509	       -4.93128	       -4.96999
	              0	       0.213009	       0.301565	       0.253164	       0.202261	       0.267857	       0.257739	       0.274643	       0.272135	       0.249703	       0.226553	       0.238198	       0.201404	       0.242101	       0.226663	       0.238753	       0.251842	       0.225756
	              0	        3.56794	        3.43939	        3.52022	        3.57106	         3.5324	        3.56036	        3.56883	         3.5684	        3.57472	        3.53126	        3.55157	        3.55419	        3.56602	        3.53024	        3.52188	        3.54767	        3.51622
	              0	        3.16896	        2.99522	        3.09594	        3.16026	        3.12403	        3.14928	        3.12587	        3.12798	        3.15961	        3.10688	        3.17366	        3.20782	        3.15715	        3.12829	        3.08418	        3.13224	        3.09151
	              0	        1.25094	        1.78523	        1.46384	        1.21968	        1.38354	         1.2638	        1.41029	        1.49743	         1.3809	         1.6218	        1.39784	        1.21872	        1.33399	        1.30681	         1.4797	        1.50734	        1.45456
	              0	        1.69877	     -0.0713832	        1.51777	        1.77562	        1.17741	       0.810318	       0.329498	      -0.797173	     -0.0581905	        0.27204	      0.0489845	       0.465081	      -0.641662	       -1.47807	      -0.469858	      -0.176939	      -0.587861
	              0	       -6.49416	       -6.97499	       -6.84862	        -6.3781	       -6.35732	       -6.32713	       -6.44607	       -6.69918	       -6.52778	       -6.76947	       -6.39751	       -6.09611	       -6.45972	       -6.42827	        -6.7493	       -6.92377	       -6.67021
	              0	        2.01028	        2.03338	        2.19335	        1.83411	        1.87182	        1.93645	        1.76096	        1.91346	         1.8782	        1.97167	        1.93496	         1.7922	        1.90059	          1.894	        2.01176	        2.22511	        2.11597
