     0	 55410	         0
     1	 51648	         0
     2	 53619	         0
     3	 55674	         0
     4	 55581	         0
     5	 51232	         0
     6	 44020	         0
     7	 32993	         0
     8	 55266	         0
     9	 44652	         0
    10	 51895	         0
    11	 44951	         0
    12	 53369	         0
    13	 51695	         0
    14	 38565	         0
    15	 55820	         0
    16	 51028	         0
    17	 55266	         0
    18	 40014	         0
    19	 36821	         0
    20	 39636	         0
    21	 55436	         0
    22	 36821	         0
    23	 47248	         0
    24	 44216	         0
    25	 30728	         0
    26	 51434	         0
    27	 47585	         0
    28	 32598	         0
    29	 36670	         0
    30	 51895	         0
    31	 51047	         0
    32	 44077	         0
    33	 55449	         0
    34	 55236	         0
    35	 51894	         0
    36	 47248	         0
    37	 53917	         0
    38	 51845	         0
    39	 50012	         0
    40	 51232	         0
    41	 40365	         0
    42	 51517	         0
    43	 55720	         0
    44	 53730	         0
    45	 39723	         0
    46	 51895	         0
    47	 40138	         0
    48	 44906	         0
    49	 40437	         0
    50	 55520	         0
    51	 55089	         0
    52	 53694	         0
    53	 36821	         0
    54	 51908	         0
    55	 44352	         0
    56	 46999	         0
    57	 48658	         0
    58	 40118	         0
    59	 48658	         0
    60	 46104	         0
    61	 51895	         0
    62	 39723	         0
    63	 36866	         0
    64	 53404	         0
    65	 30843	         0
    66	 55051	         0
    67	 55001	         0
    68	 38168	         0
    69	 44077	         0
    70	 53471	         0
    71	 55520	         0
    72	 55148	         0
    73	 55720	         0
    74	 55787	         0
    75	 51677	         0
    76	 39816	         0
    77	 52141	         0
    78	 55581	         0
    79	 45270	         0
    80	 51367	         0
    81	 55062	         0
    82	 52141	         0
    83	 48658	         0
    84	 49111	         0
    85	 53612	         0
    86	 47938	         0
    87	 47736	         0
    88	 47645	         0
    89	 36670	         0
    90	 51894	         0
    91	 53772	         0
    92	 42503	         0
    93	 55449	         0
    94	 51895	         0
    95	 47221	         0
    96	 51895	         0
    97	 51177	         0
    98	 51177	         0
    99	 47645	         0
   100	 53369	         0
   101	 51895	         0
   102	 53263	         0
   103	 51861	         0
   104	 55367	         0
   105	 55606	         0
   106	 38640	         0
   107	 39636	         0
   108	 55051	         0
   109	 53382	         0
   110	 47736	         0
   111	 51895	         0
   112	 55417	         0
   113	 51177	         0
   114	 47128	         0
   115	 51034	         0
   116	 55083	         0
   117	 38799	         0
   118	 40312	         0
   119	 47986	         0
   120	 30731	         0
   121	 44077	         0
   122	 51951	         0
   123	 50012	         0
   124	 55198	         0
   125	 53315	         0
   126	 48658	         0
   127	 39723	         0
   128	 46468	         0
   129	 39723	         0
   130	 44077	         0
   131	 48658	         0
   132	 47736	         0
   133	 55449	         0
   134	 53382	         0
   135	 50923	         0
   136	 42503	         0
   137	 39636	         0
   138	 47645	         0
   139	 48658	         0
   140	 55376	         0
   141	 55520	         0
   142	 46931	         0
   143	 53369	         0
   144	 53833	         0
   145	 39723	         0
   146	 51366	         0
   147	 51895	         0
   148	 36821	         0
   149	 32598	         0
   150	 39636	         0
   151	 51895	         0
   152	 46550	         0
   153	 47605	         0
   154	 40014	         0
   155	 38547	         0
   156	 32811	         0
   157	 55581	         0
   158	 53054	         0
   159	 51895	         0
   160	 38565	         0
   161	 47938	         0
   162	 50484	         0
   163	 53917	         0
   164	 44664	         0
   165	 53743	         0
   166	 55001	         0
   167	 51690	         0
   168	 44077	         0
   169	 51232	         0
   170	 47591	         0
   171	 55051	         0
   172	 47719	         0
   173	 52843	         0
   174	 51895	         0
   175	 42144	         0
   176	 38799	         0
   177	 39636	         0
   178	 51478	         0
   179	 36960	         0
   180	 53702	         0
   181	 53054	         0
   182	 44077	         0
   183	 55581	         0
   184	 38565	         0
   185	 51677	         0
   186	 55605	         0
   187	 53913	         0
   188	 55606	         0
   189	 47645	         0
   190	 51677	         0
   191	 48658	         0
   192	 53917	         0
   193	 55927	         0
   194	 55966	         0
   195	 38799	         0
   196	 47645	         0
   197	 39636	         0
   198	 42503	         0
   199	 51377	         0
   200	 55051	         0
   201	 55453	         0
   202	 55875	         0
   203	 47938	         0
   204	 55606	         0
   205	 53514	         0
   206	 39636	         0
   207	 55520	         0
   208	 30909	         0
   209	 30781	         0
   210	 53211	         0
   211	 47248	         0
   212	 51695	         0
   213	 30328	         0
   214	 49959	         0
   215	 55266	         0
   216	 51895	         0
   217	 40014	         0
   218	 51790	         0
   219	 38036	         0
   220	 44077	         0
   221	 37891	         0
   222	 55062	         0
   223	 42503	         0
   224	 55266	         0
   225	 51677	         0
   226	 30506	         0
   227	 44619	         0
   228	 51177	         0
   229	 42992	         0
   230	 42503	         0
   231	 55606	         0
   232	 53612	         0
   233	 55449	         0
   234	 53783	         0
   235	 42416	         0
   236	 40365	         0
   237	 55581	         0
   238	 38174	         0
   239	 55125	         0
   240	 47221	         0
   241	 53382	         0
   242	 51845	         0
   243	 36863	         0
   244	 44077	         0
   245	 51895	         0
   246	 51969	         0
   247	 48697	         0
   248	 46129	         0
   249	 47248	         0
   250	 51845	         0
   251	 51614	         0
   252	 42636	         0
   253	 46390	         0
   254	 55266	         0
   255	 38799	         0
   256	 46945	         0
   257	 47305	         0
   258	 51478	         0
   259	 53134	         0
   260	 51034	         0
   261	 49144	         0
   262	 51047	         0
   263	 53743	         0
   264	 51680	         0
   265	 51690	         0
   266	 51161	         0
   267	 46965	         0
   268	 44077	         0
   269	 44077	         0
   270	 44656	         0
   271	 53366	         0
   272	 46437	         0
   273	 53743	         0
   274	 53382	         0
   275	 51845	         0
   276	 53913	         0
   277	 40014	         0
   278	 44592	         0
   279	 55126	         0
   280	 44809	         0
   281	 50012	         0
   282	 51631	         0
   283	 53366	         0
   284	 47204	         0
   285	 48658	         0
   286	 53369	         0
   287	 37891	         0
   288	 55152	         0
   289	 56185	         0
   290	 53917	         0
   291	 55041	         0
   292	 48665	         0
   293	 50544	         0
   294	 47293	         0
   295	 42503	         0
   296	 48658	         0
   297	 51177	         0
   298	 55194	         0
   299	 51034	         0
   300	 53738	         0
   301	 53366	         0
   302	 30728	         0
   303	 56239	         0
   304	 48658	         0
   305	 50281	         0
   306	 51136	         0
   307	 53590	         0
   308	 53369	         0
   309	 55505	         0
   310	 55449	         0
   311	 51107	         0
   312	 56185	         0
   313	 55001	         0
   314	 51895	         0
   315	 51103	         0
   316	 47986	         0
   317	 30765	         0
   318	 32169	         0
   319	 51677	         0
   320	 48659	         0
   321	 53743	         0
   322	 55510	         0
   323	 56994	         0
   324	 51733	         0
   325	 55720	         0
   326	 55276	         0
   327	 47645	         0
   328	 55884	         0
   329	 53404	         0
   330	 50348	         0
   331	 53743	         0
   332	 51936	         0
   333	 53738	         0
   334	 36193	         0
   335	 55815	         0
   336	 53913	         0
   337	 42366	         0
   338	 55266	         0
   339	 53743	         0
