    520301	    512618	    513616	    512734	    510968	    508301	    504847	    506753	    508075	    506809	    502864	    490795	    501645	    484035	    476801	    483781	    478046	    481797	    482263	    496154	    530582	    544941	    559683	    572785	    573719	    564515	    566442	    571457	    580165	    587482	    590554	    591219	    588692	    583029	    584322	    586065	    586849	    588817	    593415	    598100	    602314	    606060	    609347	    612260	    614883	    617340	    619788	    622355	    625143	    627866	    630483	    632908	    635005	    636647	    637815	    638526	    638796	    638649	    638105	    637179	    635923	    634415	    632733	    630951	    629137	    627357	    625665	    624074	    622593	    621251	    620056	
    503866	    507580	    500792	    501596	    500525	    498415	    495191	    493389	    493823	    493658	    490439	    483446	    479190	    489200	    471060	    463551	    469642	    463072	    465881	    465943	    479662	    513814	    530078	    545943	    560240	    563357	    556275	    558076	    563328	    572123	    579552	    582810	    583607	    581192	    575654	    577479	    579241	    578931	    580751	    585484	    590313	    594674	    598569	    602005	    605065	    607829	    610427	    613010	    615735	    618673	    621544	    624304	    626871	    629107	    630889	    632196	    633046	    633453	    633442	    633033	    632241	    631115	    629737	    628180	    626519	    624824	    623158	    621575	    620090	    618709	    617465	
    488611	    498557	    502271	    495739	    496151	    494675	    492006	    491825	    489120	    488157	    486715	    481841	    481997	    478304	    487922	    469659	    461848	    463668	    457094	    459722	    459663	    473572	    508937	    525317	    541387	    556126	    559953	    552818	    554808	    560094	    568875	    576327	    579619	    580420	    578014	    572746	    574633	    575951	    575544	    577420	    582209	    587091	    591505	    595453	    598941	    602050	    604864	    607509	    610166	    612961	    615967	    618903	    621727	    624355	    626653	    628495	    629862	    630771	    631237	    631283	    630931	    630194	    629123	    627798	    626293	    624683	    623036	    621416	    619878	    618436	    617097	
    471371	    486512	    496303	    500033	    493519	    493337	    491243	    489947	    488923	    485144	    482660	    479853	    480961	    480712	    477562	    487079	    468734	    457991	    459784	    453158	    455692	    455766	    470445	    505740	    522153	    538390	    553378	    557583	    550619	    552705	    558020	    566831	    574319	    577644	    578475	    576208	    570973	    572633	    573868	    573504	    575419	    580244	    585160	    589607	    593587	    597105	    600245	    603089	    605791	    608502	    611350	    614406	    617390	    620261	    622935	    625277	    627163	    628573	    629524	    630031	    630118	    629805	    629106	    628073	    626783	    625314	    623737	    622123	    620535	    619027	    617614	
    452217	    470240	    485238	    494983	    498677	    492120	    491291	    489717	    487679	    485763	    480870	    476835	    479634	    479909	    479338	    476775	    486206	    465645	    454927	    456649	    449988	    452592	    453113	    467832	    503101	    519594	    535995	    551542	    555850	    549009	    551174	    556548	    565410	    572944	    576319	    577226	    574970	    569630	    571235	    572488	    572151	    574089	    578935	    583869	    588333	    592329	    595863	    599019	    601905	    604647	    607397	    610282	    613374	    616392	    619297	    622003	    624377	    626293	    627732	    628713	    629248	    629362	    629075	    628403	    627394	    626129	    624683	    623129	    621537	    619969	    618481	
    434183	    451388	    469318	    484267	    493969	    497628	    491024	    490200	    488111	    485330	    482524	    476516	    477788	    479537	    479093	    478176	    476176	    483674	    463138	    452387	    454055	    447469	    450358	    450947	    465715	    500996	    517594	    534473	    550077	    554457	    547706	    549943	    555368	    564269	    571840	    575265	    576180	    573862	    568503	    570116	    571383	    571065	    573018	    577875	    582820	    587293	    591298	    594841	    598032	    600952	    603726	    606507	    609422	    612543	    615589	    618520	    621252	    623650	    625591	    627054	    628057	    628614	    628750	    628484	    627832	    626843	    625597	    624169	    622632	    621057	    619506	
    419448	    433477	    450639	    468532	    483445	    493116	    496750	    490569	    489229	    486635	    483121	    479434	    478343	    479115	    479925	    478702	    477425	    474230	    481659	    461100	    450331	    452032	    445744	    448689	    449339	    464161	    499486	    516272	    533192	    548835	    553266	    546593	    548891	    554350	    563276	    570875	    574305	    575186	    572867	    567516	    569137	    570416	    570110	    572074	    576938	    581888	    586367	    590376	    593950	    597171	    600120	    602922	    605730	    608670	    611815	    614885	    617838	    620592	    623012	    624973	    626456	    627478	    628054	    628208	    627960	    627324	    626352	    625122	    623710	    622188	    620627	
    410046	    418819	    432843	    449980	    467846	    482735	    492386	    495540	    490310	    488464	    485374	    481136	    481926	    480654	    481021	    480815	    478811	    475989	    472738	    480077	    459513	    448787	    450834	    444613	    447599	    448306	    463194	    498303	    515108	    532053	    547719	    552198	    545593	    547934	    553413	    562357	    569955	    573367	    574255	    571942	    566602	    568232	    569521	    569227	    571199	    576068	    581022	    585504	    589544	    593146	    596394	    599370	    602198	    605030	    607994	    611161	    614252	    617227	    620001	    622439	    624419	    625920	    626960	    627553	    627723	    627491	    626871	    625914	    624698	    623300	    621792	
    404526	    409474	    418265	    432274	    449393	    467241	    482113	    491295	    494441	    490168	    487820	    484241	    484484	    484864	    483488	    483370	    482156	    477815	    474935	    471611	    478885	    458366	    448089	    450183	    444002	    447027	    447801	    462128	    497224	    514032	    530989	    546682	    551204	    544650	    547021	    552522	    561461	    569040	    572458	    573350	    571046	    565719	    567358	    568657	    568373	    570350	    575224	    580181	    584693	    588760	    592390	    595664	    598664	    601516	    604371	    607357	    610546	    613657	    616651	    619444	    621900	    623898	    625416	    626472	    627081	    627266	    627049	    626444	    625501	    624298	    622913	
    400460	    403998	    408968	    417752	    431749	    448855	    466689	    480913	    490086	    493227	    489912	    487067	    488184	    488110	    488140	    486593	    485999	    481513	    477121	    474170	    470793	    478056	    458045	    447826	    449938	    443796	    446874	    446798	    461129	    496203	    513005	    529983	    545702	    550257	    543745	    546154	    551644	    560561	    568147	    571567	    572466	    570174	    564860	    566509	    567817	    567539	    569522	    574400	    579386	    583925	    588019	    591674	    594973	    597997	    600872	    603749	    606755	    609964	    613094	    616107	    618917	    621391	    623405	    624939	    626011	    626635	    626835	    626632	    626040	    625110	    623921	
