Finished reading inputs
Log likelihood: -16974.2
Log likelihood: -188.259
Log likelihood: -4049.4
Log likelihood: -26763.8
Log likelihood: -8061.54
Log likelihood: -4169.44
Log likelihood: -4794.92
Log likelihood: -10592.8
Log likelihood: -180.21
Log likelihood: -3548.29
Log likelihood: -16340.3
Log likelihood: -663.884
Log likelihood: -661.919
Log likelihood: -390.362
Log likelihood: -834.726
Log likelihood: -534.122
Log likelihood: -15578.6
Log likelihood: -5989.73
Log likelihood: -781.363
Log likelihood: -637.503
Log likelihood: -388.858
Log likelihood: -259.392
Log likelihood: -565.594
Log likelihood: -251.393
Log likelihood: -1734.6
Log likelihood: -1571.81
Log likelihood: -1510.78
Log likelihood: -11091.1
Log likelihood: -1583.11
Log likelihood: -383.841
Log likelihood: -465.552
Log likelihood: -1850.86
Log likelihood: -204.247
Log likelihood: -22947.5
Log likelihood: -1450.45
Log likelihood: -449.293
Log likelihood: -1441.8
Log likelihood: -988.291
Log likelihood: -915.213
Log likelihood: -1331.36
Log likelihood: -1164.5
Log likelihood: -296.294
Log likelihood: -875.724
Log likelihood: -424.448
Log likelihood: -3415.57
Log likelihood: -324.749
Log likelihood: -6162.43
Log likelihood: -8927.47
Log likelihood: -2072.26
Log likelihood: -380.777
Completed simulation 301
Log likelihood: -4009.37
Log likelihood: -12954.6
Log likelihood: -700.15
Log likelihood: -475.56
Log likelihood: -4840.55
Log likelihood: -1383.8
Log likelihood: -803.481
Log likelihood: -1906.81
Log likelihood: -2634.19
Log likelihood: -24511.3
Log likelihood: -14822
Log likelihood: -111.043
Log likelihood: -7758.96
Log likelihood: -1372.13
Log likelihood: -1987.04
Log likelihood: -1278.18
Log likelihood: -6457.39
Log likelihood: -3302.7
Log likelihood: -2012.66
Log likelihood: -9367.28
Log likelihood: -949.756
Log likelihood: -3376.48
Log likelihood: -2234.55
Log likelihood: -1690.55
Log likelihood: -1938.44
Log likelihood: -631.148
Log likelihood: -9683.68
Log likelihood: -729.049
Log likelihood: -7768.68
Log likelihood: -533.503
Log likelihood: -328.144
Log likelihood: -1883.23
Log likelihood: -907.45
Log likelihood: -417.556
Log likelihood: -380.497
Log likelihood: -14988.1
Log likelihood: -1145.42
Log likelihood: -1716.64
Log likelihood: -245.689
Log likelihood: -1196.05
Log likelihood: -6410.9
Log likelihood: -4690.09
Log likelihood: -723.128
Log likelihood: -5852.13
Log likelihood: -991.391
Log likelihood: -21111.3
Log likelihood: -535.311
Log likelihood: -314.015
Log likelihood: -346.795
Log likelihood: -788.227
Log likelihood: -5010.22
Log likelihood: -717.339
Log likelihood: -757.471
Log likelihood: -333.123
Log likelihood: -1807.84
Log likelihood: -2424.74
Log likelihood: -2370.5
Log likelihood: -1337.84
Log likelihood: -1249.02
Log likelihood: -4845.67
Log likelihood: -3230.74
Log likelihood: -473.682
Log likelihood: -620.567
Log likelihood: -844.963
Log likelihood: -658.697
Log likelihood: -506.1
Log likelihood: -2913.79
Log likelihood: -258.702
Log likelihood: -373.598
Log likelihood: -21277.5
Log likelihood: -288.919
Log likelihood: -7619.75
Log likelihood: -332.163
Log likelihood: -3500.32
Log likelihood: -4565.82
Log likelihood: -150.841
Log likelihood: -5755.73
Log likelihood: -347.934
Log likelihood: -1235.87
Log likelihood: -18885.9
Log likelihood: -1738.25
Log likelihood: -4447.19
Log likelihood: -208.755
Log likelihood: -7719.62
Log likelihood: -1508.49
Log likelihood: -2489.29
Log likelihood: -1020.48
Log likelihood: -12785.2
Log likelihood: -280.056
Log likelihood: -1115.34
Log likelihood: -649.495
Log likelihood: -1861.78
Log likelihood: -2877.26
Log likelihood: -4128.77
Log likelihood: -1303.17
Log likelihood: -448.7
Log likelihood: -218.301
Log likelihood: -2040.79
Log likelihood: -2560.22
Log likelihood: -6890.18
Completed simulation 401
Log likelihood: -3739.02
Log likelihood: -373.815
Log likelihood: -1398.94
Log likelihood: -1464.7
Log likelihood: -2731.59
Log likelihood: -2123.49
Log likelihood: -1090.47
Log likelihood: -39614.7
Log likelihood: -1365.24
Log likelihood: -2652.65
Log likelihood: -1033.82
Log likelihood: -2851.47
Log likelihood: -1112.46
Log likelihood: -3704.66
Log likelihood: -1012.47
Log likelihood: -407.847
Log likelihood: -23776.4
Log likelihood: -14951.3
Log likelihood: -448.755
Log likelihood: -350.371
Log likelihood: -4253.86
Log likelihood: -308.561
Log likelihood: -7809.46
Log likelihood: -2417.95
Log likelihood: -1625.37
Log likelihood: -1234.37
Log likelihood: -667.461
Log likelihood: -9149.33
Log likelihood: -3393.32
Log likelihood: -812.179
Log likelihood: -1929.3
Log likelihood: -1325.3
Log likelihood: -2175.48
Log likelihood: -843.86
Log likelihood: -248.555
Log likelihood: -719.553
Log likelihood: -3474.39
Log likelihood: -563.503
Log likelihood: -180.544
Log likelihood: -2321.71
Log likelihood: -1226.87
Log likelihood: -488.262
Log likelihood: -16532.5
Log likelihood: -1032.57
Log likelihood: -2553.23
Log likelihood: -1743.71
Log likelihood: -1071.53
Log likelihood: -254.493
Log likelihood: -1700.41
Log likelihood: -330.365
Log likelihood: -205.283
Log likelihood: -2439.14
Log likelihood: -1365.82
Log likelihood: -1473.8
Log likelihood: -1142.5
Log likelihood: -485.594
Log likelihood: -1188.21
Log likelihood: -586.681
Log likelihood: -700.755
Log likelihood: -3474.2
Log likelihood: -359.6
Log likelihood: -203.108
Log likelihood: -1864.47
Log likelihood: -2409.93
Log likelihood: -16810.6
Log likelihood: -1028.74
Log likelihood: -823.35
Log likelihood: -11857.1
Log likelihood: -754.613
Log likelihood: -163.135
Log likelihood: -2224.71
Log likelihood: -3280.98
Log likelihood: -404.966
Log likelihood: -1152.5
Log likelihood: -1811.25
Log likelihood: -2367.6
Log likelihood: -2399.09
Log likelihood: -6700.56
Log likelihood: -3565.12
Log likelihood: -968.874
Log likelihood: -11000.8
Log likelihood: -929.61
Log likelihood: -934.076
Log likelihood: -3526.26
Log likelihood: -23878.2
Log likelihood: -720.145
Log likelihood: -188.438
Log likelihood: -1083.69
Log likelihood: -13034.6
Log likelihood: -6978.25
Log likelihood: -2404.83
Log likelihood: -23626
Log likelihood: -3156.4
Log likelihood: -354.12
Log likelihood: -770.182
Log likelihood: -667.249
Log likelihood: -519.302
Log likelihood: -852.316
Log likelihood: -2270.32
Log likelihood: -707.504
Completed simulation 501
Log likelihood: -1438.87
Log likelihood: -2391.28
Log likelihood: -13326.1
Log likelihood: -4741.87
Log likelihood: -261.906
Log likelihood: -304.171
Log likelihood: -538.062
Log likelihood: -13188.2
Log likelihood: -4761.34
Log likelihood: -937.84
Log likelihood: -3405.42
Log likelihood: -666.827
Log likelihood: -1320.39
Log likelihood: -4302.6
Log likelihood: -257.395
Log likelihood: -2826.8
Log likelihood: -889.543
Log likelihood: -7219.17
Log likelihood: -14470.6
Log likelihood: -4063.74
Log likelihood: -549.156
Log likelihood: -3035.09
Log likelihood: -416.363
Log likelihood: -564.235
Log likelihood: -516.436
Log likelihood: -887.396
Log likelihood: -5959.38
Log likelihood: -7786
Log likelihood: -2968.39
Log likelihood: -163.689
Log likelihood: -7623.18
Log likelihood: -3844.56
Log likelihood: -4179.75
Log likelihood: -3776.61
Log likelihood: -320.623
Log likelihood: -462.681
Log likelihood: -1415.21
Log likelihood: -1466.43
Log likelihood: -2696.63
Log likelihood: -2215
Log likelihood: -2185.71
Log likelihood: -206.915
Log likelihood: -855.132
Log likelihood: -598.713
Log likelihood: -3472.64
