	              0	       0.727349	        1.43033	        1.57525	       0.770344	       0.852883	        1.36797	        1.92685	        1.21108	        1.03528	       0.564032	        0.95473	       0.677209	       0.954858	       0.900751	        1.38754	        1.69409	        1.72983	        1.23371
	              0	       0.308882	        3.85436	        3.43614	       0.975147	        1.14367	        1.99589	        2.69171	        3.02164	        3.38605	        1.09042	        1.61602	        2.21917	      -0.172876	       -1.01323	       -1.31083	      -0.813611	      -0.720711	     -0.0441953
	              0	       -4.51272	        -4.6489	       -4.58761	       -4.56754	       -4.52436	        -4.5274	       -4.60178	       -4.51934	        -4.5476	       -4.43891	       -4.58169	       -4.47984	       -4.47694	       -4.53011	        -4.5101	       -4.53365	       -4.49171	       -4.54157
	              0	        -4.8989	       -4.79664	       -4.83274	       -4.88071	       -4.89865	       -4.95989	       -4.89154	       -4.95131	       -4.99016	       -4.99345	        -4.8771	       -5.00646	       -4.99712	       -4.90319	       -4.96145	       -4.94732	       -5.03217	       -4.95923
	              0	       0.178529	       0.204571	       0.203526	       0.216436	       0.258226	       0.231004	        0.31174	       0.180346	        0.19363	       0.231867	       0.242199	       0.227499	       0.183622	       0.214703	       0.183268	       0.201536	       0.215119	       0.252114
	              0	         3.5213	        3.45821	          3.503	        3.53612	        3.53405	        3.51669	        3.49809	        3.52049	        3.50433	        3.54825	        3.57969	        3.60217	        3.49967	        3.52567	         3.4962	        3.52056	         3.5216	        3.54896
	              0	        3.01112	         2.9565	        3.03595	        3.04292	        3.04635	        3.09205	        3.09365	         3.1045	         3.0775	        3.05808	         3.1464	        3.19382	        3.00259	        3.08268	        3.02146	        3.09201	        3.14381	        3.18209
	              0	       0.882333	        1.37463	        1.17483	        1.38365	        1.25085	        1.27914	        1.38399	        1.32852	        1.66949	        1.25347	        1.26668	        1.39999	        1.35908	        1.34677	        1.49322	        1.47653	        1.58465	        1.43713
	              0	        1.96336	       0.576687	       0.269657	      -0.240226	       -1.60312	       -1.84929	       -1.39074	      0.0858052	        -1.6585	        1.17341	       0.647936	        0.43107	       -0.18761	     -0.0621481	      -0.186659	      -0.907646	       0.417134	       -1.38439
	              0	        -6.5424	       -6.84859	       -6.72932	       -6.78266	        -6.6298	       -6.75296	       -6.74021	       -6.70571	       -6.68649	        -6.6464	       -6.67683	       -6.36449	       -6.54363	       -6.78186	       -6.88738	       -6.85904	       -6.96636	       -6.81409
	              0	        1.98427	        1.47255	        1.57234	        1.50396	        1.43597	        1.70176	        1.44051	        1.51371	        1.22586	         1.5079	        1.50762	        1.06515	        1.49749	        1.67414	        1.76655	        1.65708	        1.69692	        1.57475
