	        7.12596	      -0.441099	      -0.648329	        2.49102	       -18.0639	        9.45292	         8.1894	       0.195851	       -1.10784	        1.20333
	      -0.441099	        2.21453	      -0.129335	       0.161164	       -3.51014	        1.19025	        2.19299	      -0.363242	      -0.135196	     -0.0972096
	      -0.648329	      -0.129335	        24.7205	        1.77357	       -3.60706	        2.93362	        -3.7304	        2.34402	      -0.124699	        2.13582
	        2.49102	       0.161164	        1.77357	        31.5732	        8.84673	       -8.86257	       -5.51336	      -0.860773	       0.598241	       -1.87439
	       -18.0639	       -3.51014	       -3.60706	        8.84673	        334.776	        70.4843	        68.8533	       -14.1303	       -3.84059	       -2.02368
	        9.45292	        1.19025	        2.93362	       -8.86257	        70.4843	        208.988	       -9.80598	        5.34712	        1.76209	        1.38329
	         8.1894	        2.19299	        -3.7304	       -5.51336	        68.8533	       -9.80598	         494.21	      -0.982475	        1.39341	      -0.747936
	       0.195851	      -0.363242	        2.34402	      -0.860773	       -14.1303	        5.34712	      -0.982475	        16.1414	      -0.615032	       -7.71574
	       -1.10784	      -0.135196	      -0.124699	       0.598241	       -3.84059	        1.76209	        1.39341	      -0.615032	        1.94527	      -0.516672
	        1.20333	     -0.0972096	        2.13582	       -1.87439	       -2.02368	        1.38329	      -0.747936	       -7.71574	      -0.516672	          14.13
