	              0	        1.36326	        1.29592	       0.855314	       0.987016	        1.03062	        1.03219	        1.34723	        1.36243	        1.57273
	              0	        1.20127	        0.98547	       0.642131	        1.31437	        1.28292	       0.854838	       0.875482	        1.83679	        1.98766
	              0	       -4.58493	        -4.6265	       -4.49322	       -4.47276	       -4.49258	       -4.55578	       -4.54727	       -4.54382	       -4.56886
	              0	       -4.98272	       -4.90022	       -5.11095	       -5.17969	       -5.11034	       -4.99013	       -5.03607	       -5.07247	       -5.07774
	              0	       0.420939	       0.314417	       0.227482	       0.237035	        0.20887	       0.264341	       0.227719	       0.303231	       0.224565
	              0	        3.39771	        3.52366	        3.48323	        3.45306	        3.43693	        3.46762	        3.43878	        3.42249	        3.45531
	              0	        3.04347	        3.12177	        3.12686	        3.07013	        3.05161	        3.02084	        3.06036	         3.0263	        3.11049
	              0	        2.05503	         2.1304	        2.18151	        2.16713	        2.03116	         1.9351	        2.04512	        1.98104	        2.03575
	              0	        2.49414	        2.03514	        1.94886	        1.46333	       0.646806	       0.127137	      -0.391512	       0.192438	       0.120692
	              0	       -6.26444	       -6.36866	       -6.15588	       -6.02382	       -5.93854	       -5.96554	        -6.0413	        -5.9325	       -5.97989
