	              0	        1.36326	        1.20554	        1.49653	        1.03387	        1.33103	        1.35316	       0.993155	       0.978523	        1.16224	        1.05685	        1.50948	        1.51935	       0.959096	        1.04509
	              0	        1.20127	        2.62368	        1.49986	        1.90591	        1.86834	         1.7568	        2.07898	         1.3483	        1.69618	        1.18249	        1.23263	       0.843495	       0.539456	         1.3709
	              0	       -4.58493	        -4.5767	       -4.73789	       -4.64617	       -4.59208	        -4.5575	       -4.53756	       -4.49662	       -4.57934	       -4.52733	       -4.56103	       -4.62926	       -4.56987	       -4.54369
	              0	       -4.98272	       -5.02764	       -4.82405	       -4.96117	       -4.95979	       -4.97454	       -5.01507	       -5.08512	       -5.03741	       -5.12883	       -5.07013	       -5.00773	       -4.98961	       -5.04244
	              0	       0.420939	        0.47847	       0.343401	       0.354355	       0.322888	       0.277853	       0.335422	       0.270651	       0.337715	       0.288569	       0.311054	       0.250874	       0.274958	       0.239211
	              0	        3.39771	        3.49829	        3.45665	        3.50712	        3.49919	        3.50163	        3.49839	        3.49143	        3.46427	         3.4216	        3.45273	        3.44873	        3.49121	        3.43909
	              0	        3.04347	        3.05089	        3.09252	        3.11132	        3.07055	        3.11514	        3.05811	        3.10802	        3.08353	        3.01756	         3.1471	        3.10967	        3.06034	        3.02242
	              0	        2.05503	        1.98269	         1.8398	        1.94682	        1.90331	        1.81292	        1.98448	        1.92707	        2.01161	        2.23527	         2.0035	        1.96291	        1.98801	        1.95779
	              0	        2.49414	        0.87664	        1.93862	        2.83618	        1.69097	        1.69637	       0.354575	        1.59045	      0.0130378	      -0.545203	       0.521886	       0.472641	        1.06644	       0.484078
	              0	       -6.26444	       -6.05263	       -5.97099	       -5.94977	       -5.98796	         -5.879	       -6.05388	       -5.88891	       -6.00697	       -6.12658	       -5.91738	       -5.89691	       -6.00831	       -5.92234
