    520301	    512615	    513612	    512728	    510962	    508302	    504880	    506861	    508290	    507123	    503245	    491232	    502154	    484629	    477511	    484638	    479024	    482892	    483432	    497399	    531927	    546317	    561080	    574200	    575124	    565890	    567814	    572834	    581538	    588840	    591887	    592523	    589972	    584278	    585560	    587296	    588077	    590387	    595243	    600121	    604480	    608327	    611678	    614621	    617247	    619687	    622100	    624621	    627358	    630026	    632584	    634947	    636977	    638551	    639650	    640295	    640502	    640296	    639699	    638726	    637428	    635885	    634175	    632370	    630542	    628754	    627060	    625472	    623996	    622660	    621471	
    503866	    507580	    500784	    501584	    500509	    498403	    495215	    493524	    494180	    494285	    491251	    484312	    480026	    490018	    471854	    464370	    470533	    464024	    466905	    467012	    480791	    515043	    531353	    547259	    561592	    564723	    557626	    559429	    564688	    573479	    580895	    584128	    584897	    582458	    576890	    578704	    580459	    580144	    582301	    587289	    592310	    596813	    600810	    604310	    607399	    610169	    612750	    615299	    617979	    620868	    623684	    626387	    628893	    631064	    632778	    634018	    634802	    635147	    635078	    634617	    633778	    632611	    631198	    629614	    627932	    626222	    624548	    622963	    621481	    620106	    618868	
    488611	    498557	    502271	    495729	    496136	    494656	    491994	    491862	    489300	    488610	    487487	    482817	    483012	    479261	    488831	    470510	    462697	    464567	    458037	    460723	    460700	    474670	    510134	    526563	    542677	    557460	    561306	    554162	    556156	    561448	    570226	    577665	    580933	    581705	    579275	    573978	    575854	    577165	    576752	    578963	    584005	    589079	    593636	    597685	    601236	    604376	    607194	    609824	    612447	    615198	    618154	    621036	    623804	    626372	    628605	    630379	    631679	    632523	    632927	    632916	    632511	    631728	    630616	    629257	    627724	    626092	    624431	    622804	    621264	    619825	    618492	
    471371	    486512	    496303	    500032	    493508	    493321	    491223	    489937	    488968	    485350	    483162	    480693	    482010	    481792	    478570	    488024	    469607	    458851	    460685	    454096	    456682	    456791	    471532	    506926	    523387	    539670	    554704	    558932	    551960	    554050	    559372	    568179	    575655	    578955	    579757	    577467	    572203	    573852	    575078	    574709	    576958	    582036	    587143	    591733	    595814	    599396	    602567	    605416	    608101	    610779	    613583	    616590	    619520	    622335	    624948	    627226	    629045	    630388	    631274	    631719	    631748	    631383	    630638	    629564	    628241	    626744	    625146	    623518	    621922	    620412	    619002	
    452217	    470240	    485238	    494983	    498676	    492109	    491275	    489697	    487671	    485817	    481094	    477372	    480520	    481005	    480459	    477813	    487174	    466531	    455793	    457550	    450922	    453577	    454133	    468913	    504280	    520822	    537270	    552864	    557195	    550348	    552518	    557898	    566757	    574279	    577629	    578508	    576227	    570859	    572452	    573698	    573355	    575627	    580725	    585850	    590457	    594554	    598152	    601338	    604229	    606955	    609672	    612513	    615556	    618521	    621369	    624015	    626325	    628174	    629546	    630462	    630935	    630992	    630653	    629934	    628885	    627586	    626112	    624537	    622930	    621355	    619866	
    434183	    451388	    469318	    484267	    493969	    497627	    491012	    490182	    488091	    485324	    482585	    476760	    478356	    480462	    480230	    479331	    477238	    484658	    464033	    453257	    454957	    448401	    451341	    451964	    466793	    502171	    518817	    535745	    551397	    555801	    549043	    551286	    556717	    565614	    573173	    576574	    577461	    575119	    569731	    571332	    572592	    572267	    574554	    579664	    584799	    589415	    593521	    597128	    600349	    603274	    606033	    608781	    611653	    614724	    617717	    620591	    623263	    625598	    627471	    628867	    629805	    630301	    630379	    630062	    629363	    628333	    627053	    625598	    624040	    622451	    620892	
    419448	    433477	    450639	    468532	    483445	    493116	    496749	    490556	    489211	    486615	    483117	    479504	    478606	    479714	    480891	    479877	    478611	    475314	    482658	    462004	    451205	    452935	    446676	    449670	    450353	    465235	    500658	    517492	    534462	    550153	    554608	    547930	    550233	    555698	    564621	    572208	    575614	    576466	    574123	    568744	    570353	    571624	    571312	    573609	    578726	    583867	    588487	    592598	    596236	    599487	    602441	    605228	    608003	    610900	    613995	    617012	    619909	    622603	    624958	    626852	    628268	    629226	    629740	    629837	    629537	    628855	    627842	    626578	    625138	    623596	    622020	
    410046	    418819	    432843	    449980	    467846	    482735	    492386	    495539	    490297	    488445	    485354	    481135	    482005	    480937	    481653	    481821	    480024	    477205	    473843	    481090	    460425	    449665	    451739	    445544	    448578	    449318	    464266	    499472	    516326	    533321	    549036	    553540	    546929	    549275	    554761	    563702	    571288	    574675	    575535	    573198	    567829	    569447	    570729	    570429	    572733	    577855	    583000	    587624	    591765	    595431	    598710	    601690	    604503	    607302	    610223	    613341	    616379	    619297	    622011	    624386	    626298	    627733	    628708	    629239	    629352	    629068	    628402	    627404	    626154	    624728	    623199	
    404526	    409474	    418265	    432274	    449393	    467241	    482113	    491295	    494439	    490154	    487801	    484221	    484486	    484953	    483792	    484036	    483202	    479065	    476179	    472737	    479911	    459285	    448971	    451089	    444933	    448005	    448811	    463198	    498391	    515248	    532256	    547997	    552545	    545985	    548361	    553869	    562805	    570372	    573766	    574630	    572302	    566945	    568573	    569865	    569574	    571884	    577010	    582158	    586812	    590980	    594673	    597978	    600984	    603820	    606643	    609585	    612725	    615783	    618720	    621453	    623846	    625776	    627228	    628219	    628767	    628895	    628626	    627974	    626991	    625754	    624341	
    400460	    403998	    408968	    417752	    431749	    448855	    466689	    480913	    490086	    493226	    489897	    487047	    488164	    488115	    488240	    486919	    486699	    482599	    478408	    475442	    471936	    479093	    458969	    448711	    450845	    444727	    447850	    447806	    462196	    497368	    514219	    531248	    547017	    551597	    545080	    547494	    552991	    561905	    569479	    572875	    573746	    571430	    566087	    567724	    569023	    568740	    571056	    576185	    581362	    586043	    590238	    593957	    597287	    600316	    603175	    606020	    608983	    612142	    615220	    618176	    620926	    623336	    625283	    626751	    627758	    628320	    628463	    628208	    627570	    626600	    625376	
