     0	     0	 0.0231513	 0.0457572	  0.112497	  0.196242	  0.241128	  0.229981	  0.196492	   0.15731	  0.122208	 0.0585959	  0.162253	  0.273003	  0.355261	  0.369077	  0.308075	  0.247569	   0.19206	  0.138583
     1	     0	 0.0237857	 0.0467642	  0.114983	  0.201164	  0.246546	  0.234217	  0.199009	   0.15877	  0.123718	 0.0565662	  0.152582	  0.259233	  0.342394	  0.359942	  0.302614	  0.244246	  0.190471	   0.13855
     2	     0	 0.0236849	 0.0466738	   0.11472	  0.200436	  0.245485	  0.233155	   0.19854	  0.158858	  0.123755	  0.057604	  0.155141	  0.262974	  0.345686	  0.359967	  0.300486	  0.242541	  0.188888	  0.136981
     3	     0	 0.0234001	 0.0449856	  0.110766	   0.19323	  0.237534	  0.227502	   0.19586	  0.158423	  0.124283	 0.0602402	  0.166037	  0.276946	  0.356895	  0.369058	  0.309834	  0.251865	  0.197834	  0.144906
     4	     0	 0.0235177	 0.0471433	  0.114453	  0.199017	  0.243526	  0.231208	  0.197031	  0.157819	  0.123389	 0.0577423	  0.156075	  0.264007	   0.34651	  0.359629	  0.299741	  0.242696	  0.190456	  0.139743
     5	     0	 0.0239727	 0.0492385	  0.120121	  0.206762	  0.250438	  0.236297	  0.200187	  0.159544	  0.124077	 0.0612361	  0.168272	   0.28033	  0.363374	  0.375812	  0.311533	  0.249401	  0.193405	  0.139851
     6	     0	 0.0229252	 0.0436909	  0.110111	  0.194702	  0.240928	  0.231389	     0.199	  0.160583	  0.125751	 0.0565778	  0.157112	   0.26789	  0.350924	  0.368318	  0.312453	  0.254655	  0.199256	  0.144808
     7	     0	 0.0231762	   0.04529	  0.111728	    0.1946	  0.239075	  0.228456	  0.195901	  0.157557	  0.122968	  0.058188	  0.161972	  0.272401	  0.353275	  0.367408	  0.308604	  0.249297	  0.194525	  0.141358
     8	     0	 0.0237076	 0.0465543	   0.11467	  0.200741	  0.246772	   0.23492	  0.200002	  0.159763	  0.124517	 0.0569664	   0.15545	  0.265175	  0.350247	  0.368223	  0.309645	  0.249842	  0.194803	  0.141723
     9	     0	 0.0234023	 0.0458825	  0.110699	  0.193268	  0.237791	  0.227022	   0.19398	  0.155361	  0.120983	 0.0604375	  0.164153	  0.273566	  0.354913	  0.366503	  0.304094	  0.244445	  0.190232	  0.138085
