invIMIS 0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
invIMIS 1
	        5.00847	       0.021218	       0.296929	       0.398785	       -7.46876	        7.64492	        1.83446	       -1.17881	      -0.604821	       0.476332
	       0.021218	        1.52006	      0.0138832	     -0.0864011	      -0.933036	      0.0878682	        1.61597	      -0.563746	     -0.0634544	      -0.447658
	       0.296929	      0.0138832	        17.1473	       0.599735	       0.945142	       0.290773	       -3.55915	       0.689089	     -0.0173336	       0.610914
	       0.398785	     -0.0864011	       0.599735	        22.7104	      -0.587112	       -3.30146	        -1.9262	        1.11659	       0.268038	       0.247379
	       -7.46876	      -0.933036	       0.945142	      -0.587112	        258.034	        39.4766	         29.695	       -18.2206	       -1.92644	       -7.13537
	        7.64492	      0.0878682	       0.290773	       -3.30146	        39.4766	        134.229	        1.40408	         5.6812	       0.846783	       0.202823
	        1.83446	        1.61597	       -3.55915	        -1.9262	         29.695	        1.40408	        331.066	        2.45992	       0.607299	        4.05496
	       -1.17881	      -0.563746	       0.689089	        1.11659	       -18.2206	         5.6812	        2.45992	        13.1838	      -0.623518	       -3.63565
	      -0.604821	     -0.0634544	     -0.0173336	       0.268038	       -1.92644	       0.846783	       0.607299	      -0.623518	        1.33932	        -0.5212
	       0.476332	      -0.447658	       0.610914	       0.247379	       -7.13537	       0.202823	        4.05496	       -3.63565	        -0.5212	        10.1768
invIMIS 2
	         8.0204	       0.220462	      0.0627225	        2.62501	        2.82375	        6.57836	        15.5166	       -4.30159	      -0.477453	       0.322329
	       0.220462	        2.81669	       0.516459	       -0.51559	       -2.08744	        1.50292	       0.875157	       -1.00542	      -0.209123	      -0.337707
	      0.0627225	       0.516459	        30.6719	        1.31214	        13.7206	       -3.11271	        10.4764	      -0.797775	       0.455107	     -0.0377998
	        2.62501	       -0.51559	        1.31214	        37.0661	       -17.5948	       -3.03352	        -20.793	        3.85745	       0.252269	       0.643271
	        2.82375	       -2.08744	        13.7206	       -17.5948	         336.55	        77.2307	       -52.7179	       -10.9588	       -7.11708	       -12.8632
	        6.57836	        1.50292	       -3.11271	       -3.03352	        77.2307	        229.079	        39.1201	        3.78934	        2.18885	        2.38695
	        15.5166	       0.875157	        10.4764	        -20.793	       -52.7179	        39.1201	        483.325	        19.6756	       -1.15092	        3.81877
	       -4.30159	       -1.00542	      -0.797775	        3.85745	       -10.9588	        3.78934	        19.6756	        18.9661	      -0.133249	       -6.17403
	      -0.477453	      -0.209123	       0.455107	       0.252269	       -7.11708	        2.18885	       -1.15092	      -0.133249	        2.24819	      -0.858261
