   53.6038	    52.457	   50.9323	   49.4746	   48.0741	   46.7877	   45.8003	   45.1092	    44.938	   45.3914	   46.3764	    47.817	   48.9064	   51.3046	   51.5267	   51.8672	   52.3137	   54.8507	   56.2912	   55.4522	    52.995	   50.0541	   45.5693	   41.2563	   36.3528	   32.7565	   31.0479	   30.2913	   29.6154	   28.9466	   28.3169	    27.839	   27.4495	   27.1907	   25.1065	   24.9637	   29.0549	   29.3203	   28.5546	   27.7831	   27.0327	   26.3013	   25.5958	   24.9175	   24.2652	   23.6352	   23.0253	    22.434	   21.8579	   21.2983	   20.7544	   20.2254	   19.7111	   19.2118	   18.7273	    18.257	   17.8007	    17.358	   16.9282	   16.5114	   16.1072	   15.7152	   15.3352	   14.9666	   14.6091	   14.2624	   13.9259	   13.5994	   13.2826	    12.975	   12.6765	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	
   53.6002	   52.4461	   50.9147	   49.4431	   48.0232	   46.7063	   45.6316	   44.8125	   44.4122	    44.642	     45.45	   46.7497	   47.7789	   50.0971	   50.3367	   50.7331	   51.1881	   53.7817	   55.2816	   54.4793	   52.0248	    49.163	   44.8135	   40.7016	   36.0031	   32.5773	   30.9459	     30.21	   29.5499	   28.8921	   28.2767	   27.8063	   27.4199	   27.1615	   25.0766	    24.934	   29.0241	   29.2902	   28.5267	    27.759	   27.0121	   26.2837	   25.5803	   24.9035	   24.2522	   23.6227	   23.0133	   22.4223	   21.8465	   21.2872	   20.7436	   20.2151	   19.7012	   19.2024	   18.7182	   18.2484	   17.7926	   17.3502	   16.9209	   16.5044	   16.1005	   15.7089	   15.3291	   14.9609	   14.6037	   14.2572	    13.921	   13.5946	   13.2779	   12.9706	   12.6723	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	
   53.6067	   52.4656	   50.9458	   49.4965	   48.1109	   46.8584	   45.9791	   45.4799	   45.5479	   46.1887	   47.2445	   48.8163	   49.9415	   52.3303	   52.5057	   52.8726	   53.3252	   55.8483	   57.2485	   56.3439	   53.8035	   50.7461	   46.1288	   41.6892	   36.6419	   32.9235	   31.1582	   30.3843	   29.6963	   29.0136	   28.3657	   27.8783	   27.4846	   27.2253	   25.1413	   24.9983	   29.0901	    29.355	   28.5873	   27.8116	   27.0574	   26.3227	   25.6149	   24.9351	    24.282	   23.6515	   23.0414	   22.4498	   21.8735	   21.3136	   20.7693	     20.24	   19.7253	   19.2255	   18.7406	   18.2699	   17.8131	   17.3699	   16.9397	   16.5224	   16.1177	   15.7253	   15.3448	   14.9758	    14.618	    14.271	   13.9342	   13.6073	   13.2902	   12.9823	   12.6835	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	
   74.1358	   72.2965	   70.1725	   68.1033	    66.097	     64.24	   62.7405	   61.6657	    61.338	   61.9618	    63.491	   65.8132	   68.0543	   72.1398	   73.9727	   76.2434	   78.1706	   81.4257	   83.5778	   83.2044	   79.4208	    74.842	   68.9026	   62.9007	    55.258	   48.4387	   44.5362	   42.7486	   41.4254	   40.2906	   39.1612	   38.2683	   37.6204	   37.1417	    34.165	   33.9438	   39.5946	   40.1772	   39.1455	   38.0632	   37.0043	   35.9771	   34.9925	   34.0545	   33.1593	   32.2972	   31.4637	   30.6557	   29.8698	   29.1068	   28.3658	   27.6457	   26.9461	   26.2672	   25.6086	   24.9698	   24.3502	   23.7492	   23.1662	    22.601	    22.053	   21.5219	    21.007	    20.508	   20.0242	   19.5551	   19.1003	   18.6591	   18.2313	   17.8164	    17.414	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	
   74.1321	   72.2837	   70.1494	   68.0623	    66.027	   64.1322	   62.5271	   61.2675	   60.6286	   60.9099	   62.0841	   64.1883	   66.2468	   70.2346	   71.9824	   74.3756	   76.3443	   79.6365	   81.9338	   81.5795	   77.8576	   73.3676	   67.5655	   61.8427	   54.5197	   47.9939	   44.2819	   42.5782	   41.2924	   40.1789	   39.0764	   38.2007	     37.56	   37.0833	   34.1066	   33.8847	   39.5351	    40.119	   39.0906	   38.0173	   36.9665	   35.9442	   34.9638	   34.0292	   33.1354	   32.2741	   31.4411	   30.6336	   29.8481	   29.0856	   28.3451	   27.6258	    26.927	   26.2487	   25.5908	   24.9527	   24.3339	   23.7338	   23.1517	   22.5872	   22.0401	   21.5097	   20.9955	    20.497	   20.0138	   19.5452	   19.0907	   18.6499	   18.2225	   17.8079	   17.4058	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	
   74.1387	   72.3067	   70.1903	   68.1333	   66.1466	    64.333	   62.9665	   62.1522	   62.1829	   63.1446	    64.875	   67.2981	   69.8114	   73.8415	   75.5596	   77.8554	    79.805	   83.0536	   85.1623	    84.703	   80.7937	   76.0392	   69.9048	   63.7003	   55.8532	   48.8245	   44.7895	   42.9447	   41.5884	   40.4288	   39.2656	   38.3507	   37.6936	   37.2121	   34.2353	   34.0144	   39.6662	   40.2477	   39.2131	   38.1217	   37.0542	     36.02	   35.0306	   34.0896	   33.1929	   32.3301	   31.4961	   30.6877	   29.9014	    29.138	   28.3964	   27.6756	   26.9752	   26.2955	   25.6361	   24.9963	   24.3758	   23.7738	   23.1899	   22.6237	   22.0748	   21.5427	    21.027	   20.5271	   20.0425	   19.5727	   19.1171	   18.6753	   18.2468	   17.8313	   17.4283	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	
   13.2778	   56.8053	   129.519	   267.924	   542.514	   1099.99	   2242.03	   4531.19	   8794.71	   16036.2	   27212.9	   42972.1	   63623.5	   88524.2	    117660	    149680	    180365	    211608	    241560	    270754	    280774	    276156	    259133	    238237	    213475	    181892	    149327	    119862	    103592	   95555.5	   91945.1	   87691.9	   82966.1	   79004.2	   76014.4	   72479.9	   67898.9	   62976.3	   58576.2	   54935.6	   51949.3	   49696.5	   47993.7	   46777.1	   46054.7	   45636.2	   45416.3	   45265.7	     45143	   45024.5	   44895.1	   44744.3	     44565	   44352.7	   44104.3	   43818.3	   43494.3	   43132.1	   42732.2	     42295	     41821	   41310.9	   40765.7	     40186	   39572.8	     38927	   38249.7	   37541.9	   36804.8	   36039.9	   35248.8	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	
   8.68606	   37.4186	   87.0299	   186.307	   391.956	   853.193	   1829.64	   3675.61	    7169.1	   13209.1	   22665.8	   36479.8	   55260.9	   78222.8	    105579	    136075	    165683	    196026	    226357	    256181	    266621	    263077	    247278	    227345	    203625	    173180	    141768	    113890	   98047.7	   89968.4	   86233.8	   82048.5	   77314.9	   73224.3	   70098.6	   66325.3	   62208.9	   58155.3	   54686.8	   51837.2	   49474.5	     47676	     46306	   45306.9	   44701.3	   44346.5	   44154.9	   44014.3	   43891.6	   43769.2	   43634.2	   43485.9	   43308.4	   43100.7	   42850.8	   42567.1	     42246	   41887.7	   41495.1	     41061	   40593.9	   40094.5	   39560.9	   38993.9	   38394.5	   37763.4	   37101.6	   36410.2	   35690.5	   34943.7	   34171.5	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	
   16.8806	   71.5896	   159.734	    323.09	   644.096	   1287.68	   2720.17	   5654.97	   11067.7	   20012.3	   33372.7	   51620.8	   74773.7	    101913	    132832	    166037	    197283	    228566	    258513	    287375	    296502	    290619	    271827	    249574	    223116	    190053	    157050	    125698	    110096	    102542	     98875	   94565.8	   90056.7	   86213.1	     83439	   80056.2	   74817.9	   68749.1	   63105.6	   58466.1	     54707	   51894.5	   49791.3	   48300.6	   47421.7	     46916	   46653.4	   46478.9	   46342.9	   46217.2	   46084.1	   45931.7	   45751.8	     45539	     45290	     45003	   44678.9	     44329	   43940.6	   43514.3	   43050.4	   42549.6	   42012.6	   41440.4	   40833.6	   40178.6	   39490.6	   38783.8	   38065.3	   37318.2	   36543.9	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	
    258486	    263822	    269453	    275022	    280541	    286031	    292280	    300151	    307975	    315683	    323208	    330391	    336154	    338543	    341642	    344567	    349252	    360219	    375970	    379388	    383630	    391132	    396539	    402663	    408136	    413847	    419982	    425034	    430244	    435412	    440544	    445639	    450689	    456059	    489507	    590454	    575454	    482650	    488335	    494452	    500985	    507923	    515254	    522968	    531048	    539481	    548271	    557426	    566983	    576937	    587265	    597926	    608864	    620027	    631387	    642930	    654647	    666536	    678588	    690783	    703105	    715545	    728099	    740775	    753594	    766582	    779759	    793143	    806726	    820474	    834383	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	
