cholIMIS 0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
cholIMIS 1
	       0.637003	       0.211384	      -0.030107	     -0.0410468	      0.0585741	     -0.0694336	     -0.0150142	       0.256535	       0.619867	       0.154116
	              0	       0.859101	      -0.010376	    -0.00636483	      0.0169538	     -0.0111161	     -0.0080877	       0.102531	       0.163137	       0.098883
	              0	              0	       0.243279	    -0.00354407	    -0.00513089	      0.0024751	     0.00374733	      -0.031957	     -0.0344431	     -0.0328384
	              0	              0	              0	       0.212325	    -0.00580337	     0.00934178	     0.00257491	     -0.0431598	     -0.0898618	     -0.0304634
	              0	              0	              0	              0	      0.0749048	     -0.0308213	    -0.00989591	       0.166785	       0.259941	       0.129973
	              0	              0	              0	              0	              0	      0.0876418	    0.000440045	     -0.0485304	     -0.0874419	     -0.0237378
	              0	              0	              0	              0	              0	              0	      0.0552803	     -0.0214181	     -0.0475342	     -0.0321126
	              0	              0	              0	              0	              0	              0	              0	       0.296363	       0.182817	       0.115238
	              0	              0	              0	              0	              0	              0	              0	              0	        0.87283	      0.0447017
	              0	              0	              0	              0	              0	              0	              0	              0	              0	       0.313469
cholIMIS 2
	        0.45083	      0.0533873	      0.0067932	      -0.063336	     0.00499671	     -0.0169799	     -0.0226666	       0.171665	       0.163715	      0.0690321
	              0	       0.625973	     -0.0188783	      0.0072015	       0.014384	     -0.0118639	   -0.000307167	       0.058422	       0.139826	      0.0476592
	              0	              0	       0.186668	     -0.0162672	     -0.0141011	     0.00930859	    -0.00735965	     0.00441174	     -0.0974996	     -0.0113386
	              0	              0	              0	       0.171946	     0.00911279	     -0.0017492	      0.0105281	     -0.0454442	     0.00783132	     -0.0160369
	              0	              0	              0	              0	      0.0642395	     -0.0272063	     0.00665661	      0.0630766	       0.266962	      0.0784954
	              0	              0	              0	              0	              0	      0.0670478	    -0.00492043	     -0.0138147	     -0.0744794	     -0.0153598
	              0	              0	              0	              0	              0	              0	       0.046797	     -0.0575207	     0.00994306	     -0.0277783
	              0	              0	              0	              0	              0	              0	              0	       0.243447	      0.0455608	       0.081549
	              0	              0	              0	              0	              0	              0	              0	              0	       0.672788	      0.0305344
	              0	              0	              0	              0	              0	              0	              0	              0	              0	       0.229957
cholIMIS 3
	       0.401183	       0.122724	      0.0173429	     -0.0747402	      0.0210211	     -0.0259039	    -0.00526404	       0.103992	       0.265826	     -0.0444925
	              0	       0.552571	    -0.00111946	     -0.0121396	      0.0130454	    -0.00735092	     0.00301289	      0.0155796	       0.124012	     -0.0178737
	              0	              0	       0.162557	     -0.0133736	    -0.00121725	    0.000525259	    0.000104617	    -0.00835535	     -0.0224921	     -0.0279306
