	        5.00847	       0.021218	       0.296929	       0.398785	       -7.46876	        7.64492	        1.83446	       -1.17881	      -0.604821	       0.476332
	       0.021218	        1.52006	      0.0138832	     -0.0864011	      -0.933036	      0.0878682	        1.61597	      -0.563746	     -0.0634544	      -0.447658
	       0.296929	      0.0138832	        17.1473	       0.599735	       0.945142	       0.290773	       -3.55915	       0.689089	     -0.0173336	       0.610914
	       0.398785	     -0.0864011	       0.599735	        22.7104	      -0.587112	       -3.30146	        -1.9262	        1.11659	       0.268038	       0.247379
	       -7.46876	      -0.933036	       0.945142	      -0.587112	        258.034	        39.4766	         29.695	       -18.2206	       -1.92644	       -7.13537
	        7.64492	      0.0878682	       0.290773	       -3.30146	        39.4766	        134.229	        1.40408	         5.6812	       0.846783	       0.202823
	        1.83446	        1.61597	       -3.55915	        -1.9262	         29.695	        1.40408	        331.066	        2.45992	       0.607299	        4.05496
	       -1.17881	      -0.563746	       0.689089	        1.11659	       -18.2206	         5.6812	        2.45992	        13.1838	      -0.623518	       -3.63565
	      -0.604821	     -0.0634544	     -0.0173336	       0.268038	       -1.92644	       0.846783	       0.607299	      -0.623518	        1.33932	        -0.5212
	       0.476332	      -0.447658	       0.610914	       0.247379	       -7.13537	       0.202823	        4.05496	       -3.63565	        -0.5212	        10.1768
