Finished reading inputs
Log likelihood: -1510.28
Log likelihood: -9510.49
Log likelihood: -23492.7
Log likelihood: -3716.59
Log likelihood: -4644.74
Log likelihood: -28031.1
Log likelihood: -19227.8
Log likelihood: -4012.53
Log likelihood: -6750.56
Log likelihood: -16462.7
Log likelihood: -345.703
Log likelihood: -6157.81
Log likelihood: -19282.2
Log likelihood: -1351.58
Log likelihood: -8340.8
Log likelihood: -1949.95
Log likelihood: -1005.05
Log likelihood: -3934.4
Log likelihood: -17106.5
Log likelihood: -6435.93
Log likelihood: -4442.47
Log likelihood: -1557.33
Log likelihood: -1283.37
Log likelihood: -996.812
Log likelihood: -1281.58
Log likelihood: -1408.1
Log likelihood: -1628.99
Log likelihood: -1593.38
Log likelihood: -3771.83
Log likelihood: -29661.6
Log likelihood: -1660.76
Log likelihood: -866.672
Log likelihood: -762.736
Log likelihood: -6024.84
Log likelihood: -1022.32
Log likelihood: -24999.6
Log likelihood: -19025.6
Log likelihood: -2843.18
Log likelihood: -1570.9
Log likelihood: -1145.38
Log likelihood: -798.38
Log likelihood: -2722.16
Log likelihood: -961.132
Log likelihood: -1151.47
Log likelihood: -544.689
Log likelihood: -352.834
Log likelihood: -3339.17
Log likelihood: -5125.4
Log likelihood: -13648
Log likelihood: -12035.4
Log likelihood: -1614.01
Log likelihood: -6480.75
Completed simulation 301
Log likelihood: -3875.47
Log likelihood: -16135
Log likelihood: -3021.59
Log likelihood: -509.345
Log likelihood: -8884.3
Log likelihood: -5576.3
Log likelihood: -859.346
Log likelihood: -1575.58
Log likelihood: -1981.25
Log likelihood: -29742.1
Log likelihood: -15071.5
Log likelihood: -3043.08
Log likelihood: -9678.35
Log likelihood: -1850.96
Log likelihood: -11321.8
Log likelihood: -830.162
Log likelihood: -18689.7
Log likelihood: -2735.14
Log likelihood: -1538.13
Log likelihood: -12782
Log likelihood: -9317.92
Log likelihood: -4670.28
Log likelihood: -3646.58
Log likelihood: -1513.74
Log likelihood: -2626.99
Log likelihood: -2202.44
Log likelihood: -12690.9
Log likelihood: -1773.92
Log likelihood: -17486.1
Log likelihood: -472.85
Log likelihood: -5682.93
Log likelihood: -1609.07
Log likelihood: -8039.45
