	              0	        1.36326	        1.71163	       0.809136	       0.486099	       0.595967	       0.343376	       0.757369	        1.04681	       0.592047	       0.837107	       0.923525	        1.09776	        1.27003	       0.908012	        1.13532
	              0	        1.20127	        1.06799	       0.492629	        0.43267	       0.661686	        1.59871	       0.879324	        1.14882	        1.57748	        1.13911	       0.707987	       0.950627	        1.21512	       0.462633	       0.182561
	              0	       -4.58493	       -4.49635	       -4.55522	       -4.46951	       -4.47855	       -4.40845	       -4.48089	       -4.55299	        -4.4997	       -4.44456	       -4.50009	       -4.52788	       -4.50251	       -4.49964	       -4.51475
	              0	       -4.98272	       -5.12572	       -4.86698	       -5.03481	       -5.02232	       -5.06613	       -5.09886	        -5.0282	       -5.10168	        -5.0856	       -5.04269	       -5.02656	       -5.06825	       -5.01755	       -5.03917
	              0	       0.420939	       0.368461	       0.287481	       0.324977	       0.262431	        0.28226	       0.249915	       0.290777	       0.212498	       0.260357	       0.266003	        0.29809	       0.250998	        0.25559	       0.263428
	              0	        3.39771	        3.42613	        3.51547	        3.54469	        3.51566	        3.51548	        3.44912	        3.44526	        3.44383	        3.46622	        3.46861	        3.49548	        3.45176	        3.49188	        3.49461
	              0	        3.04347	         2.9926	        3.00913	        3.05193	        3.00276	        3.01878	        3.02251	        3.03057	        3.01806	        2.98393	        3.01781	         3.0666	        2.99841	          3.035	        3.10276
	              0	        2.05503	        2.25652	        1.85851	        1.92266	        1.94082	         1.8878	        2.09141	        2.07575	        2.05315	        1.86046	        1.78282	        1.79737	        1.91438	        1.82733	        1.73958
	              0	        2.49414	        2.24818	        1.29869	        1.36974	        1.03779	       0.610649	       0.456901	       0.126126	       0.313976	       0.667304	       0.759533	        1.43622	       0.217855	       0.398423	       0.272986
	              0	       -6.26444	       -6.25174	       -6.17337	       -6.05152	       -6.02788	       -6.00175	       -6.04596	       -6.12999	       -5.96756	       -5.85214	        -5.7748	       -5.80984	       -5.88779	       -5.82023	       -5.65717
