	              0	       0.727349	        1.43033	        1.10909	        1.38019	        1.56466	        1.68367	        1.22421	        1.32243	       0.808036	       0.633727	       0.586391	       0.564894	       0.925791	       0.930465	        0.40314	        0.39525	       0.269533	       0.705509	        1.38145	        1.31674	        1.55505
	              0	       0.308882	        3.85436	        0.78958	       -3.62847	        3.42021	      -0.686347	       0.690806	     -0.0765833	        1.85662	       0.847494	       0.850484	      -0.231317	        1.14758	        0.21612	       0.565983	       -1.12293	       0.685589	        1.49894	       0.197479	     -0.0233068	       0.600803
	              0	       -4.51272	        -4.6489	       -4.67707	       -4.58319	       -4.59479	       -4.58549	       -4.58772	       -4.49035	       -4.57717	       -4.46901	       -4.50168	       -4.41767	       -4.54611	       -4.53997	       -4.44644	       -4.40695	       -4.42588	       -4.53134	       -4.57385	       -4.60419	       -4.56152
	              0	        -4.8989	       -4.79664	       -4.75634	       -4.96926	       -4.83819	       -4.91174	       -4.89363	       -5.00122	       -4.84818	       -4.96897	       -4.91666	       -5.04995	       -4.92338	       -4.89323	       -4.94394	       -5.06884	       -5.00748	       -4.92335	       -4.92124	       -4.91357	       -5.03522
	              0	       0.178529	       0.204571	       0.227038	        0.31818	       0.208089	       0.295346	       0.290888	       0.288903	       0.206627	       0.203176	       0.263884	       0.268734	       0.309216	       0.292184	       0.292138	       0.211604	       0.280302	       0.229483	       0.267318	       0.176073	       0.200575
	              0	         3.5213	        3.45821	        3.55156	        3.49411	         3.4965	        3.58127	         3.5018	        3.51903	        3.57833	        3.48172	        3.53954	        3.52997	        3.57618	        3.55972	        3.50886	        3.50397	        3.54627	        3.47101	        3.48774	         3.4888	        3.49348
	              0	        3.01112	         2.9565	        3.12462	        2.99321	        3.02956	        3.15422	        3.06356	         3.1035	        3.09473	        2.92412	        3.05271	        3.05531	        3.14681	        3.08161	        2.95262	        3.00554	        3.07606	         2.9206	        3.04003	        3.05059	        3.13706
	              0	       0.882333	        1.37463	        1.28925	        1.88139	        1.18305	        1.13378	        1.34041	        1.45997	        1.32321	        1.56676	        1.61716	        1.71248	         1.5229	         1.3261	        1.72326	        1.58935	        1.56657	        1.79364	        1.83299	        1.80069	        1.96439
	              0	        1.96336	       0.576687	       -1.08593	       -1.84942	       0.306364	      -0.360003	     -0.0156751	      -0.460851	      -0.918292	      -0.392971	       0.198155	      -0.270338	       0.980773	       -0.20423	      -0.535197	       -1.26017	       0.143321	       -1.48193	       -1.62863	        -1.6401	       -2.38512
	              0	        -6.5424	       -6.84859	       -7.16902	       -6.78934	       -6.72144	       -6.69458	       -6.49241	       -6.64273	       -6.74568	        -6.6886	       -6.91885	       -7.13778	       -6.69184	       -7.04574	       -7.34621	       -6.72818	       -6.82073	       -6.96441	       -6.88827	        -6.8243	       -6.99353
	              0	        1.98427	        1.47255	        1.93806	        1.43895	        1.57621	        1.89609	        1.24974	        1.38821	        1.39029	        1.17094	          1.244	          1.629	        1.16798	        1.77729	        1.52792	        1.50506	        1.31085	        1.16585	        1.15978	        1.13384	        1.26432
