;;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mortality statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;95% LL;9.87309000;42.50180000;97.41880000;206.45400000;438.94400000;910.21800000;1850.86000000;3707.88000000;7138.65000000;13107.90000000;22662.40000000;36336.70000000;54838.20000000;77903.10000000;105345.00000000;135809.00000000;165851.00000000;196232.00000000;225273.00000000;253997.00000000;264143.00000000;261147.00000000;246108.00000000;225852.00000000;201421.00000000;170473.00000000;138880.00000000;110739.00000000;94886.20000000;86682.30000000;82722.00000000;78419.40000000;73941.90000000;69944.90000000;66621.00000000;62854.70000000;59039.30000000;55480.20000000;52575.50000000;50160.60000000;48134.30000000;46581.80000000;45383.90000000;44512.50000000;43977.60000000;43651.30000000;43461.40000000;43316.00000000;43184.80000000;43050.10000000;42900.10000000;42726.60000000;42523.90000000;42288.30000000;42017.50000000;41710.40000000;41366.80000000;40986.90000000;40571.10000000;40120.00000000;39634.30000000;39114.80000000;38562.30000000;37977.70000000;37362.10000000;36716.20000000;36041.30000000;35338.50000000;34609.00000000;33854.30000000;33075.90000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;17.91920000;76.24380000;171.38900000;345.41900000;672.83100000;1326.96000000;2657.56000000;5283.07000000;10157.20000000;18299.40000000;30788.70000000;48027.00000000;70284.80000000;97102.90000000;128130.00000000;161719.00000000;193488.00000000;225333.00000000;255349.00000000;284057.00000000;293112.00000000;287138.00000000;269517.00000000;248239.00000000;223004.00000000;190741.00000000;157250.00000000;126619.00000000;109802.00000000;102081.00000000;99038.70000000;95035.60000000;90186.20000000;86379.20000000;83607.70000000;79971.90000000;74649.10000000;68612.20000000;63001.80000000;58381.50000000;54625.80000000;51810.30000000;49698.50000000;48195.60000000;47302.70000000;46784.20000000;46504.70000000;46314.00000000;46162.20000000;46021.20000000;45873.10000000;45706.20000000;45512.30000000;45289.40000000;45036.40000000;44746.00000000;44417.50000000;44050.90000000;43646.30000000;43204.30000000;42725.20000000;42209.80000000;41658.40000000;41073.10000000;40436.90000000;39767.00000000;39064.60000000;38330.70000000;37566.60000000;36773.80000000;35953.70000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Total non-AIDS deaths;Mean;258486.00000000;263822.00000000;269453.00000000;275022.00000000;280540.00000000;286030.00000000;292280.00000000;300150.00000000;307976.00000000;315687.00000000;323216.00000000;330408.00000000;336183.00000000;338587.00000000;341703.00000000;344648.00000000;349356.00000000;360349.00000000;376128.00000000;379575.00000000;383844.00000000;391373.00000000;396801.00000000;402947.00000000;408439.00000000;414169.00000000;420319.00000000;425386.00000000;430610.00000000;435793.00000000;440938.00000000;446047.00000000;451113.00000000;456500.00000000;490022.00000000;591126.00000000;576093.00000000;483156.00000000;488853.00000000;494980.00000000;501522.00000000;508469.00000000;515809.00000000;523532.00000000;531622.00000000;540065.00000000;548864.00000000;558028.00000000;567593.00000000;577552.00000000;587885.00000000;598550.00000000;609490.00000000;620651.00000000;632008.00000000;643546.00000000;655258.00000000;667140.00000000;679185.00000000;691373.00000000;703688.00000000;716123.00000000;728673.00000000;741347.00000000;754166.00000000;767156.00000000;780337.00000000;793728.00000000;807319.00000000;821079.00000000;835001.00000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;258486.00000000;263822.00000000;269452.00000000;275021.00000000;280539.00000000;286027.00000000;292274.00000000;300140.00000000;307955.00000000;315647.00000000;323149.00000000;330289.00000000;335999.00000000;338312.00000000;341337.00000000;344175.00000000;348763.00000000;359633.00000000;375251.00000000;378544.00000000;382670.00000000;390067.00000000;395371.00000000;401412.00000000;406800.00000000;412432.00000000;418488.00000000;423445.00000000;428575.00000000;433668.00000000;438720.00000000;443734.00000000;448703.00000000;453971.00000000;487209.00000000;587583.00000000;572589.00000000;480204.00000000;485781.00000000;491795.00000000;498230.00000000;505072.00000000;512311.00000000;519935.00000000;527928.00000000;536276.00000000;544982.00000000;554054.00000000;563531.00000000;573404.00000000;583654.00000000;594238.00000000;605102.00000000;616192.00000000;627482.00000000;638957.00000000;650611.00000000;662440.00000000;674437.00000000;686581.00000000;698858.00000000;711260.00000000;723783.00000000;736434.00000000;749237.00000000;762216.00000000;775393.00000000;788786.00000000;802387.00000000;816163.00000000;830110.00000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;258486.00000000;263822.00000000;269453.00000000;275023.00000000;280542.00000000;286033.00000000;292286.00000000;300162.00000000;307998.00000000;315727.00000000;323285.00000000;330525.00000000;336357.00000000;338833.00000000;342043.00000000;345094.00000000;349915.00000000;361034.00000000;376949.00000000;380519.00000000;384876.00000000;392501.00000000;398069.00000000;404357.00000000;409986.00000000;415847.00000000;422125.00000000;427310.00000000;432650.00000000;437951.00000000;443220.00000000;448456.00000000;453636.00000000;459118.00000000;492929.00000000;594740.00000000;579577.00000000;486033.00000000;491827.00000000;498030.00000000;504642.00000000;511690.00000000;519143.00000000;526977.00000000;535178.00000000;543732.00000000;552644.00000000;561920.00000000;571599.00000000;581672.00000000;592118.00000000;602895.00000000;613946.00000000;625218.00000000;636683.00000000;648328.00000000;660145.00000000;672131.00000000;684279.00000000;696568.00000000;708982.00000000;721515.00000000;734160.00000000;746926.00000000;759835.00000000;772911.00000000;786174.00000000;799642.00000000;813303.00000000;827123.00000000;841096.00000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Non-AIDS deaths in HIV-positive individuals;Mean;9.40688000;15.16050000;29.53310000;60.88870000;128.08700000;270.20000000;563.95600000;1150.28000000;2196.37000000;3818.12000000;5984.73000000;8548.92000000;11241.00000000;13688.20000000;16051.80000000;17991.90000000;19947.70000000;22137.70000000;24460.80000000;25923.90000000;27070.40000000;27845.50000000;28733.30000000;29626.90000000;30598.70000000;31658.40000000;32864.60000000;34223.50000000;35768.10000000;37437.90000000;39187.10000000;41014.00000000;42914.60000000;44885.00000000;49534.30000000;62099.70000000;62362.20000000;52755.00000000;55156.10000000;57653.20000000;60250.70000000;62954.30000000;65762.30000000;68673.70000000;71693.00000000;74816.30000000;78038.90000000;81355.80000000;84764.60000000;88260.90000000;91839.40000000;95494.60000000;99220.20000000;103009.00000000;106853.00000000;110747.00000000;114681.00000000;118647.00000000;122631.00000000;126622.00000000;130605.00000000;134567.00000000;138496.00000000;142381.00000000;146212.00000000;149980.00000000;153673.00000000;157275.00000000;160767.00000000;164122.00000000;167320.00000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;6.45547000;10.52670000;21.57990000;48.05730000;102.94700000;218.25800000;451.24600000;922.90300000;1780.84000000;3148.92000000;5075.30000000;7511.78000000;10171.40000000;12636.70000000;14972.80000000;16876.50000000;18808.60000000;20975.80000000;23371.00000000;24965.30000000;26171.30000000;26974.70000000;27826.30000000;28742.00000000;29754.20000000;30838.10000000;32033.10000000;33386.50000000;34920.20000000;36551.50000000;38229.00000000;40030.30000000;41875.70000000;43790.50000000;48332.30000000;60597.50000000;60882.10000000;51511.70000000;53874.70000000;56330.10000000;58868.10000000;61507.70000000;64250.30000000;67095.30000000;70041.40000000;73081.10000000;76216.00000000;79441.30000000;82755.10000000;86163.60000000;89653.00000000;93215.30000000;96844.40000000;100533.00000000;104274.00000000;108062.00000000;111887.00000000;115747.00000000;119613.00000000;123483.00000000;127347.00000000;131260.00000000;135143.00000000;138986.00000000;142759.00000000;146423.00000000;150016.00000000;153524.00000000;156930.00000000;160208.00000000;163218.00000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;11.60310000;18.41460000;35.22210000;71.42400000;149.95600000;318.78500000;670.14500000;1392.81000000;2685.71000000;4562.23000000;6900.86000000;9634.66000000;12443.30000000;14916.10000000;17266.40000000;19144.50000000;21041.90000000;23241.70000000;25571.30000000;26994.70000000;28094.50000000;28813.70000000;29649.90000000;30492.60000000;31416.50000000;32520.30000000;33793.70000000;35181.60000000;36765.40000000;38459.10000000;40247.10000000;42155.30000000;44135.50000000;46176.50000000;50981.30000000;63930.40000000;64160.20000000;54254.60000000;56710.50000000;59267.20000000;61931.70000000;64726.30000000;67609.00000000;70574.80000000;73674.40000000;76899.70000000;80229.70000000;83622.00000000;87105.50000000;90686.40000000;94365.80000000;98122.20000000;101916.00000000;105770.00000000;109678.00000000;113653.00000000;117695.00000000;121752.00000000;125828.00000000;129943.00000000;134078.00000000;138141.00000000;142217.00000000;146250.00000000;150226.00000000;154158.00000000;158017.00000000;161762.00000000;165327.00000000;168753.00000000;172020.00000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
AIDS deaths in people who have been on ART;Mean;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;767.76200000;1329.97000000;1833.79000000;2365.28000000;7472.03000000;13764.80000000;20978.80000000;27687.80000000;32996.00000000;40195.80000000;45730.20000000;48388.40000000;45814.10000000;42843.40000000;40563.70000000;40798.80000000;41696.70000000;41799.70000000;41596.80000000;42312.80000000;42786.60000000;42896.40000000;42688.80000000;42268.00000000;41884.00000000;41481.20000000;41185.90000000;40962.20000000;40758.70000000;40672.70000000;40677.50000000;40749.70000000;40818.10000000;40865.90000000;40885.20000000;40871.20000000;40821.00000000;40732.60000000;40604.50000000;40436.00000000;40226.70000000;39976.90000000;39686.90000000;39357.20000000;38988.40000000;38581.30000000;38136.60000000;37655.30000000;37138.40000000;36586.70000000;36001.40000000;35383.60000000;34734.50000000;34055.40000000;33347.80000000;32613.40000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;764.47400000;1323.13000000;1823.80000000;2351.34000000;7427.18000000;13652.40000000;20756.30000000;27327.70000000;32523.70000000;39580.60000000;44939.90000000;47281.10000000;44765.80000000;41851.20000000;39414.80000000;39426.80000000;40130.90000000;40240.60000000;40060.90000000;40659.10000000;40742.40000000;40563.30000000;40274.50000000;39997.90000000;39797.80000000;39588.70000000;39458.70000000;39370.00000000;39285.90000000;39270.80000000;39308.90000000;39385.30000000;39449.20000000;39488.50000000;39497.40000000;39472.30000000;39411.00000000;39311.80000000;39173.60000000;38996.00000000;38778.70000000;38522.10000000;38226.60000000;37892.80000000;37521.50000000;37113.50000000;36669.60000000;36190.80000000;35678.10000000;35132.60000000;34555.20000000;33947.30000000;33310.00000000;32644.70000000;31952.80000000;31236.10000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
