;;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mortality statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;95% LL;2.61471000;11.58820000;29.19450000;72.99620000;198.21500000;627.63800000;1759.89000000;4049.51000000;8195.50000000;15111.70000000;25565.50000000;40057.80000000;58860.20000000;81455.30000000;107810.00000000;136905.00000000;164204.00000000;192822.00000000;221208.00000000;248347.00000000;257580.00000000;253354.00000000;237310.00000000;218445.00000000;196081.00000000;167286.00000000;137300.00000000;110021.00000000;94830.50000000;87108.40000000;83692.10000000;79637.90000000;74949.80000000;71197.40000000;67990.70000000;64207.00000000;60223.10000000;56453.40000000;53339.80000000;50741.40000000;48594.50000000;46969.20000000;45747.70000000;44866.50000000;44331.60000000;44025.10000000;43867.00000000;43756.00000000;43660.00000000;43560.50000000;43445.50000000;43306.70000000;43138.10000000;42931.60000000;42688.90000000;42409.10000000;42093.80000000;41737.90000000;41347.20000000;40916.40000000;40444.60000000;39941.50000000;39414.10000000;38854.20000000;38253.90000000;37620.80000000;36957.40000000;36264.90000000;35544.30000000;34799.60000000;34044.70000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;14.45090000;61.82030000;145.49200000;314.75500000;710.68000000;1654.27000000;3691.81000000;7809.32000000;14748.80000000;25213.60000000;40005.70000000;59054.80000000;81892.90000000;107724.00000000;136879.00000000;167805.00000000;197462.00000000;227508.00000000;255422.00000000;282289.00000000;290194.00000000;284190.00000000;265681.00000000;243725.00000000;218702.00000000;185971.00000000;153370.00000000;124465.00000000;108927.00000000;101878.00000000;99299.70000000;95754.30000000;91263.60000000;87626.60000000;85075.60000000;81803.70000000;76483.10000000;70220.50000000;64328.00000000;59472.70000000;55544.20000000;52605.20000000;50410.20000000;48861.90000000;47950.70000000;47436.80000000;47180.10000000;47017.70000000;46898.00000000;46791.70000000;46680.00000000;46550.40000000;46394.20000000;46205.70000000;45981.30000000;45719.10000000;45416.60000000;45061.10000000;44652.30000000;44204.50000000;43718.30000000;43194.40000000;42633.70000000;42037.00000000;41405.20000000;40739.30000000;40040.30000000;39309.50000000;38547.90000000;37765.00000000;36946.60000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Total non-AIDS deaths;Mean;258486.00000000;263822.00000000;269453.00000000;275022.00000000;280542.00000000;286030.00000000;292276.00000000;300137.00000000;307942.00000000;315621.00000000;323106.00000000;330242.00000000;335956.00000000;338305.00000000;341379.00000000;344299.00000000;348999.00000000;360001.00000000;375803.00000000;379295.00000000;383624.00000000;391218.00000000;396721.00000000;402936.00000000;408493.00000000;414278.00000000;420473.00000000;425572.00000000;430821.00000000;436025.00000000;441187.00000000;446308.00000000;451382.00000000;456773.00000000;490258.00000000;591344.00000000;576281.00000000;483309.00000000;488983.00000000;495089.00000000;501608.00000000;508531.00000000;515847.00000000;523543.00000000;531603.00000000;540014.00000000;548778.00000000;557904.00000000;567429.00000000;577347.00000000;587637.00000000;598257.00000000;609152.00000000;620267.00000000;631576.00000000;643066.00000000;654727.00000000;666556.00000000;678545.00000000;690674.00000000;702928.00000000;715299.00000000;727782.00000000;740387.00000000;753136.00000000;766054.00000000;779164.00000000;792485.00000000;806009.00000000;819703.00000000;833563.00000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;258486.00000000;263822.00000000;269453.00000000;275021.00000000;280539.00000000;286025.00000000;292264.00000000;300112.00000000;307894.00000000;315538.00000000;322968.00000000;330027.00000000;335645.00000000;337891.00000000;340848.00000000;343647.00000000;348216.00000000;359046.00000000;374679.00000000;378013.00000000;382193.00000000;389645.00000000;395000.00000000;401055.00000000;406470.00000000;412122.00000000;418192.00000000;423174.00000000;428310.00000000;433404.00000000;438457.00000000;443460.00000000;448414.00000000;453686.00000000;486852.00000000;587103.00000000;572168.00000000;479891.00000000;485458.00000000;491459.00000000;497880.00000000;504711.00000000;511965.00000000;519579.00000000;527564.00000000;535904.00000000;544605.00000000;553674.00000000;563148.00000000;573022.00000000;583275.00000000;593829.00000000;604683.00000000;615783.00000000;627084.00000000;638572.00000000;650173.00000000;661886.00000000;673875.00000000;685954.00000000;698181.00000000;710579.00000000;723153.00000000;735798.00000000;748528.00000000;761560.00000000;774617.00000000;787979.00000000;801474.00000000;815129.00000000;828968.00000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;258486.00000000;263823.00000000;269454.00000000;275024.00000000;280546.00000000;286039.00000000;292291.00000000;300165.00000000;307992.00000000;315709.00000000;323250.00000000;330463.00000000;336275.00000000;338735.00000000;341934.00000000;344988.00000000;349832.00000000;360994.00000000;376973.00000000;380613.00000000;385075.00000000;392790.00000000;398441.00000000;404773.00000000;410435.00000000;416339.00000000;422661.00000000;427879.00000000;433258.00000000;438623.00000000;443944.00000000;449155.00000000;454423.00000000;460024.00000000;493914.00000000;596000.00000000;580909.00000000;487134.00000000;492912.00000000;499122.00000000;505749.00000000;512782.00000000;520209.00000000;528017.00000000;536189.00000000;544688.00000000;553513.00000000;562694.00000000;572348.00000000;582397.00000000;592742.00000000;603402.00000000;614444.00000000;625697.00000000;637092.00000000;648730.00000000;660422.00000000;672297.00000000;684279.00000000;696369.00000000;708565.00000000;720853.00000000;733266.00000000;745760.00000000;758385.00000000;771277.00000000;784366.00000000;797654.00000000;811132.00000000;824766.00000000;838552.00000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Non-AIDS deaths in HIV-positive individuals;Mean;6.59766000;10.59690000;22.16960000;52.71320000;133.57500000;340.09700000;807.49200000;1675.96000000;2954.07000000;4593.33000000;6555.05000000;8793.21000000;11137.10000000;13293.50000000;15441.10000000;17253.50000000;19127.50000000;21283.10000000;23604.40000000;25129.20000000;26364.90000000;27244.70000000;28236.80000000;29237.70000000;30313.70000000;31472.50000000;32771.10000000;34212.80000000;35831.40000000;37569.30000000;39382.10000000;41270.40000000;43229.40000000;45255.00000000;50010.60000000;62763.70000000;63023.10000000;53306.20000000;55754.30000000;58299.40000000;60946.00000000;63700.00000000;66559.80000000;69523.90000000;72596.90000000;75774.50000000;79051.50000000;82422.30000000;85884.50000000;89433.10000000;93062.90000000;96767.80000000;100541.00000000;104376.00000000;108264.00000000;112199.00000000;116172.00000000;120175.00000000;124195.00000000;128221.00000000;132239.00000000;136237.00000000;140202.00000000;144126.00000000;147998.00000000;151810.00000000;155550.00000000;159202.00000000;162746.00000000;166156.00000000;169412.00000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;1.74375000;2.93183000;6.92199000;19.37620000;64.86820000;200.59400000;502.45600000;1108.15000000;2127.86000000;3566.28000000;5386.46000000;7533.04000000;9848.65000000;12007.40000000;14155.10000000;15956.00000000;17892.60000000;20070.20000000;22415.80000000;23982.60000000;25281.70000000;26229.70000000;27237.70000000;28228.80000000;29241.80000000;30358.30000000;31615.60000000;33036.70000000;34646.80000000;36359.20000000;38101.80000000;39951.80000000;41815.60000000;43779.50000000;48316.90000000;60603.80000000;60921.10000000;51556.40000000;53938.50000000;56416.10000000;58980.50000000;61656.80000000;64430.50000000;67304.20000000;70266.10000000;73345.90000000;76522.50000000;79790.80000000;83148.50000000;86591.10000000;90113.40000000;93704.90000000;97375.10000000;101122.00000000;104920.00000000;108739.00000000;112596.00000000;116476.00000000;120385.00000000;124293.00000000;128189.00000000;132061.00000000;135877.00000000;139649.00000000;143397.00000000;147110.00000000;150753.00000000;154313.00000000;157765.00000000;161090.00000000;164260.00000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;9.64354000;15.29670000;30.84570000;73.78710000;187.70800000;485.37900000;1134.10000000;2231.01000000;3757.87000000;5564.64000000;7661.94000000;10026.90000000;12441.00000000;14606.40000000;16754.40000000;18538.40000000;20359.80000000;22466.20000000;24732.30000000;26132.90000000;27281.00000000;28143.90000000;29127.80000000;30132.30000000;31253.80000000;32486.20000000;33857.60000000;35339.80000000;37030.50000000;38833.70000000;40709.60000000;42648.00000000;44654.20000000;46742.30000000;51699.40000000;64931.30000000;65127.60000000;55033.20000000;57557.20000000;60182.80000000;62909.40000000;65746.30000000;68690.90000000;71741.10000000;74902.40000000;78169.90000000;81537.70000000;84999.70000000;88553.30000000;92193.50000000;95947.30000000;99785.00000000;103694.00000000;107654.00000000;111624.00000000;115636.00000000;119684.00000000;123757.00000000;127845.00000000;131952.00000000;136067.00000000;140159.00000000;144191.00000000;148185.00000000;152126.00000000;155981.00000000;159780.00000000;163565.00000000;167241.00000000;170772.00000000;174109.00000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
AIDS deaths in people who have been on ART;Mean;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;770.56500000;1334.25000000;1839.37000000;2371.93000000;7490.67000000;13784.60000000;20989.80000000;27674.60000000;32937.70000000;40069.80000000;45500.90000000;48045.10000000;45513.40000000;42642.50000000;40438.40000000;40717.90000000;41663.10000000;41828.20000000;41678.00000000;42443.10000000;42993.40000000;43155.00000000;42948.80000000;42510.00000000;42103.10000000;41683.60000000;41377.90000000;41150.90000000;40948.70000000;40869.10000000;40884.70000000;40970.80000000;41054.60000000;41118.70000000;41154.90000000;41158.50000000;41126.10000000;41055.60000000;40945.60000000;40795.20000000;40603.90000000;40372.00000000;40099.80000000;39787.80000000;39436.70000000;39047.20000000;38620.20000000;38156.50000000;37657.20000000;37123.30000000;36555.70000000;35955.70000000;35324.40000000;34663.10000000;33973.30000000;33256.70000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;766.11200000;1325.60000000;1825.55000000;2351.82000000;7422.25000000;13628.80000000;20711.70000000;27225.90000000;32337.50000000;39232.90000000;44349.50000000;46647.90000000;44411.30000000;41635.20000000;39315.20000000;39392.80000000;40235.90000000;40397.00000000;40282.00000000;40885.30000000;41111.70000000;41005.00000000;40712.80000000;40390.10000000;40139.50000000;39892.30000000;39739.30000000;39639.90000000;39555.20000000;39550.20000000;39606.40000000;39706.60000000;39796.70000000;39863.20000000;39900.00000000;39903.40000000;39870.80000000;39800.50000000;39691.40000000;39530.60000000;39329.00000000;39087.50000000;38806.30000000;38486.20000000;38127.70000000;37731.60000000;37298.80000000;36833.50000000;36341.70000000;35816.60000000;35259.10000000;34670.40000000;34051.70000000;33404.20000000;32729.40000000;32021.20000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
