;;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mortality statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infant mortality rate (/1000);Mean;53.60540000;52.46180000;50.94070000;49.48910000;48.09860000;46.82730000;45.85900000;45.18730000;45.03420000;45.50850000;46.51790000;47.97680000;49.07340000;51.46520000;51.67070000;51.98760000;52.40550000;54.91040000;56.31820000;55.44760000;52.96840000;50.01150000;45.51760000;41.20170000;36.30800000;32.72490000;31.02210000;30.26660000;29.59270000;28.92640000;28.30000000;27.82360000;27.43430000;27.17460000;25.08910000;24.94540000;29.03430000;29.29970000;28.53470000;27.76490000;27.01620000;26.28630000;25.58200000;24.90450000;24.25250000;23.62260000;23.01270000;22.42130000;21.84520000;21.28550000;20.74160000;20.21260000;19.69840000;19.19910000;18.71470000;18.24450000;17.78830000;17.34570000;16.91610000;16.49940000;16.09540000;15.70370000;15.32380000;14.95540000;14.59820000;14.25170000;13.91550000;13.58920000;13.27260000;12.96540000;12.66710000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;53.60160000;52.45060000;50.92170000;49.45910000;48.04700000;46.72820000;45.67180000;44.89100000;44.56260000;44.82540000;45.66660000;47.02420000;48.00880000;50.39820000;50.55370000;50.86750000;51.29240000;53.77530000;55.19940000;54.37680000;51.98010000;49.15220000;44.81170000;40.67760000;35.99220000;32.56560000;30.93120000;30.19260000;29.53100000;28.87710000;28.26410000;27.79460000;27.40780000;27.14810000;25.06200000;24.91810000;29.00570000;29.27220000;28.50920000;27.74300000;26.99730000;26.27030000;25.56870000;24.89300000;24.24210000;23.61290000;23.00350000;22.41230000;21.83640000;21.27690000;20.73320000;20.20460000;19.69070000;19.19170000;18.70760000;18.23780000;17.78190000;17.33960000;16.91030000;16.49390000;16.09020000;15.69860000;15.31900000;14.95080000;14.59380000;14.24750000;13.91150000;13.58540000;13.26900000;12.96190000;12.66380000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;53.60740000;52.46780000;50.95030000;49.50600000;48.13440000;46.90300000;46.01380000;45.48520000;45.56530000;46.27610000;47.46260000;49.14860000;50.44920000;52.99520000;53.31260000;53.69820000;54.13230000;56.60040000;57.91150000;56.90190000;54.25330000;51.08370000;46.36650000;41.80840000;36.66020000;32.90090000;31.12790000;30.34710000;29.65970000;28.98070000;28.33800000;27.85400000;27.46260000;27.20210000;25.11740000;24.97400000;29.06380000;29.32810000;28.56060000;27.78630000;27.03380000;26.30130000;25.59510000;24.91610000;24.26350000;23.63290000;23.02260000;22.43110000;21.85490000;21.29500000;20.75090000;20.22160000;19.70690000;19.20730000;18.72260000;18.25220000;17.79590000;17.35300000;16.92310000;16.50620000;16.10190000;15.70980000;15.32970000;14.96110000;14.60360000;14.25690000;13.92050000;13.59400000;13.27720000;12.96980000;12.67130000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Under-5 mortality rate (/1000);Mean;74.13730000;72.30220000;70.18340000;68.12280000;66.13050000;64.29490000;62.82420000;61.78140000;61.48580000;62.14500000;63.71480000;66.07260000;68.33490000;72.42000000;74.23390000;76.47080000;78.35410000;81.55780000;83.65570000;83.22820000;79.40460000;74.79360000;68.83160000;62.81510000;55.17870000;48.37750000;44.48730000;42.70310000;41.38270000;40.25060000;39.12700000;38.23770000;37.59020000;37.11000000;34.13100000;33.90710000;39.55420000;40.13630000;39.10500000;38.02650000;36.97130000;35.94780000;34.96580000;34.02940000;33.13490000;32.27290000;31.43930000;30.63120000;29.84510000;29.08200000;28.34070000;27.62060000;26.92090000;26.24200000;25.58350000;24.94480000;24.32540000;23.72460000;23.14190000;22.57700000;22.02940000;21.49870000;20.98430000;20.48560000;20.00230000;19.53380000;19.07940000;18.63880000;18.21150000;17.79710000;17.39520000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;74.13360000;72.28900000;70.15880000;68.08160000;66.06210000;64.16560000;62.56930000;61.37590000;60.85450000;61.18520000;62.46290000;64.56900000;66.67740000;70.67150000;72.46770000;74.68300000;76.56030000;79.75600000;81.84480000;81.46350000;77.75620000;73.33120000;67.58650000;61.82510000;54.50490000;47.98680000;44.26580000;42.54950000;41.26050000;40.15090000;39.05260000;38.17870000;37.53700000;37.05790000;34.07810000;33.85290000;39.49860000;40.08240000;39.05300000;37.98120000;36.93310000;35.91680000;34.94010000;34.00670000;33.11390000;32.25300000;31.42020000;30.61280000;29.82730000;29.06480000;28.32420000;27.60460000;26.90560000;26.22730000;25.56940000;24.93140000;24.31260000;23.71240000;23.13030000;22.56590000;22.01880000;21.48850000;20.97460000;20.47650000;19.99360000;19.52540000;19.07140000;18.63100000;18.20410000;17.79000000;17.38830000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;74.13940000;72.30920000;70.19600000;68.14480000;66.17630000;64.39250000;63.02070000;62.17060000;62.21610000;63.21670000;65.14400000;67.75280000;70.37390000;74.74180000;76.77460000;79.15900000;81.10530000;84.29550000;86.29110000;85.68060000;81.59810000;76.66000000;70.36000000;63.98230000;55.94400000;48.80550000;44.73680000;42.87350000;41.51680000;40.35850000;39.20640000;38.30100000;37.64820000;37.16540000;34.18710000;33.96460000;39.61310000;40.19460000;39.16010000;38.07250000;37.00860000;35.97830000;34.99210000;34.05290000;33.15690000;32.29410000;31.45990000;30.65140000;29.86480000;29.10130000;28.35960000;27.63910000;26.93910000;26.25970000;25.60050000;24.96110000;24.34100000;23.73960000;23.15630000;22.59080000;22.04260000;21.51130000;20.99630000;20.49720000;20.01330000;19.54430000;19.08950000;18.64840000;18.22080000;17.80610000;17.40380000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Total AIDS deaths;Mean;15.25880000;65.52020000;149.46500000;307.46800000;615.13500000;1225.57000000;2446.83000000;4844.01000000;9242.03000000;16648.30000000;28028.20000000;44031.00000000;64959.40000000;90156.80000000;119591.00000000;151877.00000000;182766.00000000;214137.00000000;244120.00000000;273238.00000000;283111.00000000;278283.00000000;261007.00000000;239813.00000000;214750.00000000;182851.00000000;149947.00000000;120143.00000000;103625.00000000;95385.50000000;91567.60000000;87089.30000000;82125.40000000;77922.70000000;74673.60000000;70917.10000000;66360.10000000;61619.10000000;57439.70000000;53987.00000000;51146.30000000;48998.50000000;47367.90000000;46195.90000000;45490.60000000;45072.30000000;44841.20000000;44673.90000000;44531.10000000;44390.40000000;44237.10000000;44061.70000000;43857.30000000;43619.60000000;43345.90000000;43034.80000000;42685.80000000;42299.00000000;41874.70000000;41413.30000000;40915.50000000;40382.00000000;39813.60000000;39211.10000000;38575.60000000;37907.90000000;37209.20000000;36480.60000000;35723.40000000;34939.10000000;34129.20000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
