;;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mortality statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infant mortality rate (/1000);Mean;53.60720000;52.46700000;50.94850000;49.50130000;48.11860000;46.86050000;45.91180000;45.26090000;45.11140000;45.55520000;46.50680000;47.90530000;48.95240000;51.30950000;51.49520000;51.80520000;52.22900000;54.75040000;56.18230000;55.33970000;52.88610000;49.95500000;45.48410000;41.18840000;36.30780000;32.73060000;31.03040000;30.27570000;29.60040000;28.93320000;28.30680000;27.83060000;27.44150000;27.18270000;25.09820000;24.95520000;29.04680000;29.31200000;28.54620000;27.77520000;27.02530000;26.29440000;25.58930000;24.91130000;24.25910000;23.62920000;23.01940000;22.42820000;21.85230000;21.29280000;20.74900000;20.22030000;19.70620000;19.20710000;18.72270000;18.25270000;17.79660000;17.35400000;16.92450000;16.50790000;16.10390000;15.71210000;15.33220000;14.96380000;14.60650000;14.26000000;13.92370000;13.59740000;13.28070000;12.97330000;12.67490000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;53.60530000;52.46130000;50.93950000;49.48480000;48.08650000;46.78890000;45.75910000;44.93500000;44.53260000;44.74820000;45.47890000;46.74440000;47.70250000;50.03280000;50.23540000;50.55030000;51.06760000;53.59520000;55.07500000;54.31220000;51.96850000;49.18340000;44.87120000;40.74440000;36.02680000;32.57600000;30.93280000;30.19770000;29.53750000;28.88160000;28.26890000;27.79870000;27.41220000;27.15370000;25.06860000;24.92530000;29.01970000;29.28550000;28.52170000;27.75440000;27.00810000;26.28020000;25.57730000;24.90010000;24.24840000;23.61870000;23.00910000;22.41800000;21.84220000;21.28290000;20.73930000;20.21080000;19.69700000;19.19820000;18.71420000;18.24440000;17.78870000;17.34640000;16.91720000;16.50080000;16.09710000;15.70570000;15.32600000;14.95790000;14.60080000;14.25450000;13.91850000;13.59230000;13.27580000;12.96860000;12.67040000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;53.60850000;52.47070000;50.95530000;49.51660000;48.15910000;46.96490000;46.15890000;45.74510000;45.89300000;46.59840000;47.70990000;49.25080000;50.47040000;52.88960000;52.95990000;53.36290000;53.81840000;56.22110000;57.51430000;56.57270000;54.00970000;50.92640000;46.27130000;41.76250000;36.67330000;32.91770000;31.14830000;30.37150000;29.67820000;28.99300000;28.34960000;27.86480000;27.47030000;27.21130000;25.12770000;24.98450000;29.08030000;29.34450000;28.57620000;27.80100000;27.04730000;26.31300000;25.60530000;24.92550000;24.27220000;23.64150000;23.03130000;22.43970000;21.86340000;21.30360000;20.75950000;20.23030000;19.71580000;19.21630000;18.73160000;18.26120000;17.80480000;17.36190000;16.93210000;16.51520000;16.11080000;15.71870000;15.33850000;14.96980000;14.61230000;14.26560000;13.92910000;13.60240000;13.28550000;12.97800000;12.67940000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Under-5 mortality rate (/1000);Mean;74.13920000;72.30830000;70.19370000;68.13930000;66.15750000;64.33970000;62.89580000;61.88430000;61.60230000;62.23080000;63.72400000;65.98610000;68.15880000;72.17500000;73.94430000;76.16080000;78.04650000;81.27090000;83.40320000;83.01920000;79.23960000;74.67380000;68.75220000;62.77240000;55.16300000;48.37710000;44.49570000;42.71630000;41.39650000;40.26430000;39.14040000;38.25110000;37.60430000;37.12570000;34.14860000;33.92680000;39.57750000;40.15980000;39.12790000;38.04700000;36.98940000;35.96340000;34.97960000;34.04210000;33.14710000;32.28510000;31.45170000;30.64400000;29.85830000;29.09560000;28.35490000;27.63520000;26.93600000;26.25750000;25.59930000;24.96090000;24.34170000;23.74110000;23.15860000;22.59380000;22.04630000;21.51550000;21.00110000;20.50240000;20.01900000;19.55030000;19.09580000;18.65500000;18.22760000;17.81300000;17.41080000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;74.13720000;72.30160000;70.18230000;68.11760000;66.11460000;64.24520000;62.69880000;61.47000000;60.83430000;61.06920000;62.20490000;64.18760000;66.19070000;70.12630000;71.87500000;74.14350000;76.11860000;79.42950000;81.60090000;81.31440000;77.69710000;73.34900000;67.66120000;61.93710000;54.58780000;48.02020000;44.27340000;42.55350000;41.27060000;40.15950000;39.05960000;38.18300000;37.54440000;37.06770000;34.08960000;33.86630000;39.51790000;40.10180000;39.07210000;38.00000000;36.95040000;35.93180000;34.95320000;34.01940000;33.12680000;32.26500000;31.43180000;30.62410000;29.83860000;29.07620000;28.33570000;27.61640000;26.91770000;26.23970000;25.58210000;24.94420000;24.32560000;23.72570000;23.14380000;22.57950000;22.03260000;21.50250000;20.98860000;20.49040000;20.00750000;19.53940000;19.08530000;18.64490000;18.21790000;17.80370000;17.40190000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;74.14040000;72.31260000;70.20240000;68.15820000;66.20740000;64.46700000;63.20390000;62.52160000;62.68030000;63.75230000;65.57380000;68.03800000;70.46460000;74.72230000;76.41210000;78.58110000;80.55660000;83.77360000;85.68410000;85.12030000;81.15920000;76.37190000;70.17310000;63.85320000;55.91710000;48.83680000;44.76150000;42.91840000;41.55050000;40.38520000;39.23110000;38.31810000;37.66360000;37.18400000;34.20630000;33.98450000;39.63790000;40.21830000;39.18350000;38.09430000;37.02870000;35.99780000;35.00990000;34.06930000;33.17110000;32.30800000;31.47400000;30.66580000;29.87980000;29.11670000;28.37550000;27.65530000;26.95550000;26.27640000;25.61760000;24.97850000;24.35860000;23.75740000;23.17410000;22.60860000;22.06020000;21.52880000;21.01380000;20.51450000;20.03050000;19.56130000;19.10630000;18.66500000;18.23700000;17.82210000;17.41970000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Total AIDS deaths;Mean;17.54920000;74.47110000;167.77200000;341.31600000;675.98400000;1333.93000000;2636.53000000;5160.56000000;9718.31000000;17276.10000000;28749.20000000;44745.70000000;65529.50000000;90450.90000000;119505.00000000;151365.00000000;181849.00000000;212888.00000000;242650.00000000;271658.00000000;281556.00000000;276896.00000000;259912.00000000;239100.00000000;214471.00000000;183046.00000000;150602.00000000;121194.00000000;104961.00000000;97058.80000000;93624.20000000;89439.10000000;84637.30000000;80587.90000000;77538.70000000;73927.00000000;69194.10000000;64070.80000000;59436.30000000;55602.60000000;52456.10000000;50083.20000000;48289.40000000;47005.80000000;46241.50000000;45796.60000000;45560.80000000;45399.10000000;45268.60000000;45144.90000000;45011.80000000;44858.70000000;44678.20000000;44465.30000000;44216.90000000;43931.40000000;43608.10000000;43246.90000000;42848.00000000;42411.90000000;41939.00000000;41430.10000000;40885.80000000;40307.00000000;39694.50000000;39049.30000000;38372.30000000;37664.60000000;36927.40000000;36162.20000000;35370.40000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
