;;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mortality statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;95% LL;5.81735000;26.31650000;67.63840000;161.10800000;385.63200000;913.88900000;2110.40000000;4614.96000000;9194.51000000;16187.50000000;26592.40000000;41119.00000000;59757.40000000;82005.30000000;108452.00000000;137688.00000000;165722.00000000;194415.00000000;222674.00000000;250216.00000000;260516.00000000;256678.00000000;240763.00000000;221435.00000000;198543.00000000;169156.00000000;138418.00000000;110681.00000000;94940.50000000;86818.00000000;82906.60000000;78633.10000000;74145.70000000;70115.00000000;66727.30000000;62871.70000000;58985.00000000;55371.70000000;52425.70000000;49987.40000000;47948.30000000;46389.50000000;45188.70000000;44316.20000000;43780.50000000;43453.70000000;43263.10000000;43116.10000000;42982.50000000;42844.40000000;42690.10000000;42511.60000000;42303.30000000;42061.50000000;41784.00000000;41469.70000000;41118.50000000;40730.60000000;40306.60000000;39846.90000000;39352.30000000;38823.70000000;38261.80000000;37667.50000000;37041.80000000;36385.70000000;35700.30000000;34986.60000000;34246.10000000;33480.00000000;32690.10000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;17.80010000;77.56900000;184.37600000;407.64200000;893.42300000;1986.04000000;4246.85000000;8531.26000000;15674.30000000;26394.80000000;41068.30000000;59923.40000000;82950.60000000;109415.00000000;139319.00000000;171164.00000000;202047.00000000;231222.00000000;259504.00000000;286244.00000000;294110.00000000;287465.00000000;268919.00000000;246503.00000000;220044.00000000;187175.00000000;154412.00000000;124940.00000000;109016.00000000;101540.00000000;98059.50000000;94071.80000000;89247.40000000;85354.90000000;82629.80000000;79284.00000000;74058.70000000;68114.00000000;62590.10000000;57989.00000000;54339.80000000;51561.40000000;49482.70000000;48006.10000000;47149.80000000;46659.90000000;46383.40000000;46183.70000000;46034.80000000;45894.60000000;45745.80000000;45576.90000000;45380.10000000;45150.30000000;44884.20000000;44580.20000000;44237.60000000;43876.80000000;43485.10000000;43056.20000000;42590.70000000;42076.40000000;41495.60000000;40879.90000000;40230.30000000;39544.30000000;38823.00000000;38070.60000000;37294.70000000;36507.10000000;35693.30000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Total non-AIDS deaths;Mean;258486.00000000;263822.00000000;269453.00000000;275022.00000000;280540.00000000;286027.00000000;292269.00000000;300126.00000000;307926.00000000;315599.00000000;323078.00000000;330208.00000000;335916.00000000;338258.00000000;341325.00000000;344238.00000000;348930.00000000;359920.00000000;375709.00000000;379192.00000000;383512.00000000;391102.00000000;396600.00000000;402814.00000000;408372.00000000;414159.00000000;420358.00000000;425463.00000000;430719.00000000;435930.00000000;441102.00000000;446234.00000000;451320.00000000;456724.00000000;490247.00000000;591379.00000000;576311.00000000;483320.00000000;489001.00000000;495109.00000000;501631.00000000;508556.00000000;515872.00000000;523569.00000000;531630.00000000;540041.00000000;548805.00000000;557931.00000000;567456.00000000;577373.00000000;587660.00000000;598277.00000000;609167.00000000;620277.00000000;631580.00000000;643061.00000000;654714.00000000;666535.00000000;678516.00000000;690638.00000000;702885.00000000;715251.00000000;727730.00000000;740333.00000000;753083.00000000;766003.00000000;779118.00000000;792446.00000000;805980.00000000;819686.00000000;833561.00000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;258486.00000000;263822.00000000;269452.00000000;275020.00000000;280537.00000000;286020.00000000;292255.00000000;300097.00000000;307875.00000000;315505.00000000;322926.00000000;329981.00000000;335593.00000000;337829.00000000;340771.00000000;343548.00000000;348050.00000000;358866.00000000;374462.00000000;377777.00000000;381945.00000000;389393.00000000;394760.00000000;400785.00000000;406152.00000000;411758.00000000;417807.00000000;422820.00000000;427987.00000000;433111.00000000;438196.00000000;443169.00000000;448081.00000000;453306.00000000;486432.00000000;586555.00000000;571658.00000000;479379.00000000;484928.00000000;490923.00000000;497335.00000000;504156.00000000;511374.00000000;518978.00000000;526953.00000000;535284.00000000;543976.00000000;553035.00000000;562462.00000000;572224.00000000;582356.00000000;592912.00000000;603753.00000000;614819.00000000;626085.00000000;637536.00000000;649165.00000000;660967.00000000;672936.00000000;685050.00000000;697295.00000000;709665.00000000;722154.00000000;734772.00000000;747543.00000000;760490.00000000;773639.00000000;787008.00000000;800590.00000000;814348.00000000;828271.00000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;258486.00000000;263823.00000000;269454.00000000;275023.00000000;280544.00000000;286034.00000000;292285.00000000;300156.00000000;307978.00000000;315683.00000000;323218.00000000;330435.00000000;336233.00000000;338688.00000000;341877.00000000;344939.00000000;349779.00000000;360936.00000000;376914.00000000;380575.00000000;385071.00000000;392827.00000000;398485.00000000;404853.00000000;410551.00000000;416469.00000000;422789.00000000;428004.00000000;433366.00000000;438681.00000000;443957.00000000;449192.00000000;454378.00000000;459881.00000000;493651.00000000;595556.00000000;580353.00000000;486709.00000000;492472.00000000;498660.00000000;505258.00000000;512253.00000000;519658.00000000;527462.00000000;535624.00000000;544134.00000000;552993.00000000;562210.00000000;571821.00000000;581820.00000000;592185.00000000;602873.00000000;613829.00000000;624999.00000000;636357.00000000;647888.00000000;659585.00000000;671436.00000000;683389.00000000;695522.00000000;707719.00000000;720055.00000000;732542.00000000;745171.00000000;757795.00000000;770568.00000000;783574.00000000;796882.00000000;810390.00000000;824065.00000000;837901.00000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Non-AIDS deaths in HIV-positive individuals;Mean;7.91986000;13.24660000;28.90760000;68.84150000;167.25000000;395.94400000;870.42400000;1716.88000000;2969.94000000;4606.71000000;6586.73000000;8853.34000000;11225.30000000;13395.90000000;15546.70000000;17346.00000000;19200.10000000;21329.80000000;23618.50000000;25103.50000000;26295.50000000;27129.00000000;28077.60000000;29032.10000000;30061.90000000;31174.90000000;32428.10000000;33825.00000000;35396.90000000;37086.50000000;38850.10000000;40688.90000000;42599.00000000;44576.10000000;49212.40000000;61715.10000000;61998.90000000;52456.60000000;54856.00000000;57350.60000000;59944.80000000;62645.00000000;65449.50000000;68357.30000000;71372.80000000;74491.80000000;77709.40000000;81020.20000000;84421.80000000;87909.30000000;91477.30000000;95120.30000000;98831.50000000;102604.00000000;106430.00000000;110302.00000000;114214.00000000;118154.00000000;122112.00000000;126076.00000000;130030.00000000;133965.00000000;137866.00000000;141724.00000000;145530.00000000;149275.00000000;152945.00000000;156527.00000000;159999.00000000;163335.00000000;166515.00000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;3.83852000;6.69687000;15.59430000;38.44870000;97.41250000;243.68100000;579.68800000;1187.23000000;2209.37000000;3627.88000000;5357.00000000;7432.50000000;9686.86000000;11813.60000000;13943.50000000;15824.00000000;17775.60000000;20005.00000000;22412.60000000;24071.70000000;25352.40000000;26265.50000000;27258.90000000;28241.90000000;29229.50000000;30305.20000000;31525.00000000;32891.30000000;34429.30000000;36083.50000000;37813.90000000;39623.40000000;41506.10000000;43442.50000000;47924.10000000;60026.40000000;60340.10000000;51085.10000000;53420.60000000;55839.10000000;58344.90000000;60962.70000000;63693.60000000;66527.40000000;69456.40000000;72485.70000000;75617.90000000;78867.90000000;82199.60000000;85601.90000000;89057.80000000;92563.80000000;96135.50000000;99787.40000000;103527.00000000;107384.00000000;111213.00000000;115054.00000000;118915.00000000;122752.00000000;126560.00000000;130361.00000000;134130.00000000;137857.00000000;141614.00000000;145314.00000000;148945.00000000;152493.00000000;155937.00000000;159250.00000000;162384.00000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;11.61020000;19.28580000;40.90590000;95.78100000;230.85200000;546.71800000;1199.63000000;2301.30000000;3781.20000000;5618.42000000;7826.27000000;10181.00000000;12642.20000000;14964.30000000;17081.30000000;18809.90000000;20564.20000000;22605.00000000;24843.00000000;26240.00000000;27341.60000000;28131.40000000;29030.80000000;29994.90000000;31036.90000000;32164.50000000;33456.00000000;34811.90000000;36422.40000000;38177.40000000;40014.80000000;41924.50000000;43903.80000000;45950.60000000;50776.30000000;63685.80000000;63947.40000000;54104.40000000;56579.70000000;59156.30000000;61838.50000000;64631.90000000;67534.40000000;70544.20000000;73667.00000000;76898.30000000;80232.50000000;83663.70000000;87189.50000000;90804.80000000;94503.90000000;98280.70000000;102128.00000000;106039.00000000;110005.00000000;114020.00000000;118074.00000000;122157.00000000;126258.00000000;130364.00000000;134460.00000000;138533.00000000;142571.00000000;146563.00000000;150500.00000000;154372.00000000;158165.00000000;161866.00000000;165452.00000000;168898.00000000;172181.00000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
AIDS deaths in people who have been on ART;Mean;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;770.60900000;1334.61000000;1840.00000000;2372.96000000;7494.48000000;13793.80000000;21007.00000000;27702.90000000;32973.80000000;40111.10000000;45543.80000000;48075.90000000;45508.10000000;42605.30000000;40365.10000000;40606.80000000;41513.30000000;41651.50000000;41476.80000000;42197.40000000;42632.60000000;42699.30000000;42454.90000000;42023.70000000;41635.80000000;41236.70000000;40945.80000000;40726.20000000;40528.40000000;40443.90000000;40446.50000000;40513.50000000;40575.60000000;40616.30000000;40628.10000000;40606.40000000;40548.30000000;40451.80000000;40315.60000000;40138.80000000;39921.30000000;39663.10000000;39364.80000000;39026.90000000;38650.10000000;38235.20000000;37783.00000000;37294.50000000;36770.70000000;36212.60000000;35621.30000000;34997.90000000;34343.80000000;33660.30000000;32948.80000000;32211.10000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;766.05600000;1324.85000000;1825.61000000;2353.31000000;7429.04000000;13656.10000000;20747.30000000;27291.00000000;32446.40000000;39400.80000000;44598.50000000;46864.50000000;44631.10000000;41795.80000000;39405.50000000;39443.60000000;40168.90000000;40291.90000000;40120.20000000;40723.70000000;40792.10000000;40590.90000000;40280.80000000;39982.00000000;39763.40000000;39539.80000000;39397.90000000;39298.90000000;39206.30000000;39184.40000000;39216.60000000;39287.80000000;39346.20000000;39379.50000000;39382.10000000;39350.50000000;39282.20000000;39175.60000000;39029.80000000;38844.20000000;38618.50000000;38353.20000000;38048.60000000;37705.50000000;37324.50000000;36906.50000000;36452.30000000;35962.80000000;35439.00000000;34882.10000000;34293.10000000;33673.10000000;33023.50000000;32345.50000000;31640.70000000;30910.90000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
