;;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mortality statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infant mortality rate (/1000);Mean;53.60300000;52.45570000;50.93510000;49.49340000;48.14180000;46.97950000;46.23780000;45.88870000;46.01950000;46.61080000;47.57000000;48.88680000;49.81120000;52.01810000;52.05010000;52.21400000;52.50860000;54.91820000;56.25860000;55.33990000;52.85510000;49.91120000;45.44040000;41.14510000;36.27560000;32.70940000;31.01260000;30.25870000;29.58580000;28.92060000;28.29550000;27.81960000;27.43030000;27.17040000;25.08440000;24.94010000;29.02730000;29.29210000;28.52700000;27.75770000;27.00960000;26.28050000;25.57690000;24.90000000;24.24860000;23.61910000;23.00970000;22.41870000;21.84290000;21.28360000;20.74000000;20.21130000;19.69730000;19.19820000;18.71390000;18.24390000;17.78780000;17.34530000;16.91580000;16.49920000;16.09530000;15.70360000;15.32390000;14.95560000;14.59850000;14.25220000;13.91610000;13.58990000;13.27350000;12.96640000;12.66830000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;53.59680000;52.43620000;50.90000000;49.43070000;48.03210000;46.78950000;45.94130000;45.37730000;45.20060000;45.60900000;46.38020000;47.56680000;48.48330000;50.64070000;50.71970000;50.90920000;51.23240000;53.74190000;55.21980000;54.41640000;52.03820000;49.22310000;44.89290000;40.74910000;36.03030000;32.57610000;30.92770000;30.18940000;29.52790000;28.87290000;28.25830000;27.78830000;27.40140000;27.14110000;25.05390000;24.90900000;28.99580000;29.26120000;28.49770000;27.73190000;26.98710000;26.26100000;25.55980000;24.88450000;24.23410000;23.60530000;22.99630000;22.40570000;21.83040000;21.27150000;20.72830000;20.20010000;19.68660000;19.18800000;18.70410000;18.23460000;17.77900000;17.33700000;16.90800000;16.49180000;16.08840000;15.69710000;15.31780000;14.94990000;14.59310000;14.24700000;13.91110000;13.58520000;13.26890000;12.96200000;12.66410000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;53.60670000;52.46750000;50.95530000;49.53190000;48.22710000;47.16190000;46.61870000;46.60780000;47.03670000;47.84410000;48.94620000;50.33950000;51.28310000;53.45000000;53.40590000;53.46680000;53.65330000;56.08280000;57.36270000;56.35480000;53.75220000;50.71800000;46.13260000;41.70370000;36.62440000;32.89040000;31.12700000;30.35220000;29.66350000;28.98320000;28.34200000;27.85770000;27.46570000;27.20610000;25.12060000;24.97630000;29.06650000;29.33020000;28.56220000;27.78920000;27.03720000;26.30510000;25.59820000;24.91930000;24.26630000;23.63580000;23.02570000;22.43440000;21.85850000;21.29880000;20.75480000;20.22570000;19.71130000;19.21180000;18.72700000;18.25650000;17.79990000;17.35690000;16.92690000;16.50980000;16.10540000;15.71330000;15.33310000;14.96440000;14.60690000;14.26020000;13.92380000;13.59730000;13.28050000;12.97310000;12.67470000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Under-5 mortality rate (/1000);Mean;74.13500000;72.29490000;70.17500000;68.12450000;66.17720000;64.47510000;63.29750000;62.71170000;62.88980000;63.84350000;65.45910000;67.67260000;69.69070000;73.48100000;75.00400000;76.97640000;78.64000000;81.66560000;83.62900000;83.10160000;79.25270000;74.64260000;68.69980000;62.70290000;55.10230000;48.33500000;44.46350000;42.68670000;41.36980000;40.23980000;39.11830000;38.23010000;37.58270000;37.10200000;34.12210000;33.89700000;39.54160000;40.12250000;39.09040000;38.01250000;36.95840000;35.93630000;34.95570000;34.02050000;33.12700000;32.26600000;31.43320000;30.62590000;29.84050000;29.07800000;28.33750000;27.61780000;26.91870000;26.24020000;25.58200000;24.94360000;24.32440000;23.72390000;23.14150000;22.57680000;22.02940000;21.49890000;20.98470000;20.48630000;20.00320000;19.53490000;19.08090000;18.64050000;18.21360000;17.79960000;17.39800000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;74.12880000;72.27200000;70.12990000;68.04210000;66.02930000;64.21550000;62.88950000;62.03720000;61.76450000;62.37820000;63.66250000;65.57000000;67.51510000;71.28410000;72.78420000;74.86960000;76.53930000;79.65210000;81.81750000;81.50850000;77.82910000;73.45060000;67.72920000;61.94690000;54.56330000;48.02760000;44.27010000;42.54010000;41.25300000;40.13860000;39.03730000;38.16380000;37.52220000;37.04260000;34.06070000;33.83340000;39.47630000;40.05780000;39.02770000;37.95760000;36.91130000;35.89610000;34.92060000;33.98880000;33.09830000;32.23930000;31.40760000;30.60090000;29.81590000;29.05390000;28.31390000;27.59490000;26.89650000;26.21880000;25.56160000;24.92420000;24.30600000;23.70650000;23.12510000;22.56140000;22.01500000;21.48540000;20.97210000;20.47460000;19.99230000;19.52460000;19.07100000;18.63100000;18.20450000;17.79080000;17.38950000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;74.13870000;72.30860000;70.20090000;68.17460000;66.28380000;64.71380000;63.78380000;63.66590000;64.34700000;65.71610000;67.63530000;70.03560000;72.13600000;75.90200000;77.33400000;79.16040000;80.63740000;83.54880000;85.44110000;84.89740000;80.76650000;76.00600000;69.88870000;63.73050000;55.84490000;48.77590000;44.72110000;42.88460000;41.52440000;40.36920000;39.21450000;38.30940000;37.65600000;37.17520000;34.19570000;33.97150000;39.61840000;40.19760000;39.16210000;38.07440000;37.01060000;35.98070000;34.99540000;34.05670000;33.16030000;32.29750000;31.46470000;30.65740000;29.87180000;29.10910000;28.36810000;27.64790000;26.94800000;26.26860000;25.60950000;24.97010000;24.34990000;23.74830000;23.16470000;22.59890000;22.05050000;21.51890000;21.00370000;20.50440000;20.02050000;19.55140000;19.09650000;18.65540000;18.22780000;17.81310000;17.41080000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Total AIDS deaths;Mean;12.27920000;54.20560000;130.93400000;293.84400000;656.65000000;1467.10000000;3202.53000000;6602.97000000;12500.70000000;21700.40000000;34850.80000000;52250.30000000;73874.90000000;98916.10000000;127412.00000000;158157.00000000;187186.00000000;216634.00000000;244837.00000000;272321.00000000;280973.00000000;275382.00000000;257782.00000000;236535.00000000;211687.00000000;180209.00000000;147872.00000000;118744.00000000;102718.00000000;94809.90000000;91250.70000000;86989.40000000;82161.60000000;77998.10000000;74719.70000000;70884.40000000;66263.70000000;61489.90000000;57305.30000000;53856.90000000;51024.70000000;48884.80000000;47261.90000000;46096.70000000;45396.80000000;44983.70000000;44758.20000000;44596.50000000;44459.70000000;44325.50000000;44179.30000000;44011.30000000;43814.90000000;43585.60000000;43320.70000000;43018.90000000;42679.70000000;42303.30000000;41890.00000000;41440.50000000;40955.30000000;40435.30000000;39881.20000000;39294.00000000;38674.40000000;38023.60000000;37342.50000000;36632.20000000;35894.00000000;35129.10000000;34339.30000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
