     0	 18886	  0.687958	   0.91822	  0.010588	0.00675625	   1.34526	   32.8798	   20.2367	   4.97299	   0.87544	0.00347325
     1	 15229	  0.668274	  0.959112	 0.0107314	0.00715766	   1.29654	   32.7103	     18.74	   5.76089	  0.395615	0.00249318
     2	 15533	  0.790159	  0.888248	 0.0102002	0.00685047	   1.24893	   31.0099	   20.6505	    7.4326	  0.648606	0.00227309
     3	 14506	  0.808301	  0.751555	0.00968967	 0.0069151	   1.34511	   32.9224	   21.9349	   6.46501	  0.818505	0.00277518
     4	 16599	  0.731967	  0.967693	 0.0109629	0.00636302	   1.40291	   31.8809	   20.2614	   6.88672	  0.815189	0.00254324
     5	 17135	  0.776378	  0.936242	0.00904245	0.00791887	   1.36992	   34.4649	   23.6873	    5.4317	  0.792288	0.00264289
     6	 17656	   0.80022	  0.945777	0.00938104	0.00691865	   1.27722	   32.8144	   23.2057	   7.52865	   0.86207	0.00231242
     7	 17631	  0.754696	  0.951969	 0.0101433	0.00671213	   1.37231	   33.2705	   22.4847	   6.38676	    0.8673	0.00268925
     8	 12889	  0.835003	  0.782677	0.00979959	0.00651223	   1.41582	    32.013	   21.9334	   8.04594	  0.929512	 0.0021755
     9	 16987	  0.731931	  0.956225	 0.0108945	0.00668759	   1.32962	   33.7243	   20.4654	   5.30509	  0.861652	0.00304794
    10	 15588	  0.736538	  0.932518	 0.0102378	0.00686873	   1.41239	   34.1962	   22.0613	   4.92064	  0.764155	0.00354876
    11	 18452	  0.692071	   0.91219	 0.0103346	0.00691397	   1.31859	   31.9902	   19.2994	    5.4637	   0.85681	0.00316757
    12	 17656	   0.80022	  0.945777	0.00938104	0.00691865	   1.27722	   32.8144	   23.2057	   7.52865	   0.86207	0.00231242
    13	 17135	  0.776378	  0.936242	0.00904245	0.00791887	   1.36992	   34.4649	   23.6873	    5.4317	  0.792288	0.00264289
    14	 17656	   0.80022	  0.945777	0.00938104	0.00691865	   1.27722	   32.8144	   23.2057	   7.52865	   0.86207	0.00231242
    15	 17145	  0.776374	  0.979315	 0.0109784	0.00627488	   1.29223	   32.2362	   21.3312	   6.78526	  0.778373	0.00265485
    16	 17623	  0.759445	  0.973482	 0.0102652	0.00670573	   1.34505	   32.1144	    20.405	   7.14981	  0.879153	 0.0023209
    17	 17529	  0.685928	  0.985496	 0.0105008	0.00683664	   1.31368	   33.1806	   21.3644	   6.52488	  0.690283	0.00252948
    18	 17133	  0.765423	  0.975145	 0.0102157	0.00676418	   1.30866	   32.9733	   21.5848	   6.51266	  0.754931	0.00264589
    19	 16651	  0.724257	  0.952461	0.00963663	0.00710796	   1.33876	   31.9061	    20.855	   6.58123	  0.492748	0.00243192
    20	 17327	  0.736356	  0.979791	 0.0105863	0.00645456	   1.31025	   32.9517	   21.8527	   6.66002	  0.738736	0.00258565
    21	 17656	   0.80022	  0.945777	0.00938104	0.00691865	   1.27722	   32.8144	   23.2057	   7.52865	   0.86207	0.00231242
    22	 15533	  0.790159	  0.888248	 0.0102002	0.00685047	   1.24893	   31.0099	   20.6505	    7.4326	  0.648606	0.00227309
    23	 17098	  0.776262	  0.966181	 0.0107421	0.00654172	   1.26539	   33.1189	   21.5675	   6.10824	  0.875185	0.00276035
    24	 19552	  0.801786	  0.863049	0.00991524	0.00689972	   1.26119	   30.8541	   18.9755	   7.16696	   0.70621	 0.0024277
    25	 17371	  0.707965	  0.960589	 0.0108841	0.00644295	   1.34606	   33.0145	   20.7939	   6.63286	  0.783087	0.00249626
    26	 19730	  0.809422	  0.869452	 0.0101666	0.00683932	   1.32245	   30.9259	   18.9927	    6.2473	  0.851889	0.00265379
    27	 18570	  0.747274	  0.937612	 0.0111455	0.00634037	   1.31562	   31.4851	   19.0848	   5.36666	  0.836905	 0.0035009
    28	 19435	  0.697228	  0.839145	  0.010752	0.00675355	   1.32999	   32.2686	   19.2304	   6.19083	  0.913826	0.00272209
    29	 16277	  0.797277	  0.951986	 0.0100835	0.00643893	   1.32134	   32.1685	     22.46	   6.55085	  0.798573	0.00305534
    30	 14829	  0.807027	  0.819329	0.00975133	 0.0070443	   1.35241	   32.7762	   20.6417	   6.96839	  0.884991	0.00244802
    31	 17102	  0.780824	  0.938909	0.00999919	0.00652414	   1.30198	   32.3262	   21.9437	   7.18648	  0.798652	 0.0025891
    32	 17639	  0.764335	  0.975111	  0.010456	0.00680308	   1.28284	     33.46	   21.6676	   6.19151	  0.874238	0.00263815
    33	 15923	  0.772167	  0.836688	0.00985062	0.00721864	   1.27981	   32.4785	   20.8596	   6.85302	  0.779803	0.00238595
    34	 16888	  0.730698	  0.944353	 0.0103237	0.00670362	   1.29847	   32.7473	   21.3811	   6.42088	  0.719471	0.00270587
    35	 12283	  0.742017	  0.748709	 0.0107044	0.00636854	   1.46333	   31.5957	   20.9384	   7.63243	  0.800277	 0.0022672
    36	 17656	   0.80022	  0.945777	0.00938104	0.00691865	   1.27722	   32.8144	   23.2057	   7.52865	   0.86207	0.00231242
    37	 16393	  0.755201	  0.937989	  0.010293	0.00661885	    1.3557	     32.61	   21.9171	   6.36762	  0.755056	0.00269664
    38	 17706	  0.781715	   0.93845	0.00994453	0.00672477	   1.28481	   32.5827	   22.4158	   6.80573	  0.756603	 0.0025606
    39	 20743	  0.745489	  0.920777	 0.0103782	0.00656955	   1.31518	   31.6192	   19.3139	   6.09347	  0.796314	0.00319616
    40	 17656	   0.80022	  0.945777	0.00938104	0.00691865	   1.27722	   32.8144	   23.2057	   7.52865	   0.86207	0.00231242
    41	 17748	  0.749277	  0.936508	0.00930726	0.00721664	   1.29668	   32.7766	   22.4534	   7.17413	  0.784264	0.00224684
    42	 17773	  0.743947	  0.934246	 0.0106003	0.00670845	   1.33552	   33.3229	   21.6641	   6.58332	  0.754572	0.00236169
    43	 15902	    0.7726	  0.845862	0.00923683	0.00759764	   1.29902	   31.4388	   19.7058	   7.17345	  0.725769	0.00223615
    44	 19106	  0.715297	  0.940393	 0.0110305	0.00647437	   1.29068	   30.3647	   17.8653	   6.16779	  0.844079	0.00288845
    45	 20915	  0.692091	  0.817036	 0.0107794	0.00721526	   1.33139	   34.1893	   20.5587	   4.60157	  0.919145	0.00328604
    46	 17623	  0.759445	  0.973482	 0.0102652	0.00670573	   1.34505	   32.1144	    20.405	   7.14981	  0.879153	 0.0023209
    47	 14335	  0.725437	  0.920945	 0.0106122	  0.006684	   1.42762	   33.2144	   21.4682	   4.92194	  0.833551	0.00370453
    48	 17988	  0.721588	  0.971463	 0.0105626	0.00674259	   1.26283	   32.7051	   21.1232	   5.90351	   0.74823	0.00289349
    49	 17135	  0.776378	  0.936242	0.00904245	0.00791887	   1.36992	   34.4649	   23.6873	    5.4317	  0.792288	0.00264289
    50	 16443	  0.726465	  0.893473	 0.0102528	0.00669232	     1.349	   33.2702	   21.3928	   6.29811	  0.685592	0.00263871
    51	 19552	  0.801786	  0.863049	0.00991524	0.00689972	   1.26119	   30.8541	   18.9755	   7.16696	   0.70621	 0.0024277
    52	 15714	  0.756011	  0.914606	 0.0106307	0.00662768	   1.32055	   32.9856	   21.5524	   6.01116	  0.768869	0.00289841
    53	 16117	  0.714407	  0.896567	 0.0100426	0.00718671	   1.29171	   31.8586	   20.3288	   5.71404	  0.621499	0.00292214
    54	 17165	   0.71226	  0.983623	0.00988921	0.00704318	   1.34176	   33.4801	   21.3041	   6.56127	  0.637445	0.00250109
    55	 15795	  0.796424	  0.898607	 0.0098141	0.00683354	   1.35526	   32.3779	   21.4869	   6.18791	  0.801449	0.00284064
    56	 17499	   0.72257	  0.981235	  0.009982	0.00690869	   1.34372	   32.7145	   20.9481	   8.00727	  0.644491	0.00198388
