	          5.921	     0.00778228	       0.395487	      -0.044563	       -2.65236	        2.32392	        2.17629	       -2.07498	       -0.49477	       -1.15568
	     0.00778228	        1.38641	      0.0546928	       -0.16528	      -0.727016	        0.13516	         0.8452	      -0.592653	     -0.0523732	      -0.378891
	       0.395487	      0.0546928	         15.342	       0.309025	        1.92409	       0.141573	       -3.56858	       0.344394	      0.0124413	       0.367405
	      -0.044563	       -0.16528	       0.309025	        20.5966	         -2.683	       -2.12224	      -0.714068	        1.59297	       0.190716	       0.684546
	       -2.65236	      -0.727016	        1.92409	         -2.683	         245.64	        25.5096	        27.8797	       -19.8545	       -1.40141	       -10.9566
	        2.32392	        0.13516	       0.141573	       -2.12224	        25.5096	        133.696	       0.144633	        7.84191	       0.706892	        4.78223
	        2.17629	         0.8452	       -3.56858	      -0.714068	        27.8797	       0.144633	        304.036	         3.1571	       0.557197	        2.75719
	       -2.07498	      -0.592653	       0.344394	        1.59297	       -19.8545	        7.84191	         3.1571	        12.7425	      -0.612748	       -2.10497
	       -0.49477	     -0.0523732	      0.0124413	       0.190716	       -1.40141	       0.706892	       0.557197	      -0.612748	        1.19631	      -0.519875
	       -1.15568	      -0.378891	       0.367405	       0.684546	       -10.9566	        4.78223	        2.75719	       -2.10497	      -0.519875	        10.7492
