Finished reading inputs
Log likelihood: -1565.69
Completed simulation 1
Log likelihood: -2416.31
Log likelihood: -10566.1
Log likelihood: -1270.8
Log likelihood: -562.752
Log likelihood: -1606.78
Log likelihood: -1959.97
Log likelihood: -1663.59
Log likelihood: -19829.3
Log likelihood: -2847.53
Log likelihood: -1809.67
Log likelihood: -417.871
Log likelihood: -40844.4
Log likelihood: -8378.91
Log likelihood: -844.145
Log likelihood: -4167.36
Log likelihood: -3223.59
Log likelihood: -264.325
Log likelihood: -1455.23
Log likelihood: -4564.16
Log likelihood: -1768.04
Log likelihood: -904.701
Log likelihood: -2564.63
Log likelihood: -10348.8
Log likelihood: -418.41
Log likelihood: -17305.9
Log likelihood: -204.497
Log likelihood: -14638.4
Log likelihood: -1684.85
Log likelihood: -530.292
Log likelihood: -17049.1
Log likelihood: -13145.6
Log likelihood: -1175.49
Log likelihood: -16445.6
Log likelihood: -13902.5
Log likelihood: -7233.82
Log likelihood: -14116.3
Log likelihood: -1464.45
Log likelihood: -3227.25
Log likelihood: -20117.7
Log likelihood: -16552.3
Log likelihood: -17255
Log likelihood: -596.607
Log likelihood: -5053.57
Log likelihood: -872.298
Log likelihood: -3206.43
Log likelihood: -301.445
Log likelihood: -795.036
Log likelihood: -895.312
Log likelihood: -701.236
Log likelihood: -2105.33
Log likelihood: -284.487
Log likelihood: -17071.6
Log likelihood: -1346.15
Log likelihood: -2378.14
Log likelihood: -17270.6
Log likelihood: -12418.3
Log likelihood: -1015.95
Log likelihood: -5650.84
Log likelihood: -959.977
Log likelihood: -14937.4
Log likelihood: -7420.28
Log likelihood: -16368.7
Log likelihood: -676.031
Log likelihood: -8079.61
Log likelihood: -598.019
Log likelihood: -12916.3
Log likelihood: -9651.15
Log likelihood: -4366.66
Log likelihood: -17962.1
Log likelihood: -17730.9
Log likelihood: -1734.9
Log likelihood: -262.659
Log likelihood: -337.229
Log likelihood: -12855.9
Log likelihood: -5515.07
Log likelihood: -858.788
Log likelihood: -24723.1
Log likelihood: -1805.59
Log likelihood: -669.239
Log likelihood: -890.86
Log likelihood: -841.604
Log likelihood: -2499.24
Log likelihood: -1420.78
Log likelihood: -12791.3
Log likelihood: -6132
Log likelihood: -19725.1
Log likelihood: -1131.27
Log likelihood: -1030.79
Log likelihood: -6330.28
Log likelihood: -36150.5
Log likelihood: -27037.5
Log likelihood: -675.943
Log likelihood: -2050.51
Log likelihood: -1110.13
Log likelihood: -5930.56
Log likelihood: -1868.54
Log likelihood: -6429.63
Log likelihood: -1286.66
Log likelihood: -617.409
Log likelihood: -2881.85
Completed simulation 101
Log likelihood: -1501.58
Log likelihood: -900.334
Log likelihood: -4665.38
Log likelihood: -16113.3
Log likelihood: -8137.1
Log likelihood: -7123.09
Log likelihood: -1165.25
Log likelihood: -960.276
Log likelihood: -1582.77
Log likelihood: -634.907
Log likelihood: -7469.1
Log likelihood: -1386.06
Log likelihood: -7824.75
Log likelihood: -3315.78
Log likelihood: -4318.85
Log likelihood: -990.221
Log likelihood: -2553.45
Log likelihood: -2919.61
Log likelihood: -2672.37
Log likelihood: -702.858
Log likelihood: -675.248
Log likelihood: -357.869
Log likelihood: -1375.75
Log likelihood: -6550
Log likelihood: -381.251
Log likelihood: -756.993
Log likelihood: -433.582
Log likelihood: -2363.6
Log likelihood: -507.765
Log likelihood: -31789.8
Log likelihood: -6267.24
Log likelihood: -3970.94
Log likelihood: -22996.4
Log likelihood: -439.226
Log likelihood: -3699.84
Log likelihood: -5980.51
Log likelihood: -2786.33
Log likelihood: -28828.7
Log likelihood: -528.913
Log likelihood: -22156.5
Log likelihood: -25453.8
Log likelihood: -769.702
Log likelihood: -1982.91
Log likelihood: -794.748
Log likelihood: -5097.33
Log likelihood: -771.606
Log likelihood: -2017.78
Log likelihood: -4081.24
Log likelihood: -3123.28
Log likelihood: -1596.25
Log likelihood: -2486.68
Log likelihood: -1439.84
Log likelihood: -11473
Log likelihood: -724.478
Log likelihood: -864.937
Log likelihood: -3428.88
Log likelihood: -1042.36
Log likelihood: -2324.36
Log likelihood: -4770.1
Log likelihood: -1395.3
Log likelihood: -3572.68
Log likelihood: -13401.2
Log likelihood: -14209
Log likelihood: -4526.48
Log likelihood: -21364.3
Log likelihood: -18489.7
Log likelihood: -1174.33
Log likelihood: -1433.61
Log likelihood: -1504.42
Log likelihood: -4023.88
Log likelihood: -4440.43
Log likelihood: -1190.77
Log likelihood: -383.695
Log likelihood: -12911.2
Log likelihood: -1612.47
Log likelihood: -17298.2
Log likelihood: -940.695
Log likelihood: -2474.43
Log likelihood: -3323.72
Log likelihood: -1637.56
Log likelihood: -851.129
Log likelihood: -9753.75
Log likelihood: -1301.78
Log likelihood: -2982.26
Log likelihood: -5100.36
Log likelihood: -34033.4
Log likelihood: -1255.41
Log likelihood: -24847.9
Log likelihood: -1567.04
Log likelihood: -2851.66
Log likelihood: -12029.6
Log likelihood: -3689.74
Log likelihood: -722.916
Log likelihood: -264.86
Log likelihood: -15564.9
Log likelihood: -25568.4
Log likelihood: -10417.4
Log likelihood: -14323.8
Log likelihood: -3434.54
Log likelihood: -801.403
Completed simulation 201
Log likelihood: -21970.7
Log likelihood: -357.301
Log likelihood: -4927.96
Log likelihood: -9814.54
Log likelihood: -670.175
Log likelihood: -408.998
Log likelihood: -457.854
Log likelihood: -8357.48
Log likelihood: -7607.93
Log likelihood: -10873.9
Log likelihood: -16496.4
Log likelihood: -2103.12
Log likelihood: -554.803
Log likelihood: -975.579
Log likelihood: -20460.6
Log likelihood: -681.936
Log likelihood: -3888.87
Log likelihood: -13642.3
Log likelihood: -13774.9
Log likelihood: -533.243
Log likelihood: -1660.97
Log likelihood: -660.14
Log likelihood: -23451.8
Log likelihood: -6373.37
Log likelihood: -1074.75
Log likelihood: -2103.37
Log likelihood: -12778.3
Log likelihood: -3281.71
Log likelihood: -995.529
Log likelihood: -759.292
Log likelihood: -861.791
Log likelihood: -15876.2
Log likelihood: -20019.4
Log likelihood: -3127.79
Log likelihood: -23490.6
Log likelihood: -556.47
Log likelihood: -1227.08
Log likelihood: -18972
Log likelihood: -12524.9
Log likelihood: -7482.8
Log likelihood: -1855.82
Log likelihood: -5240.54
Log likelihood: -9022.5
Log likelihood: -15989.1
Log likelihood: -25833.2
Log likelihood: -7537.58
Log likelihood: -1844.77
Log likelihood: -2199.91
Log likelihood: -1471.28
Log likelihood: -9355.8
Log likelihood: -23363.8
Log likelihood: -3583.02
Log likelihood: -4516.46
Log likelihood: -27946.1
Log likelihood: -19196.1
Log likelihood: -4131.14
Log likelihood: -6832.18
Log likelihood: -16335.7
Log likelihood: -334.3
Log likelihood: -5982.39
Log likelihood: -19542.8
Log likelihood: -1324.34
Log likelihood: -8237.97
Log likelihood: -1860.57
Log likelihood: -988.558
Log likelihood: -3780.21
Log likelihood: -17254.1
Log likelihood: -6331.83
Log likelihood: -4337.21
Log likelihood: -1509.21
Log likelihood: -1205.91
Log likelihood: -990.201
Log likelihood: -1300.74
Log likelihood: -1572.96
Log likelihood: -1702.62
Log likelihood: -1656.86
Log likelihood: -3734.13
Log likelihood: -31388.5
Log likelihood: -1654.08
Log likelihood: -881.222
Log likelihood: -776.561
Log likelihood: -5910.01
Log likelihood: -977.569
Log likelihood: -24813.2
Log likelihood: -19435.2
Log likelihood: -2843.91
Log likelihood: -1553.05
Log likelihood: -1117.08
Log likelihood: -836.433
Log likelihood: -2590
Log likelihood: -977.853
Log likelihood: -1115.96
Log likelihood: -553.884
Log likelihood: -361.376
Log likelihood: -3417.55
Log likelihood: -5045.39
Log likelihood: -13627.7
Log likelihood: -11598.4
Log likelihood: -1640.76
Log likelihood: -6523.09
Completed simulation 301
Log likelihood: -3964.37
Log likelihood: -15919.2
Log likelihood: -2999.52
Log likelihood: -524.859
Log likelihood: -9182
Log likelihood: -5730.33
Log likelihood: -875.809
Log likelihood: -1636.05
Log likelihood: -2040.68
Log likelihood: -29757.9
Log likelihood: -15127.5
Log likelihood: -3014.08
Log likelihood: -9454.08
Log likelihood: -1804.62
Log likelihood: -11801.1
Log likelihood: -887.633
Log likelihood: -18471.7
Log likelihood: -2847.29
Log likelihood: -1624.07
Log likelihood: -12611.3
Log likelihood: -10130.3
Log likelihood: -4505.13
Log likelihood: -3521.28
Log likelihood: -1588.6
Log likelihood: -2612.25
Log likelihood: -2135
Log likelihood: -12599.6
Log likelihood: -1692.93
Log likelihood: -17364.1
Log likelihood: -495.991
Log likelihood: -5680.24
Log likelihood: -1664.52
Log likelihood: -8105.94
Log likelihood: -5955.85
Log likelihood: -1347.4
Log likelihood: -20451.6
Log likelihood: -1127.56
Log likelihood: -992.803
Log likelihood: -2945.76
Log likelihood: -3863.98
Log likelihood: -8286.01
Log likelihood: -4685.65
Log likelihood: -1978.89
Log likelihood: -5801.53
Log likelihood: -878.414
Log likelihood: -32182.9
Log likelihood: -356.629
Log likelihood: -412.929
Log likelihood: -519.492
Log likelihood: -4881.2
Log likelihood: -17723.5
Log likelihood: -1900.54
Log likelihood: -754.609
Log likelihood: -2041.19
Log likelihood: -2781.1
Log likelihood: -3348.29
Log likelihood: -3429.24
Log likelihood: -1552.82
Log likelihood: -1569.35
Log likelihood: -4790.81
Log likelihood: -14691
Log likelihood: -528.262
Log likelihood: -596.494
Log likelihood: -468.229
Log likelihood: -519.841
Log likelihood: -2233.34
Log likelihood: -21605.3
Log likelihood: -10082.2
Log likelihood: -315.808
Log likelihood: -23033.4
Log likelihood: -974.759
Log likelihood: -10653.1
Log likelihood: -3175.83
Log likelihood: -3270.13
Log likelihood: -4513.74
Log likelihood: -5180.76
Log likelihood: -9249.47
Log likelihood: -702.925
Log likelihood: -929.271
Log likelihood: -42392.8
Log likelihood: -3805.87
Log likelihood: -11746.8
Log likelihood: -971.893
Log likelihood: -14850.5
Log likelihood: -1766.36
Log likelihood: -2364.78
Log likelihood: -667.032
Log likelihood: -18754.4
Log likelihood: -1122.75
Log likelihood: -1013.69
Log likelihood: -473.484
Log likelihood: -1867.61
Log likelihood: -14528.3
Log likelihood: -5334.35
Log likelihood: -974.432
Log likelihood: -511.561
Log likelihood: -547.107
Log likelihood: -15244.8
Log likelihood: -2330.84
Log likelihood: -7147.43
Completed simulation 401
Log likelihood: -6254.26
Log likelihood: -1421.15
Log likelihood: -1288.88
Log likelihood: -1247.1
Log likelihood: -8557.83
Log likelihood: -16182.2
Log likelihood: -1642.41
Log likelihood: -40703.4
Log likelihood: -1420.74
Log likelihood: -9172.33
Log likelihood: -1135.1
Log likelihood: -2648.74
Log likelihood: -2287.28
Log likelihood: -20714.5
Log likelihood: -977.657
Log likelihood: -1286.4
Log likelihood: -32965.1
Log likelihood: -22713.5
Log likelihood: -1918.45
Log likelihood: -801.012
Log likelihood: -7760.13
Log likelihood: -336.192
Log likelihood: -9573.64
Log likelihood: -1860.04
Log likelihood: -11906.8
Log likelihood: -1070.06
Log likelihood: -478.42
Log likelihood: -27626.9
Log likelihood: -4274.99
Log likelihood: -2254
Log likelihood: -3544.5
Log likelihood: -1234.5
Log likelihood: -2139.5
Log likelihood: -7897.61
Log likelihood: -2812.25
Log likelihood: -871.756
Log likelihood: -9640.73
Log likelihood: -5393.69
Log likelihood: -6751.3
Log likelihood: -2305.37
Log likelihood: -3023.21
Log likelihood: -480.383
Log likelihood: -21102.1
Log likelihood: -3183.42
Log likelihood: -2518
Log likelihood: -5236.27
Log likelihood: -7881.06
Log likelihood: -2880.33
Log likelihood: -1722.06
Log likelihood: -596.312
Log likelihood: -184.962
Log likelihood: -11823.6
Log likelihood: -3762.23
Log likelihood: -963.973
Log likelihood: -1244.64
Log likelihood: -1108.43
Log likelihood: -7509.54
Log likelihood: -548.538
Log likelihood: -808.526
Log likelihood: -3159.75
Log likelihood: -891.829
Log likelihood: -435.475
Log likelihood: -11632.9
Log likelihood: -1736.75
Log likelihood: -24230.7
Log likelihood: -808.53
Log likelihood: -784.285
Log likelihood: -13062.7
Log likelihood: -696.861
Log likelihood: -6442.08
Log likelihood: -2084.75
Log likelihood: -12714.9
Log likelihood: -1572.8
Log likelihood: -1250.71
Log likelihood: -3178.22
Log likelihood: -3257.1
Log likelihood: -2172.67
Log likelihood: -11410.1
Log likelihood: -4821.72
Log likelihood: -1048.9
Log likelihood: -20845.8
Log likelihood: -796.86
Log likelihood: -949.887
Log likelihood: -3480.67
Log likelihood: -31465.7
Log likelihood: -756.063
Log likelihood: -14972.6
Log likelihood: -1493.66
Log likelihood: -20176
Log likelihood: -11877.2
Log likelihood: -3007.17
Log likelihood: -28640.4
Log likelihood: -11128.5
Log likelihood: -546.529
Log likelihood: -684.447
Log likelihood: -368.055
Log likelihood: -1326.21
Log likelihood: -1259.23
Log likelihood: -5452.54
Log likelihood: -2674.6
Completed simulation 501
Log likelihood: -2774.99
Log likelihood: -2381.71
Log likelihood: -14427.1
