Read input files
Log likelihood: -69.1298
Log likelihood: -62.189
Log likelihood: -68.6196
Log likelihood: -70.2349
Log likelihood: -66.9014
Log likelihood: -68.3273
Log likelihood: -67.1066
Log likelihood: -69.5078
Log likelihood: -67.0969
Log likelihood: -64.379
Log likelihood: -67.7239
Log likelihood: -63.2805
Log likelihood: -66.717
Log likelihood: -71.9487
Log likelihood: -69.3946
Log likelihood: -66.486
Log likelihood: -75.5445
Log likelihood: -65.9307
Log likelihood: -71.3508
Log likelihood: -70.8139
Log likelihood: -69.0602
Log likelihood: -66.3024
Log likelihood: -70.3072
Log likelihood: -69.6188
Log likelihood: -70.8756
Log likelihood: -69.0602
Log likelihood: -64.3018
Log likelihood: -62.7548
Log likelihood: -62.8622
Log likelihood: -67.3871
Log likelihood: -66.2473
Log likelihood: -64.577
Log likelihood: -69.5078
Log likelihood: -65.7797
Log likelihood: -66.1768
Log likelihood: -76.7738
Log likelihood: -62.1236
Log likelihood: -66.3271
Log likelihood: -69.485
Log likelihood: -70.5291
Log likelihood: -69.3946
Log likelihood: -60.7
Log likelihood: -65.283
Log likelihood: -65.7797
Log likelihood: -67.5766
Log likelihood: -70.5291
Log likelihood: -63.565
Log likelihood: -64.5893
Log likelihood: -70.2105
Log likelihood: -63.4441
Log likelihood: -71.6716
Log likelihood: -72.3591
Log likelihood: -71.5794
Log likelihood: -73.2208
Log likelihood: -66.7009
Log likelihood: -62.6814
Log likelihood: -63.9964
Log likelihood: -67.3867
Log likelihood: -69.1352
Log likelihood: -65.4381
Log likelihood: -66.3517
Log likelihood: -68.9823
Log likelihood: -65.4342
Log likelihood: -69.9475
Log likelihood: -68.8972
Log likelihood: -68.2782
Log likelihood: -61.8524
Log likelihood: -71.4406
Log likelihood: -70.593
Log likelihood: -73.9735
Log likelihood: -73.9579
Log likelihood: -64.7815
Log likelihood: -66.9134
Log likelihood: -62.8622
Log likelihood: -68.6183
Log likelihood: -63.0047
Log likelihood: -68.2779
Log likelihood: -68.3629
Log likelihood: -69.0256
Log likelihood: -65.4941
Log likelihood: -66.8304
Log likelihood: -64.8824
Log likelihood: -67.8062
Log likelihood: -69.9635
Log likelihood: -64.3718
Log likelihood: -64.3846
Log likelihood: -68.3231
Log likelihood: -64.4125
Log likelihood: -69.621
Log likelihood: -64.2761
