	              0	       0.652719	       0.932181	       0.244053	       0.545178	       0.901871	       0.552069	        0.69138	       0.759919	        0.50462	       0.331088	       0.523417	       0.912721	       0.818523
	              0	        1.27333	       0.429104	        2.42858	        1.50682	       0.927912	        1.07763	      0.0301516	      -0.859888	         1.7241	        1.18996	       0.696039	        2.07473	         2.9835
	              0	       -4.53018	        -4.4456	        -4.5116	       -4.47441	       -4.54037	       -4.47743	       -4.47415	       -4.44138	       -4.49121	       -4.36518	       -4.46041	       -4.48513	       -4.55796
	              0	        -4.8565	       -5.07149	       -4.88962	       -4.92434	       -4.93998	       -4.94784	       -4.96831	       -5.01689	       -4.85199	       -5.02566	       -4.93468	        -4.9439	       -4.87872
	              0	       0.225962	       0.235813	       0.299203	        0.25708	       0.233335	       0.194123	       0.201798	       0.199919	       0.261456	       0.209097	       0.231724	       0.189778	       0.226844
	              0	        3.58312	        3.49322	        3.53535	        3.57122	        3.54794	        3.56437	        3.56695	        3.57273	        3.60195	        3.55781	        3.62559	        3.59493	        3.60159
	              0	         3.1505	        3.07091	        3.01268	        3.10352	        3.13014	        3.07943	        3.12758	         3.1218	        3.12313	        3.05282	        3.15256	        3.15331	        3.19968
	              0	        1.48745	        1.70641	        1.63632	        1.32186	        1.59803	        1.34329	        1.33018	        1.68483	       0.969998	        1.38011	        1.12135	        1.26023	        1.22442
	              0	      -0.138603	      0.0873275	       -1.27687	      -0.516209	      -0.309769	       0.313818	      0.0231513	       0.169768	      0.0955447	       0.722547	        1.03645	        0.26696	       -1.03628
	              0	       -7.20817	       -7.16152	       -7.32103	       -7.03602	        -7.2893	       -6.72017	        -6.5132	        -6.8604	        -6.5496	       -6.77668	       -6.57894	        -6.5742	       -7.03206
	              0	        1.64693	        1.84117	        1.73612	        1.76621	        1.95619	        1.62839	        1.44271	        1.44762	        1.55774	        1.50219	        1.56628	        1.47779	        1.91122
