     0	     0	    1732.5	   5177.83	   13657.1	   34482.5	   78437.6	    147013	    221551	    287258	    346761	    403660	    455350	    498484	    526213	    544585	    555197	    556362	    550724	    540808	    529264	    518072	    501656	    481712	    461446	    438082	    411924	    388136	    364727	    345700	    331465	    315094	    302096	    283381	    260009	    245750	    230868	    214378	    200694	    187472	    175631	    166026	    158247	    151046	    144095	    138621	    133456	    128500	    123696	    119004	    114361	    109726	    105070	    100482	   96087.3	   91915.7	   87965.5	   84216.6	   80668.6	   77315.6	   74152.7	   71167.6	   68344.7	   65669.7	   63129.3	   60711.9	   58407.6	   56207.7	     54103	   52085.8	   50149.1	   48288.3	   46497.1
     1	     0	   1088.72	   3181.03	   8216.89	   20724.3	   49348.9	    103236	    178331	    254529	    321347	    381842	    435998	    481181	    510445	    530017	    541796	    544229	    539960	    531517	    521406	    511435	    495981	    476805	    457114	    434206	    408464	    385057	    361828	    342666	    328194	    311912	    299171	    280602	    257097	    242707	    227574	    211262	    198208	    185802	    174794	    165975	    158964	    152498	    146218	    141179	    136360	    131686	    127113	    122606	    118104	    113562	    108948	    104358	   99936.8	   95720.1	   91711.2	   87894.4	   84274.4	   80848.5	   77614.6	   74562.1	     71676	   68942.4	   66348.3	   63881.6	   61532.7	   59292.6	   57151.8	   55102.2	   53136.3	   51249.1	   49433.9
     2	     0	   1155.07	   3416.81	   8931.02	   22718.8	   54062.5	    111306	    187319	    262294	    329184	    391089	    446731	    493039	    523114	    543259	    555417	    557985	    553725	    545167	    534873	    524752	    508924	    489257	    469038	    445490	    419200	    395599	    372382	    353497	    339493	    323429	    310866	    292344	    269010	    255036	    240440	    223988	    210165	    196667	    184534	    174720	    166847	    159631	    152705	    147363	    142358	    137558	    132893	    128312	    123746	    119146	    114473	    109825	    105345	    101073	   97008.7	   93135.3	   89456.9	   85970.8	     82675	   79558.8	   76607.5	   73806.7	   71143.4	   68605.9	   66185.1	   63872.4	   61658.6	   59535.9	   57497.3	     55538	   53651.3
     3	     0	   1332.84	   4067.46	   11000.9	   28737.8	   68652.3	    136542	    215584	    285012	    345201	    401585	    452494	    494836	    521800	    539757	    550405	    551821	    546581	    537081	    525882	    514975	    498597	    478573	    458108	    434407	    408058	    384438	    361237	    342372	    328209	    311856	    299050	    280560	    257313	    243202	    228353	    212070	    198886	    186327	    175191	    166264	    159121	    152479	    145999	    140812	    135841	    131023	    126317	    121689	    117080	    112452	    107775	    103146	   98705.9	   94489.6	   90497.1	   86708.2	     83125	   79742.4	   76556.4	   73554.1	   70719.1	   68036.3	   65491.6	   63072.6	   60769.4	   58572.6	   56472.7	   54461.3	   52531.3	   50677.3	   48892.9
     4	     0	   379.705	    1184.8	   3313.51	   9227.24	   25131.2	   63240.8	    134653	    224458	    303112	    368673	    427566	    478450	    512925	    536408	    550841	    555065	    552012	    544564	    535356	    526159	    511355	    492666	    473324	    450600	    424788	    401175	    377713	    358456	    344123	    327996	    315388	    296761	    273289	    259245	    244601	    228024	    213966	    200156	    187666	    177467	    169225	    161672	    154442	    148878	    143707	    138777	    134006	    129343	    124712	    120065	    115364	    110701	    106213	    101934	   97866.1	   93989.8	   90308.2	   86817.3	   83514.3	   80388.3	   77424.6	   74609.4	   71929.7	   69374.2	   66933.7	     64600	   62363.9	     60218	   58155.3	   56171.2	   54259.4
     5	     0	   1419.79	    3668.7	   8276.81	   18281.1	   39162.9	   78653.8	    142605	    224695	    307867	    382008	    444398	    493944	    524741	    543962	    554334	    555033	    549199	    539676	    528929	    518702	    503228	    484111	    464507	    441644	    415779	    392016	    368526	    349393	    335292	    319414	    307035	    288823	    265853	    252057	    237502	    221227	    207802	    194867	    183305	    173962	    166468	    159550	    152836	    147490	    142431	    137548	    132782	    128088	    123399	    118667	    113856	    109067	    104448	    100039	     95843	   91841.9	   88041.6	     84440	   81035.8	   77818.2	   74772.6	   71884.8	   69141.4	   66530.9	   64043.8	   61671.5	   59404.3	     57234	     55153	   53156.1	   51236.3
     6	     0	   1032.56	   2804.46	   6691.63	     15677	   35521.5	   74464.9	    137433	    215172	    291404	    360679	    422247	    474191	    509514	    534025	    549671	    555084	    553048	    546363	    537685	    528837	    514166	    495453	    476000	    453064	    426949	    402966	    379202	    359841	    345506	    329317	    316679	    298064	    274665	    260650	    246004	    229361	    215218	    201362	    188872	    178709	    170526	    163039	    155860	    150300	    145113	    140147	    135324	    130593	    125876	    121123	    116293	    111487	    106851	    102425	   98210.5	   94191.3	   90371.9	   86749.6	   83323.4	   80082.6	   77012.7	   74099.4	   71329.3	   68690.5	   66173.7	   63770.1	   61470.2	   59265.7	   57149.1	   55115.4	   53157.7
     7	     0	   1063.52	    2939.1	   7140.62	   17020.9	   39113.4	   82515.6	    151409	    233543	    311335	    380502	    440744	    490130	    522008	    542850	    554959	    557200	    552564	    543815	    533524	    523513	    508009	    488746	    468922	    445755	    419664	    395987	    372662	    353730	    339710	    323711	    311196	    292758	    269574	    255731	    241261	    224924	    211239	    197909	    185940	    176242	    168427	    161212	    154238	    148785	    143661	    138742	    133959	    129265	    124587	    119881	    115109	    110370	    105808	    101460	   97327.3	   93391.2	   89655.3	   86115.8	     82770	   79606.7	   76610.5	   73766.9	   71062.6	   68485.9	   66027.6	   63679.1	     61431	   59275.3	   57204.9	   55214.8	   53298.3
     8	     0	   1242.26	   3223.82	   7309.95	   16242.6	   35014.6	   70712.3	    128751	    203575	    280347	    350475	    411347	    461421	    494510	    516848	    530663	    534677	    531741	    524551	    515595	    506576	    491805	    473155	    453766	    430920	    405277	    382259	    359327	    340070	    325200	    308822	    296167	    277604	    253859	    239293	    223960	    207837	    195401	    183776	    173565	    165490	    159151	    153268	    147471	    142701	    138070	    133534	    129060	    124621	    120155	    115620	    110981	    106344	    101863	   97581.3	   93503.2	   89615.7	   85926.2	     82433	   79135.1	   76021.6	   73077.4	   70288.5	   67641.7	   65125.2	   62729.5	   60445.6	     58264	   56176.5	   54175.4	   52255.5	   50409.8
     9	     0	   1574.16	    4183.3	   9698.79	     21885	   47111.2	   92280.2	    158067	    233242	    305446	    371414	    429620	    477960	    509894	    531570	    544988	    548661	    545354	    537656	    528124	    518617	    503373	    484231	    464450	    441255	    415174	    391569	    368292	    349132	    334716	    318552	    305829	    287191	    263680	    249335	    234358	    217903	    204405	    191410	    179812	    170480	    163029	    156195	    149599	    144414	    139509	    134775	    130150	    125590	    121028	    116415	    111712	    107021	    102491	   98161.9	   94038.8	   90106.7	   86372.1	   82833.5	   79489.8	     76331	   73342.4	   70510.2	   67821.3	   65264.2	   62829.3	   60507.9	   58290.5	   56168.9	   54135.5	   52185.2	     50311
    10	     0	   482.371	   1488.73	   4113.02	   11271.8	   29932.5	   72154.8	    144642	    228737	    302149	    366448	    424655	    473815	    506008	    527220	    539667	    542307	    538076	    529702	    519732	    509942	    494733	    475807	    456287	    433423	    407566	    383899	    360541	    341291	    326660	    310372	    297515	    278748	    255148	    240646	    225518	    209544	    197014	    185162	    174712	    166395	    159795	    153661	    147635	    142698	    137936	    133296	    128741	    124240	    119733	    115178	    110545	    105936	    101497	   97268.1	     93252	   89433.2	     85816	   82396.8	     79173	   76132.6	   73259.9	   70540.1	   67959.4	   65505.6	   63168.4	   60938.6	   58806.4	   56763.6	   54802.6	   52918.3	   51103.9
