Finished reading inputs
Log likelihood: -5999.68
Log likelihood: -17144
Log likelihood: -189.606
Log likelihood: -4052.34
Log likelihood: -26741.5
Log likelihood: -8339.67
Log likelihood: -4150.5
Log likelihood: -4834.35
Log likelihood: -10739.3
Log likelihood: -180.821
Log likelihood: -3601.78
Log likelihood: -16444
Log likelihood: -660.493
Log likelihood: -681.86
Log likelihood: -389.072
Log likelihood: -832.342
Log likelihood: -537.279
Log likelihood: -15601.4
Log likelihood: -5999.94
Log likelihood: -805.555
Log likelihood: -637.995
Log likelihood: -377.421
Log likelihood: -256.621
Log likelihood: -568.378
Log likelihood: -245.362
Log likelihood: -1726.85
Log likelihood: -1576.41
Log likelihood: -1537.49
Log likelihood: -11354.3
Log likelihood: -1581.3
Log likelihood: -386.941
Log likelihood: -470.937
Log likelihood: -1893.22
Log likelihood: -201.347
Log likelihood: -22975.1
Log likelihood: -1470.17
Log likelihood: -451.802
Log likelihood: -1439.07
Log likelihood: -981.85
Log likelihood: -919.053
Log likelihood: -1339.49
Log likelihood: -1168.59
Log likelihood: -295.901
Log likelihood: -878.712
Log likelihood: -424.089
Log likelihood: -3421.21
Log likelihood: -337.387
Log likelihood: -6344.03
Log likelihood: -9018.91
Log likelihood: -2077.54
Log likelihood: -386.219
Completed simulation 301
Log likelihood: -4011.42
Log likelihood: -13036.4
Log likelihood: -702.642
Log likelihood: -477.656
Log likelihood: -4945.36
Log likelihood: -1397
Log likelihood: -798.516
Log likelihood: -1910.89
Log likelihood: -2643.22
Log likelihood: -24627.5
Log likelihood: -14859.4
Log likelihood: -110.899
Log likelihood: -7821.79
Log likelihood: -1367.83
Log likelihood: -2011.97
Log likelihood: -1283.82
Log likelihood: -6696.01
Log likelihood: -3311.59
Log likelihood: -2019.64
Log likelihood: -9472.29
Log likelihood: -948.757
Log likelihood: -3405.92
Log likelihood: -2260.19
Log likelihood: -1691.46
Log likelihood: -1960.77
Log likelihood: -664.253
Log likelihood: -9760.64
Log likelihood: -741.508
Log likelihood: -7992.88
Log likelihood: -533.978
Log likelihood: -328.663
Log likelihood: -1888.53
Log likelihood: -913.732
Log likelihood: -417.885
Log likelihood: -387.007
Log likelihood: -15153
Log likelihood: -1147.95
Log likelihood: -1725.86
Log likelihood: -253.05
Log likelihood: -1221.33
Log likelihood: -6469.05
Log likelihood: -4690.57
Log likelihood: -729.201
Log likelihood: -5852.5
Log likelihood: -995.706
Log likelihood: -21409.2
Log likelihood: -537.011
Log likelihood: -317.195
Log likelihood: -349.122
Log likelihood: -811.248
Log likelihood: -5133.61
Log likelihood: -715.573
Log likelihood: -758.185
Log likelihood: -314.633
Log likelihood: -1836.29
Log likelihood: -2444.79
Log likelihood: -2405.35
Log likelihood: -1320.88
Log likelihood: -1243.07
Log likelihood: -4853.03
Log likelihood: -3265.54
Log likelihood: -475.869
Log likelihood: -622.138
Log likelihood: -853.293
Log likelihood: -660.422
Log likelihood: -514.002
Log likelihood: -3011.8
Log likelihood: -258.202
Log likelihood: -377.124
Log likelihood: -21258.4
Log likelihood: -292.262
Log likelihood: -7726.3
Log likelihood: -339.823
Log likelihood: -3510.65
Log likelihood: -4559.22
Log likelihood: -154.597
Log likelihood: -5852.01
Log likelihood: -351.301
Log likelihood: -1242.84
Log likelihood: -19465.6
Log likelihood: -1773.17
Log likelihood: -4554.94
Log likelihood: -210.266
Log likelihood: -7874.55
Log likelihood: -1501.8
Log likelihood: -2490.42
