Read input files
Log likelihood: -66.0016
Log likelihood: -65.7689
Log likelihood: -62.0824
Log likelihood: -66.6291
Log likelihood: -65.443
Log likelihood: -66.4342
Log likelihood: -68.8975
Log likelihood: -64.1453
Log likelihood: -71.1646
Log likelihood: -64.6377
Log likelihood: -65.1937
Log likelihood: -65.3377
Log likelihood: -64.2356
Log likelihood: -66.6291
Log likelihood: -64.2625
Log likelihood: -72.2676
Log likelihood: -68.2759
Log likelihood: -63.4867
Log likelihood: -66.6291
Log likelihood: -64.0317
Log likelihood: -66.7088
Log likelihood: -59.7652
Log likelihood: -65.2686
Log likelihood: -67.7101
Log likelihood: -66.7088
Log likelihood: -60.6977
Log likelihood: -66.6291
Log likelihood: -65.2686
Log likelihood: -63.3078
Log likelihood: -64.1505
Log likelihood: -66.215
Log likelihood: -66.6291
Log likelihood: -68.2759
Log likelihood: -65.1937
Log likelihood: -61.7957
Log likelihood: -67.8072
Log likelihood: -65.6827
Log likelihood: -73.8138
Log likelihood: -62.0667
Log likelihood: -60.9885
Log likelihood: -69.416
Log likelihood: -69.3177
Log likelihood: -62.4942
Log likelihood: -67.8072
Log likelihood: -65.8004
Log likelihood: -64.4098
Log likelihood: -66.7088
Log likelihood: -63.402
Log likelihood: -64.5226
Log likelihood: -68.2759
Log likelihood: -66.6291
Log likelihood: -66.6364
Log likelihood: -65.3377
Log likelihood: -63.402
Log likelihood: -62.9887
Completed simulation 300
Log likelihood: -62.0667
Log likelihood: -63.794
Log likelihood: -65.8494
Log likelihood: -66.0016
Log likelihood: -62.8209
Log likelihood: -73.8138
Log likelihood: -64.0532
Log likelihood: -66.7088
Log likelihood: -64.7422
Log likelihood: -66.6291
Log likelihood: -66.6291
Log likelihood: -64.1519
Log likelihood: -65.3151
Log likelihood: -64.1453
Log likelihood: -66.7088
Log likelihood: -67.7352
Log likelihood: -61.7856
Log likelihood: -66.8955
Log likelihood: -65.6678
Log likelihood: -62.3846
Log likelihood: -65.0142
Log likelihood: -65.0895
Log likelihood: -60.9885
Log likelihood: -67.8072
Log likelihood: -64.7926
Log likelihood: -60.9885
Log likelihood: -67.04
Log likelihood: -60.9885
Log likelihood: -63.1467
Log likelihood: -62.9816
Log likelihood: -67.0368
Log likelihood: -61.5758
Log likelihood: -74.271
Log likelihood: -60.0537
Log likelihood: -63.794
Log likelihood: -63.8904
Log likelihood: -68.2759
Log likelihood: -74.6713
Log likelihood: -65.3151
Log likelihood: -66.215
Log likelihood: -65.5411
Log likelihood: -66.0016
Log likelihood: -66.6196
Log likelihood: -66.7088
Log likelihood: -67.0951
Log likelihood: -64.1234
Log likelihood: -68
Log likelihood: -68.1198
Log likelihood: -64.5226
Log likelihood: -70.3744
Log likelihood: -66.6291
Log likelihood: -62.3105
Log likelihood: -70.4051
Log likelihood: -64.1453
Log likelihood: -68.2759
Log likelihood: -66.6291
Log likelihood: -64.6377
Log likelihood: -65.9967
Log likelihood: -63.2174
Log likelihood: -65.2976
Log likelihood: -60.9438
Log likelihood: -73.1415
Log likelihood: -67.6359
Log likelihood: -63.875
Log likelihood: -68.4158
Log likelihood: -66.7018
Log likelihood: -61.2509
Log likelihood: -70.5444
Log likelihood: -63.68
Log likelihood: -64.6377
Log likelihood: -62.8469
Log likelihood: -66.6291
Log likelihood: -66.7088
Log likelihood: -66.0016
Log likelihood: -62.3479
Log likelihood: -66.7088
Log likelihood: -63.2895
Log likelihood: -63.4222
Log likelihood: -66.6291
Log likelihood: -67.5625
Log likelihood: -65.6768
Log likelihood: -66.6925
Log likelihood: -60.9885
Log likelihood: -66.0016
Log likelihood: -71.1646
Log likelihood: -67.5627
Log likelihood: -67.6359
Log likelihood: -64.0135
Log likelihood: -65.5411
Log likelihood: -70.7216
Log likelihood: -66.7088
Log likelihood: -68.2759
Log likelihood: -64.2625
Log likelihood: -72.4288
Log likelihood: -66.7088
Log likelihood: -67.9339
Log likelihood: -65.8614
Log likelihood: -66.7088
Log likelihood: -71.1646
Log likelihood: -67.8072
Completed simulation 400
Log likelihood: -65.2976
Log likelihood: -68.2759
Log likelihood: -65.2686
Log likelihood: -64.0532
Log likelihood: -63.0029
Log likelihood: -65.0999
Log likelihood: -68.2759
Log likelihood: -68.8975
Log likelihood: -66.139
Log likelihood: -66.8836
Log likelihood: -63.2174
Log likelihood: -65.6277
Log likelihood: -64.6377
Log likelihood: -59.7652
Log likelihood: -64.0532
Log likelihood: -61.8252
Log likelihood: -66.6291
Log likelihood: -68.8915
Log likelihood: -65.8614
Log likelihood: -68.2759
Log likelihood: -67.04
Log likelihood: -66.6291
Log likelihood: -64.7422
Log likelihood: -65.0142
Log likelihood: -66.6291
Log likelihood: -62.5977
Log likelihood: -60.9885
Log likelihood: -63.6261
Log likelihood: -66.6291
Log likelihood: -68.5378
Log likelihood: -68.8915
Log likelihood: -62.5977
Log likelihood: -66.6291
Log likelihood: -73.7394
Log likelihood: -65.6209
Log likelihood: -65.8494
Log likelihood: -68.2759
Log likelihood: -62.2479
Log likelihood: -65.3291
Log likelihood: -59.807
Log likelihood: -63.6129
Log likelihood: -64.0135
Log likelihood: -66.0877
Log likelihood: -66.7088
Log likelihood: -77.8307
Log likelihood: -63.1174
Log likelihood: -66.6291
Log likelihood: -66.9449
Log likelihood: -72.2676
Log likelihood: -68.2759
Log likelihood: -68.9246
Log likelihood: -67.8072
Log likelihood: -66.6291
Log likelihood: -69.3098
Log likelihood: -66.7088
Log likelihood: -63.8105
Log likelihood: -72.2826
Log likelihood: -65.4129
Log likelihood: -67.0967
Log likelihood: -66.7088
Log likelihood: -65.6768
Log likelihood: -66.6291
Log likelihood: -67.8072
Log likelihood: -64.7361
Log likelihood: -60.4923
Log likelihood: -65.2976
Log likelihood: -66.6291
Log likelihood: -66.0016
Log likelihood: -66.6291
Log likelihood: -66.6291
Log likelihood: -67.7101
Log likelihood: -65.2686
Log likelihood: -64.1352
Log likelihood: -67.8072
Log likelihood: -62.2711
Log likelihood: -66.6291
Log likelihood: -63.4596
Log likelihood: -67.6359
Log likelihood: -66.7088
Log likelihood: -66.7088
Log likelihood: -66.9502
Log likelihood: -66.7088
Log likelihood: -65.2976
Log likelihood: -65.6888
Log likelihood: -65.8803
Log likelihood: -59.9498
Log likelihood: -63.948
Log likelihood: -64.1783
Log likelihood: -69.3177
Log likelihood: -68.2759
Log likelihood: -66.6291
Log likelihood: -63.5548
Log likelihood: -64.4045
Log likelihood: -64.6377
Log likelihood: -64.7009
Log likelihood: -66.7088
Log likelihood: -66.7088
Log likelihood: -67.8072
Log likelihood: -65.2686
Log likelihood: -66.6291
Completed simulation 500
Log likelihood: -66.6291
Log likelihood: -65.3151
Log likelihood: -66.6291
Log likelihood: -72.1425
Log likelihood: -62.9816
Log likelihood: -65.0265
Log likelihood: -68.3355
Log likelihood: -72.6793
Log likelihood: -66.8836
Log likelihood: -70.0227
Log likelihood: -62.2949
Log likelihood: -62.5977
Log likelihood: -64.3767
Log likelihood: -68.2759
Log likelihood: -72.2676
Log likelihood: -68.2759
Log likelihood: -62.2771
Log likelihood: -72.8386
Log likelihood: -63.2942
Log likelihood: -68.2687
Log likelihood: -60.498
Log likelihood: -62.9816
Log likelihood: -66.0016
Log likelihood: -64.1453
Log likelihood: -64.2059
Log likelihood: -65.3832
Log likelihood: -65.1701
Log likelihood: -65.2686
Log likelihood: -62.3846
Log likelihood: -66.6291
Log likelihood: -68.6806
Log likelihood: -68.2759
Log likelihood: -75.8221
Log likelihood: -74.6713
Log likelihood: -67.0368
Log likelihood: -62.9954
Log likelihood: -66.6291
Log likelihood: -62.813
Log likelihood: -66.1149
Log likelihood: -67.1362
Log likelihood: -62.2711
Log likelihood: -60.9885
Log likelihood: -68.2759
Log likelihood: -65.0389
Log likelihood: -65.0142
Log likelihood: -65.2686
Log likelihood: -65.8614
Log likelihood: -67.8072
Log likelihood: -67.6343
Log likelihood: -68.8091
Log likelihood: -60.6977
Log likelihood: -62.5977
Log likelihood: -66.7088
Log likelihood: -61.6167
Log likelihood: -63.2895
Log likelihood: -66.3411
Log likelihood: -65.9805
Log likelihood: -61.5876
Log likelihood: -66.7088
Log likelihood: -68.2759
Log likelihood: -61.4293
Log likelihood: -68.2759
Log likelihood: -65.2686
Log likelihood: -63.1371
Log likelihood: -67.8072
Log likelihood: -65.8721
Log likelihood: -62.8484
Log likelihood: -68.0133
Log likelihood: -65.3899
Log likelihood: -68.2759
Log likelihood: -62.2907
Log likelihood: -69.3177
Log likelihood: -67.6343
Log likelihood: -60.6977
Log likelihood: -67.5627
Log likelihood: -65.3377
Log likelihood: -66.6363
Log likelihood: -61.3333
Log likelihood: -69.3098
Log likelihood: -65.6209
Log likelihood: -66.7088
Log likelihood: -67.6359
Log likelihood: -61.5282
Log likelihood: -65.8614
Log likelihood: -65.9967
Log likelihood: -71.1646
Log likelihood: -66.6291
Log likelihood: -67.0368
Log likelihood: -64.6555
Log likelihood: -65.8614
Log likelihood: -65.8614
Log likelihood: -70.7216
Log likelihood: -72.2676
Log likelihood: -73.9935
Log likelihood: -66.1149
Log likelihood: -73.3833
Log likelihood: -61.3216
Log likelihood: -61.7629
Log likelihood: -60.8645
Log likelihood: -63.2073
Completed simulation 600
Log likelihood: -63.2073
Log likelihood: -66.7088
Log likelihood: -65.2073
Log likelihood: -66.7088
Log likelihood: -67.8072
Log likelihood: -65.8614
Log likelihood: -70.4845
Log likelihood: -66.6291
Log likelihood: -65.8614
Log likelihood: -66.0016
Log likelihood: -60.4462
Log likelihood: -66.6291
Log likelihood: -67.8072
Log likelihood: -63.9149
Log likelihood: -62.7099
Log likelihood: -66.4046
Log likelihood: -68.3355
Log likelihood: -66.6291
Log likelihood: -67.6343
Log likelihood: -65.2686
Log likelihood: -67.6343
Log likelihood: -64.0852
Log likelihood: -68.2759
Log likelihood: -68.2759
Log likelihood: -60.9885
Log likelihood: -64.0009
Log likelihood: -65.3151
Log likelihood: -68.9599
Log likelihood: -65.3151
Log likelihood: -64.3698
Log likelihood: -67.195
Log likelihood: -60.9323
Log likelihood: -68.5378
Log likelihood: -67.8072
Log likelihood: -65.8614
Log likelihood: -65.3151
Log likelihood: -66.0016
Log likelihood: -67.9665
Log likelihood: -73.7394
Log likelihood: -71.2049
Log likelihood: -61.2456
Log likelihood: -65.1094
Log likelihood: -64.2625
Log likelihood: -65.9136
Log likelihood: -61.7957
Log likelihood: -67.602
Log likelihood: -68.8915
Log likelihood: -66.215
Log likelihood: -61.5282
Log likelihood: -67.8072
Log likelihood: -67.2557
Log likelihood: -67.4439
Log likelihood: -66.215
Log likelihood: -66.6291
Log likelihood: -66.7088
Log likelihood: -66.7088
Log likelihood: -64.3033
Log likelihood: -67.8072
Log likelihood: -66.7088
Log likelihood: -65.5411
Log likelihood: -67.8072
Log likelihood: -67.8072
Log likelihood: -63.3055
Log likelihood: -68.3355
Log likelihood: -70.9355
Log likelihood: -65.3151
Log likelihood: -68.2759
Log likelihood: -66.7088
Log likelihood: -64.2785
Log likelihood: -64.6928
Log likelihood: -66.6291
Log likelihood: -64.7422
Log likelihood: -60.8262
Log likelihood: -61.5613
Log likelihood: -66.1149
Log likelihood: -67.8072
Log likelihood: -74.271
Log likelihood: -62.626
Log likelihood: -69.7591
Log likelihood: -69.3128
Log likelihood: -66.8955
Log likelihood: -64.2625
Log likelihood: -67.9336
Log likelihood: -66.553
Log likelihood: -58.9704
Log likelihood: -73.8806
Log likelihood: -63.6261
Log likelihood: -66.6291
Log likelihood: -63.7819
Log likelihood: -68.2759
Log likelihood: -68.4158
Log likelihood: -60.2603
Log likelihood: -66.6291
Log likelihood: -71.1646
Log likelihood: -70.4597
Log likelihood: -64.1453
Log likelihood: -66.8448
Log likelihood: -66.7088
Log likelihood: -63.0029
Log likelihood: -66.0016
Completed simulation 700
Log likelihood: -59.807
Log likelihood: -66.6291
Log likelihood: -66.6291
Log likelihood: -66.6642
Log likelihood: -66.8955
Log likelihood: -64.4422
Log likelihood: -60.9885
Log likelihood: -66.415
Log likelihood: -63.8804
Log likelihood: -66.7088
Log likelihood: -61.9398
Log likelihood: -68.4722
Log likelihood: -63.2174
Log likelihood: -65.2073
Log likelihood: -64.396
Log likelihood: -66.6196
Log likelihood: -70.7216
Log likelihood: -70.3174
Log likelihood: -64.6316
Log likelihood: -61.4521
Log likelihood: -64.6377
Log likelihood: -66.6291
Log likelihood: -66.6291
Log likelihood: -68.7532
Log likelihood: -67.3667
Log likelihood: -62.8921
Log likelihood: -66.885
Log likelihood: -62.7428
Log likelihood: -63.3415
Log likelihood: -65.6578
Log likelihood: -62.8484
Log likelihood: -64.4148
Log likelihood: -62.5711
Log likelihood: -67.7352
Log likelihood: -65.3151
Log likelihood: -65.8723
Log likelihood: -64.5226
Log likelihood: -59.9498
Log likelihood: -70.3174
Log likelihood: -71.8297
Log likelihood: -67.8783
Log likelihood: -62.4942
Log likelihood: -65.0142
Log likelihood: -68.9818
Log likelihood: -63.8735
Log likelihood: -65.8494
Log likelihood: -65.8614
Log likelihood: -67.7352
Log likelihood: -68.7179
Log likelihood: -61.4218
Log likelihood: -71.1646
Log likelihood: -65.8614
Log likelihood: -66.5369
Log likelihood: -68.9599
Log likelihood: -66.9845
Log likelihood: -64.6928
Log likelihood: -62.6572
Log likelihood: -66.6291
Log likelihood: -68.2759
Log likelihood: -63.4596
Log likelihood: -64.0532
Log likelihood: -61.2456
Log likelihood: -72.0965
Log likelihood: -70.9355
Log likelihood: -64.2625
Log likelihood: -65.8614
Log likelihood: -66.7607
Log likelihood: -66.6291
Log likelihood: -65.8614
Log likelihood: -68.328
Log likelihood: -65.8445
Log likelihood: -65.5705
Log likelihood: -71.266
Log likelihood: -69.9356
Log likelihood: -68.2759
Log likelihood: -64.7422
Log likelihood: -66.6291
Log likelihood: -68.575
Log likelihood: -65.2976
Log likelihood: -68.4366
Log likelihood: -68.2759
Log likelihood: -62.3668
Log likelihood: -66.8955
Log likelihood: -67.6359
Log likelihood: -62.626
Log likelihood: -65.2686
Log likelihood: -65.3311
Log likelihood: -65.2686
Log likelihood: -68.2759
Log likelihood: -69.3013
Log likelihood: -68.2759
Log likelihood: -74.6335
Log likelihood: -68.2759
Log likelihood: -62.2907
Log likelihood: -67.9691
Log likelihood: -65.2686
Log likelihood: -65.3151
Log likelihood: -67.4976
Log likelihood: -65.3464
Log likelihood: -63.8288
Completed simulation 800
Log likelihood: -65.0389
Log likelihood: -67.5469
Log likelihood: -66.2221
Log likelihood: -66.7088
Log likelihood: -65.2073
Log likelihood: -60.7638
Log likelihood: -64.0532
Log likelihood: -66.6291
Log likelihood: -64.5522
Log likelihood: -65.6768
Log likelihood: -62.3668
Log likelihood: -64.2582
Log likelihood: -66.6291
Log likelihood: -62.7428
Log likelihood: -63.6195
Log likelihood: -64.5226
Log likelihood: -65.3151
Log likelihood: -64.3071
Log likelihood: -62.2801
Log likelihood: -64.0317
Log likelihood: -60.6123
Log likelihood: -66.6291
Log likelihood: -67.6343
Log likelihood: -66.6291
Log likelihood: -68.2759
Log likelihood: -62.2711
Log likelihood: -62.2216
Log likelihood: -66.6291
Log likelihood: -66.6291
Log likelihood: -66.7088
Log likelihood: -60.1321
Log likelihood: -65.8614
Log likelihood: -66.6291
Log likelihood: -63.0476
Log likelihood: -70.0659
Log likelihood: -67.8072
Log likelihood: -70.4597
Log likelihood: -64.4535
Log likelihood: -65.8614
Log likelihood: -68.2759
Log likelihood: -65.3151
Log likelihood: -61.5282
Log likelihood: -64.6377
Log likelihood: -61.7856
Log likelihood: -65.2819
Log likelihood: -65.0142
Log likelihood: -66.6291
Log likelihood: -67.9386
Log likelihood: -68.7532
Log likelihood: -64.0152
Log likelihood: -68.2759
Log likelihood: -66.1149
Log likelihood: -62.8896
Log likelihood: -63.8
Log likelihood: -65.5431
Log likelihood: -67.6359
Log likelihood: -65.8628
