Finished reading inputs
Log likelihood: -8733.22
Log likelihood: -22524.3
Log likelihood: -624.741
Log likelihood: -4433.45
Log likelihood: -27843.6
Log likelihood: -17713.9
Log likelihood: -4164.68
Log likelihood: -6394.1
Log likelihood: -15447.8
Log likelihood: -182.158
Log likelihood: -5495.36
Log likelihood: -19410.1
Log likelihood: -934.037
Log likelihood: -5361.33
Log likelihood: -1065.34
Log likelihood: -935.115
Log likelihood: -507.98
Log likelihood: -17168.8
Log likelihood: -6270.95
Log likelihood: -3050.3
Log likelihood: -1117.07
Log likelihood: -886.43
Log likelihood: -169.788
Log likelihood: -926.962
Log likelihood: -291.833
Log likelihood: -1725.27
Log likelihood: -1598.17
Log likelihood: -3051.41
Log likelihood: -24715.7
Log likelihood: -1638.55
Log likelihood: -384.69
Log likelihood: -362.645
Log likelihood: -4671.99
Log likelihood: -654.803
Log likelihood: -24572.2
Log likelihood: -9286.01
Log likelihood: -1662.97
Log likelihood: -1526.88
Log likelihood: -1082.16
Log likelihood: -869.879
Log likelihood: -2241.64
Log likelihood: -1084.37
Log likelihood: -665.283
Log likelihood: -893.981
Log likelihood: -383.239
Log likelihood: -3414.21
Log likelihood: -2999.09
Log likelihood: -12535.1
Log likelihood: -11064.1
Log likelihood: -1872.85
Log likelihood: -544.613
Completed simulation 301
Log likelihood: -3993.01
Log likelihood: -15436
Log likelihood: -1676.13
Log likelihood: -420.253
Log likelihood: -8279.67
Log likelihood: -3671.49
Log likelihood: -855.727
Log likelihood: -1715.37
Log likelihood: -2633.47
Log likelihood: -29335.8
Log likelihood: -15070.7
Log likelihood: -329.813
Log likelihood: -9171.12
Log likelihood: -1698.79
Log likelihood: -4568.15
Log likelihood: -1196.22
Log likelihood: -16527.9
Log likelihood: -3128.8
Log likelihood: -1924.38
Log likelihood: -12001.3
Log likelihood: -1908.27
Log likelihood: -4267.25
Log likelihood: -3260.14
Log likelihood: -1633.21
Log likelihood: -2521.34
Log likelihood: -1715.36
Log likelihood: -12206.2
Log likelihood: -1415.39
Log likelihood: -15774.6
Log likelihood: -512.621
Log likelihood: -2832.53
Log likelihood: -1786.34
Log likelihood: -3903.84
Log likelihood: -2467.57
Log likelihood: -949.069
Log likelihood: -20017.3
Log likelihood: -1135.14
Log likelihood: -1673.12
Log likelihood: -1942.85
Log likelihood: -3132.51
Log likelihood: -8010.65
Log likelihood: -4692.81
Log likelihood: -1594.25
Log likelihood: -5830.33
Log likelihood: -948.602
Log likelihood: -30658.7
Log likelihood: -242.041
Log likelihood: -215.114
Log likelihood: -379.567
Log likelihood: -3203.77
Log likelihood: -13520
Log likelihood: -1553.14
Log likelihood: -733.068
Log likelihood: -1064.44
Log likelihood: -2571.8
Log likelihood: -3165.89
Log likelihood: -3234.58
Log likelihood: -1511.88
Log likelihood: -1492.44
Log likelihood: -4841.56
Log likelihood: -7921.14
Log likelihood: -440.49
Log likelihood: -595.778
Log likelihood: -775.862
Log likelihood: -528.618
Log likelihood: -1643.24
Log likelihood: -17257.1
Log likelihood: -2256.88
Log likelihood: -323.167
Log likelihood: -22855.1
Log likelihood: -752.125
Log likelihood: -10154.9
Log likelihood: -1676.4
Log likelihood: -3393.53
Log likelihood: -4554.57
Log likelihood: -288.678
Log likelihood: -8526.14
Log likelihood: -207.708
Log likelihood: -1225.76
Log likelihood: -40595.9
Log likelihood: -3271.04
Log likelihood: -9821.91
Log likelihood: -136.518
Log likelihood: -13673.4
Log likelihood: -1698.29
Log likelihood: -2465.82
Log likelihood: -1010
Log likelihood: -17814.6
Log likelihood: -743.557
Log likelihood: -1056.75
Log likelihood: -591.141
Log likelihood: -1863.52
Log likelihood: -10460.4
Log likelihood: -5179.83
Log likelihood: -1266.01
Log likelihood: -493.648
Log likelihood: -356.737
Log likelihood: -9796.76
Log likelihood: -2446.24
Log likelihood: -7105.6
Completed simulation 401
Log likelihood: -5754.23
Log likelihood: -236.851
Log likelihood: -1317.46
Log likelihood: -1339.94
Log likelihood: -5289.36
Log likelihood: -10189.3
Log likelihood: -1475.7
Log likelihood: -40612.9
Log likelihood: -1406.13
Log likelihood: -7475.76
Log likelihood: -1109.89
Log likelihood: -2840.78
Log likelihood: -1787.65
Log likelihood: -14167.7
Log likelihood: -845.849
Log likelihood: -235.575
Log likelihood: -31950.6
Log likelihood: -22151.4
Log likelihood: -396.131
Log likelihood: -563.213
Log likelihood: -7099
Log likelihood: -271.599
Log likelihood: -9286.14
Log likelihood: -2255.24
Log likelihood: -2019.15
Log likelihood: -1122.62
Log likelihood: -540.699
Log likelihood: -22091.6
Log likelihood: -4080.83
Log likelihood: -1781.29
Log likelihood: -3161.33
Log likelihood: -1263.1
Log likelihood: -2165.88
Log likelihood: -5205.32
Log likelihood: -1623.2
Log likelihood: -825.675
Log likelihood: -8264.22
Log likelihood: -625.746
Log likelihood: -1301.79
Log likelihood: -2316.8
Log likelihood: -2546.78
Log likelihood: -467.848
Log likelihood: -20959.2
Log likelihood: -1108.55
Log likelihood: -2541.67
Log likelihood: -4201.43
Log likelihood: -3949.31
Log likelihood: -882.324
Log likelihood: -1706.38
Log likelihood: -229.655
Log likelihood: -186.457
Log likelihood: -8013.87
Log likelihood: -2903.11
Log likelihood: -1209.33
Log likelihood: -1222.93
Log likelihood: -603.879
Log likelihood: -4323.51
Log likelihood: -561.908
Log likelihood: -783.496
Log likelihood: -3486.9
Log likelihood: -389.723
Log likelihood: -196.689
Log likelihood: -7753.28
Log likelihood: -2069.81
Log likelihood: -23440.2
Log likelihood: -956.634
Log likelihood: -788.799
Log likelihood: -12941.5
Log likelihood: -679.896
Log likelihood: -1260.61
Log likelihood: -2124
Log likelihood: -7927.69
Log likelihood: -1129.08
Log likelihood: -1180.44
Log likelihood: -2861.34
Log likelihood: -3040.17
Log likelihood: -2292.24
Log likelihood: -10520.9
Log likelihood: -4531.6
Log likelihood: -994.068
Log likelihood: -19703.4
Log likelihood: -697.883
Log likelihood: -941.994
Log likelihood: -3520.75
Log likelihood: -30518.1
Log likelihood: -634.389
